file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-spring/src/test/java/org/activiti/spring/test/servicetask/MyExecutionListenerBean.java,org.activiti.spring.test.servicetask.MyExecutionListenerBean,notify/1[org.activiti.spring.test.servicetask.DelegateExecution],false,30,1,0,0,0,2,2,6,0,0,1,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-spring/src/test/java/org/activiti/spring/test/servicetask/MyExecutionListenerBean.java,org.activiti.spring.test.servicetask.MyExecutionListenerBean,getSomeField/0,false,37,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-spring/src/test/java/org/activiti/spring/test/servicetask/MyExecutionListenerBean.java,org.activiti.spring.test.servicetask.MyExecutionListenerBean,setSomeField/1[org.activiti.spring.test.servicetask.FixedValue],false,41,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,isAbleToStore/1[java.lang.Object],false,136,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,createObjectInputStream/1[java.io.InputStream],false,141,1,2,1,1,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,createObjectOutputStream/1[java.io.OutputStream],false,149,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,getValue/1[org.activiti.engine.impl.variable.ValueFields],false,53,7,6,0,6,5,6,16,3,3,1,6,1,2,0,2,0,0,0,0,3,0,2,0,0,0,21,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,SerializableType/1[boolean],true,49,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,"serialize/2[java.lang.Object,org.activiti.engine.impl.variable.ValueFields]",false,102,5,5,2,3,3,5,18,2,2,2,5,1,1,0,1,1,0,3,0,3,1,1,0,0,0,17,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Activiti__Activiti/activiti-core/activiti-engine/src/main/java/org/activiti/engine/impl/variable/SerializableType.java,org.activiti.engine.impl.variable.SerializableType,"deserialize/2[byte[],org.activiti.engine.impl.variable.ValueFields]",false,122,5,5,2,3,2,4,14,1,3,2,4,1,1,0,0,1,0,2,0,3,1,1,0,0,0,19,1,0,false
