file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getDb/0,false,64,0,5,5,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,"TransformJobInfo/5[java.lang.String,java.lang.String,java.lang.String,long,java.util.Map<java.lang.String,alluxio.table.common.Layout>]",true,47,3,1,1,0,1,2,12,0,0,5,2,0,0,0,0,0,0,5,0,6,0,0,0,0,0,37,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getTable/0,false,71,0,5,5,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getJobStatus/0,false,106,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getDefinition/0,false,85,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getTransformedLayouts/0,false,92,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,toProto/0,false,140,3,7,0,7,1,15,3,1,0,0,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getJobId/0,false,99,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getDbTable/0,false,78,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,setJobStatus/1[alluxio.job.wire.Status],false,115,2,2,2,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,setJobErrorMessage/1[java.lang.String],false,132,1,2,2,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/table/server/master/src/main/java/alluxio/master/table/transform/TransformJobInfo.java,alluxio.master.table.transform.TransformJobInfo,getJobErrorMessage/0,false,123,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/stress/shell/src/main/java/alluxio/stress/cli/AbstractStressBench.java,alluxio.stress.cli.AbstractStressBench,validateParams/0,false,37,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/stress/shell/src/main/java/alluxio/stress/cli/AbstractStressBench.java,alluxio.stress.cli.AbstractStressBench,run/1[java.lang.String[]],false,43,2,3,0,3,6,11,29,2,3,1,11,0,0,2,0,1,0,14,2,5,3,5,0,0,0,30,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/core/server/master/src/main/java/alluxio/master/file/meta/MountTable.java,alluxio.master.file.meta.MountTable$Resolution,getShared/0,false,638,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/core/server/master/src/main/java/alluxio/master/file/meta/MountTable.java,alluxio.master.file.meta.MountTable$Resolution,getUri/0,false,617,1,26,26,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/core/server/master/src/main/java/alluxio/master/file/meta/MountTable.java,alluxio.master.file.meta.MountTable$Resolution,getUfsMountPointUri/0,false,624,1,6,6,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/core/server/master/src/main/java/alluxio/master/file/meta/MountTable.java,alluxio.master.file.meta.MountTable$Resolution,getUfsClient/0,false,652,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/core/server/master/src/main/java/alluxio/master/file/meta/MountTable.java,alluxio.master.file.meta.MountTable$Resolution,getMountId/0,false,645,0,13,13,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Alluxio__alluxio/core/server/master/src/main/java/alluxio/master/file/meta/MountTable.java,alluxio.master.file.meta.MountTable$Resolution,"Resolution/4[alluxio.master.file.meta.AlluxioURI,UfsManager.UfsClient,boolean,long]",true,607,2,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,2,0,false
