file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/angel-ps/core/src/main/java/com/tencent/angel/psagent/matrix/transport/adapter/LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,getIndexType/0,false,32,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/angel-ps/core/src/main/java/com/tencent/angel/psagent/matrix/transport/adapter/LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,getIndices/0,false,41,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/angel-ps/core/src/main/java/com/tencent/angel/psagent/matrix/transport/adapter/LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,size/0,false,37,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/angel-ps/core/src/main/java/com/tencent/angel/psagent/matrix/transport/adapter/LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,"LongIndexGetRowsRequest/4[int,int[],long[],com.tencent.angel.ps.server.data.request.InitFunc]",true,27,3,2,2,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,getNodeIds/0,false,30,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,split/0,false,35,6,2,0,2,5,7,13,1,5,0,7,0,0,1,2,0,0,0,3,5,0,2,0,0,0,19,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,"IntKeysGetParam/2[int,int[]]",true,21,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,IntKeysGetParam/0,true,26,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/mllib/src/main/scala/com/tencent/angel/spark/ml/tree/sketch/QuantileSketchException.java,com.tencent.angel.spark.ml.tree.sketch.QuantileSketchException,QuantileSketchException/0,true,24,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/mllib/src/main/scala/com/tencent/angel/spark/ml/tree/sketch/QuantileSketchException.java,com.tencent.angel.spark.ml.tree.sketch.QuantileSketchException,QuantileSketchException/1[java.lang.String],true,28,0,10,10,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/mllib/src/main/scala/com/tencent/angel/spark/ml/tree/sketch/QuantileSketchException.java,com.tencent.angel.spark.ml.tree.sketch.QuantileSketchException,QuantileSketchException/1[java.lang.Throwable],true,32,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Angel-ML__angel/spark-on-angel/mllib/src/main/scala/com/tencent/angel/spark/ml/tree/sketch/QuantileSketchException.java,com.tencent.angel.spark.ml.tree.sketch.QuantileSketchException,"QuantileSketchException/2[java.lang.String,java.lang.Throwable]",true,36,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
