file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous234,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,4,2,1,0,0,0,0,0,5,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous235,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,9,4,0,0,0,0,0,0,10,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/graphics/g3d/PlanetRenderer.java,mindustry.graphics.g3d.PlanetRenderer,class,18,19,1,18,46,1,0,66,13,0.8663968,0.0,0.0,19,0,19,0,0,0,19,0,0,0,9,2,9,0,0,0,9,0,1,192,4,3,6,0,7,2,47,29,24,27,1,1,1,2,93,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous236,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous237,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,6,4,0,0,0,0,0,0,9,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous230,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/entities/comp/TankComp.java,mindustry.entities.comp.TankComp,class,16,16,0,16,42,1,0,28,0,0.7076924,0.0,0.0,5,0,5,0,0,0,5,0,0,0,8,0,0,1,0,7,0,0,6,87,2,4,7,0,12,0,33,27,35,28,4,0,0,0,74,1024,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous231,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous232,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous233,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,3,2,0,0,0,0,0,0,7,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/editor/MapPatchesDialog.java,mindustry.editor.MapPatchesDialog,class,7,9,2,7,19,2,0,54,13,0.6666667,0.0,0.0,6,0,1,1,0,4,5,0,0,0,1,0,0,1,0,0,0,0,1,145,2,3,2,1,1,26,24,13,2,24,7,0,0,22,59,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/consumers/ConsumeItemList.java,mindustry.world.consumers.ConsumeItemList,class,4,5,1,4,6,3,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,21,1,2,0,0,0,0,5,5,1,4,1,0,0,1,21,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/logic/LStatements.java,mindustry.logic.LStatements$SelectStatement,innerclass,9,9,0,9,4,2,0,12,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,39,2,0,0,0,0,9,2,12,0,14,2,0,0,8,27,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/core/Version.java,mindustry.core.Version,class,3,6,3,3,21,1,0,17,0,0.5555556,0.0,0.0,5,5,5,0,0,0,5,0,0,0,9,9,9,0,0,0,0,0,5,60,8,0,6,1,5,33,17,24,6,15,2,0,0,0,73,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/tools/src/mindustry/tools/ImageTileGenerator.java,mindustry.tools.ImageTileGenerator,class,3,3,0,3,12,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,0,44,0,7,4,1,3,7,30,24,35,24,6,0,0,0,1077,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous422$Anonymous423,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,17,28,0,1,0,0,0,1,44,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/game/Objectives.java,mindustry.game.Objectives$OnSector,innerclass,3,3,0,3,5,1,0,2,0,0.2,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,17,3,0,0,0,0,2,0,1,1,1,0,0,0,0,10,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/graphics/Shaders.java,mindustry.graphics.Shaders$LightShader,innerclass,2,2,0,2,2,3,0,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,4,1,0,1,0,0,0,0,8,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/meta/BlockGroup.java,mindustry.world.meta.BlockGroup,enum,0,0,0,0,2,1,0,0,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/UnitTypes.java,mindustry.content.UnitTypes$Anonymous219$Anonymous220$Anonymous222$Anonymous224$Anonymous225,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,11,0,0,0,0,0,0,18,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/UnitTypes.java,mindustry.content.UnitTypes$Anonymous103$Anonymous106,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,8,10,0,0,0,1,0,0,19,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/entities/comp/EffectStateComp.java,mindustry.entities.comp.EffectStateComp,class,12,12,0,12,2,1,0,1,0,0.44444445,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,0,0,0,5,0,0,0,13,1,0,0,0,0,0,0,2,0,9,0,0,0,0,19,1024,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/blocks/distribution/DirectionLiquidBridge.java,mindustry.world.blocks.distribution.DirectionLiquidBridge$DuctBridgeBuild,innerclass,5,5,0,5,23,3,0,16,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,38,2,1,13,0,5,0,12,8,9,5,2,0,0,0,29,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/blocks/payloads/PayloadRouter.java,mindustry.world.blocks.payloads.PayloadRouter$PayloadRouterBuild,innerclass,16,16,0,16,40,3,0,38,45,0.7333334,0.0,0.0,15,0,15,0,0,0,15,0,0,0,5,0,5,0,0,0,0,0,3,112,2,1,14,0,7,0,20,19,7,10,4,0,0,1,71,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous238,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,11,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous239,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,5,4,0,0,0,0,0,0,9,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/graphics/Layer.java,mindustry.graphics.Layer,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,37,35,2,35,0,0,0,0,54,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous245,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,14,4,3,0,0,0,0,0,15,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous246,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,6,3,0,0,0,0,0,0,7,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/ui/dialogs/ResearchDialog.java,mindustry.ui.dialogs.ResearchDialog$Anonymous1,anonymous,0,0,0,0,6,1,0,16,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,1,3,0,0,0,3,0,0,2,5,0,0,3,17,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/io/SaveIO.java,mindustry.io.SaveIO,class,26,34,8,26,38,4,0,43,200,0.88888884,0.0,0.0,21,21,20,1,0,0,21,0,0,0,3,3,3,0,0,0,3,0,25,160,15,1,3,8,0,10,0,16,7,16,2,0,1,0,81,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous247,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,5,2,1,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous248,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,8,4,0,0,0,0,0,0,11,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/ui/dialogs/ResearchDialog.java,mindustry.ui.dialogs.ResearchDialog$Anonymous3,anonymous,3,3,0,3,4,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,5,4,0,1,0,0,0,16,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/UnitTypes.java,mindustry.content.UnitTypes$Anonymous7,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,8,11,0,0,0,1,0,0,25,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous241,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/ui/dialogs/ResearchDialog.java,mindustry.ui.dialogs.ResearchDialog$Anonymous2,anonymous,1,1,0,1,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,3,0,3,0,0,0,0,0,10,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/blocks/environment/TiledWall.java,mindustry.world.blocks.environment.TiledWall,class,4,5,1,4,28,4,0,26,9,0.5714286,0.0,0.0,7,0,5,0,0,2,7,0,0,0,2,0,2,0,0,0,0,0,5,81,2,6,9,0,0,3,20,32,10,23,5,0,0,2,55,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous242,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,6,5,0,0,0,0,0,0,11,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/graphics/Voronoi.java,mindustry.graphics.Voronoi$Site,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/ui/dialogs/ResearchDialog.java,mindustry.ui.dialogs.ResearchDialog$Anonymous5,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous243,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,11,10,2,0,0,0,0,0,24,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/ui/dialogs/EffectsDialog.java,mindustry.ui.dialogs.EffectsDialog$BoundsBatch,innerclass,5,5,0,5,8,2,0,6,0,0.2,0.0,0.0,5,0,0,0,3,2,5,0,0,0,1,0,0,0,0,1,0,0,3,36,0,2,0,0,2,0,2,18,33,16,2,0,0,0,36,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/ui/dialogs/ResearchDialog.java,mindustry.ui.dialogs.ResearchDialog$Anonymous4,anonymous,5,5,0,5,12,1,0,14,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,44,1,3,4,0,0,0,8,10,2,9,4,0,0,2,22,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/Block.java,mindustry.world.Block,class,76,244,168,76,342,2,0,163,8261,0.99169594,0.0,0.0,134,2,132,0,2,0,134,0,1,0,186,2,180,0,6,0,3,0,21,1035,92,28,66,2,43,31,223,302,133,280,5,0,0,36,917,1,1
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous244,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,7,8,1,0,0,0,0,0,19,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous459$Anonymous460$Anonymous461$Anonymous466,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,5,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/tools/src/mindustry/tools/ImagePacker.java,mindustry.tools.ImagePacker$Anonymous1,anonymous,8,8,0,8,9,1,0,4,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,41,8,0,1,0,0,0,0,5,0,2,1,1,0,0,17,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous459$Anonymous475$Anonymous476$Anonymous477$Anonymous478$Anonymous479$Anonymous480$Anonymous481$Anonymous482$Anonymous483,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous459$Anonymous460$Anonymous461$Anonymous462,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,5,7,0,0,0,1,0,0,18,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous240,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,11,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/blocks/payloads/UnitPayload.java,mindustry.world.blocks.payloads.UnitPayload,class,13,26,13,13,33,1,0,33,0,0.6805555,0.0,0.0,18,0,18,0,0,0,18,0,0,0,4,1,4,0,0,0,1,0,3,104,18,0,8,0,1,0,17,18,7,12,2,0,0,1,57,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/draw/DrawFade.java,mindustry.world.draw.DrawFade,class,4,6,2,4,2,2,0,7,0,0.41666666,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,0,0,1,2,4,4,6,0,0,0,0,15,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous422$Anonymous424,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,2,24,35,1,1,0,1,0,1,59,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/graphics/BlockRenderer.java,mindustry.graphics.BlockRenderer$FloorQuadtree,innerclass,4,4,0,4,3,2,0,4,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous422$Anonymous427,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,2,22,34,1,1,0,1,0,1,57,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/content/Blocks.java,mindustry.content.Blocks$Anonymous134$Anonymous135,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Anuken__Mindustry/core/src/mindustry/world/draw/DrawBlock.java,mindustry.world.draw.DrawBlock,class,10,47,37,10,12,1,34,2,28,0.9375,0.0,0.0,8,0,8,0,0,0,8,0,1,0,2,1,1,0,1,0,1,0,0,32,4,1,2,0,1,2,2,6,1,5,2,0,0,0,67,1025,0
