file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/agui/src/main/java/org/atmosphere/agui/event/AgUiEventMapper.java,org.atmosphere.agui.event.AgUiEventMapper,class,5,10,5,5,4,1,0,3,3,0.85714287,0.0,0.0,3,0,2,1,0,0,2,0,0,0,7,2,0,7,0,0,5,0,1,23,2,0,0,1,0,0,0,7,0,7,1,0,0,0,82,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/admin/src/main/java/org/atmosphere/admin/AdminEventProducer.java,org.atmosphere.admin.AdminEventProducer$AdminBroadcasterListener$Anonymous1,anonymous,4,4,0,4,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/spring-boot-starter/src/test/java/org/atmosphere/spring/boot/SpringAtmosphereObjectFactoryTest.java,org.atmosphere.spring.boot.SpringAtmosphereObjectFactoryTest$TestConfig,innerclass,5,5,0,5,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,9,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/cpr/src/main/java/org/atmosphere/container/JSR356Endpoint.java,org.atmosphere.container.JSR356Endpoint$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/cpr/src/main/java/org/atmosphere/container/JSR356Endpoint.java,org.atmosphere.container.JSR356Endpoint$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/admin/src/main/java/org/atmosphere/admin/AdminEventHandler.java,org.atmosphere.admin.AdminEventHandler,class,7,10,3,7,10,2,0,14,1,0.5,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,2,1,1,0,0,2,0,0,27,2,0,3,0,0,3,0,4,0,4,1,0,0,0,79,17,2
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/coordinator/src/test/java/org/atmosphere/coordinator/transport/A2aAgentTransportTest.java,org.atmosphere.coordinator.transport.A2aAgentTransportTest,class,4,4,0,4,11,1,0,26,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,12,130,0,0,0,0,0,85,21,49,3,46,0,0,0,3,63,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,innerclass,7,7,0,7,14,1,0,11,0,0.42857143,0.0,0.0,14,0,14,0,0,0,14,0,0,0,2,0,0,2,0,0,0,0,0,48,5,0,0,0,0,0,0,2,0,2,0,0,0,0,33,2,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/generator/AtmosphereInitTest.java,AtmosphereInitTest,class,5,6,1,5,39,1,0,28,666,0.0,0.0,0.0,37,1,1,2,0,34,35,0,0,0,0,0,0,0,0,0,0,0,2,208,2,1,0,0,0,166,2,46,2,37,1,0,0,4,110,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/cpr/src/main/java/org/atmosphere/util/AbstractBroadcasterProxy.java,org.atmosphere.util.AbstractBroadcasterProxy,class,9,10,1,9,21,2,0,28,22,0.625,0.0,0.0,12,0,7,0,5,0,12,2,0,0,2,1,0,2,0,0,1,0,1,90,8,0,2,5,0,9,0,5,1,5,2,0,0,1,88,1025,7
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereHandlerWrapper.java,org.atmosphere.cpr.AtmosphereHandlerWrapper,class,6,25,19,6,14,1,0,12,11,0.7121212,0.0,0.0,11,0,10,0,0,1,11,0,0,0,6,0,0,6,0,0,3,0,0,61,7,1,1,1,0,9,1,12,2,9,2,0,0,1,38,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Atmosphere__atmosphere/modules/agui/src/test/java/org/atmosphere/agui/AgUiStreamingSessionTest.java,org.atmosphere.agui.AgUiStreamingSessionTest,class,11,12,1,11,33,1,0,43,0,0.56666666,0.0,0.0,30,0,0,1,0,29,29,0,0,0,5,0,0,5,0,0,0,0,10,230,1,2,1,0,1,156,13,39,0,37,2,0,0,0,139,0,7
