file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/charts/CyclingChartFragment.java,nodomain.freeyourgadget.gadgetbridge.activities.charts.CyclingChartFragment$CyclingDistanceFormatter,"CyclingDistanceFormatter/2[nodomain.freeyourgadget.gadgetbridge.activities.charts.CyclingChartFragment,java.lang.Float]",true,256,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/activities/charts/CyclingChartFragment.java,nodomain.freeyourgadget.gadgetbridge.activities.charts.CyclingChartFragment$CyclingDistanceFormatter,getPointLabel/1[nodomain.freeyourgadget.gadgetbridge.activities.charts.Entry],false,262,1,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/service/devices/huami/zeppos/ZeppOsWeather.java,nodomain.freeyourgadget.gadgetbridge.service.devices.huami.zeppos.ZeppOsWeather$Range,"Range/2[int,int]",true,330,0,1,1,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/service/devices/huami/zeppos/ZeppOsWeather.java,nodomain.freeyourgadget.gadgetbridge.service.devices.huami.zeppos.ZeppOsWeather$Range,"Range/2[java.lang.String,java.lang.String]",true,325,0,3,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/service/devices/binary_sensor/protocol/constants/SensorType.java,nodomain.freeyourgadget.gadgetbridge.service.devices.binary_sensor.protocol.constants.SensorType,getSensorTypeByte/0,false,24,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/service/devices/binary_sensor/protocol/constants/SensorType.java,nodomain.freeyourgadget.gadgetbridge.service.devices.binary_sensor.protocol.constants.SensorType,fromSensorTypeByte/1[byte],false,28,1,3,1,2,3,2,8,2,0,1,2,1,1,1,1,0,0,0,0,0,0,2,0,0,0,7,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/devices/huawei/packets/Menstrual.java,nodomain.freeyourgadget.gadgetbridge.devices.huawei.packets.Menstrual$ModifyTime$Response,Response/1[nodomain.freeyourgadget.gadgetbridge.devices.huawei.HuaweiPacket.ParamsProvider],true,46,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/devices/huawei/packets/Menstrual.java,nodomain.freeyourgadget.gadgetbridge.devices.huawei.packets.Menstrual$ModifyTime$Response,parseTlv/0,false,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/devices/huami/HuamiConst.java,nodomain.freeyourgadget.gadgetbridge.devices.huami.HuamiConst,toRawActivityType/1[nodomain.freeyourgadget.gadgetbridge.devices.huami.ActivityKind],false,168,1,1,1,0,6,0,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Freeyourgadget__Gadgetbridge/app/src/main/java/nodomain/freeyourgadget/gadgetbridge/devices/huami/HuamiConst.java,nodomain.freeyourgadget.gadgetbridge.devices.huami.HuamiConst,toActivityKind/1[int],false,146,1,1,1,0,10,0,21,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,0,false
