file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/system/shutdown/GracefulShutdownService.java,org.graylog2.system.shutdown.GracefulShutdownService,startUp/0,false,58,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/system/shutdown/GracefulShutdownService.java,org.graylog2.system.shutdown.GracefulShutdownService,unregister/1[org.graylog2.system.shutdown.GracefulShutdownHook],false,123,1,0,0,0,2,3,6,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,41,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/system/shutdown/GracefulShutdownService.java,org.graylog2.system.shutdown.GracefulShutdownService,shutDown/0,false,63,3,2,0,2,6,17,33,1,4,0,17,1,1,1,0,2,0,5,1,4,0,4,0,0,1,25,4,5,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/system/shutdown/GracefulShutdownService.java,org.graylog2.system.shutdown.GracefulShutdownService,executorService/1[int],false,131,1,1,1,0,1,4,3,1,2,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,13,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/system/shutdown/GracefulShutdownService.java,org.graylog2.system.shutdown.GracefulShutdownService,register/1[org.graylog2.system.shutdown.GracefulShutdownHook],false,106,1,0,0,0,2,3,6,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,30,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/rest/resources/system/jobs/ServiceManagerResource.java,org.graylog2.rest.resources.system.jobs.ServiceManagerResource,ServiceManagerResource/1[org.graylog2.rest.resources.system.jobs.ServiceManager],true,43,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/main/java/org/graylog2/rest/resources/system/jobs/ServiceManagerResource.java,org.graylog2.rest.resources.system.jobs.ServiceManagerResource,list/0,false,51,5,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/test/java/org/graylog/security/certutil/CaTruststoreImplTest.java,org.graylog.security.certutil.CaTruststoreImplTest,testAbsenceOfPrivateKey/0,false,35,6,2,0,2,2,13,17,0,5,0,13,2,1,0,0,1,0,1,0,4,0,2,0,0,1,22,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/test/java/org/graylog/security/certutil/CaTruststoreImplTest.java,org.graylog.security.certutil.CaTruststoreImplTest,"mockCaService/2[java.security.KeyStore,java.lang.String]",false,59,3,1,1,0,1,5,5,1,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/Graylog2__graylog2-server/graylog2-server/src/test/java/org/graylog/security/certutil/CaTruststoreImplTest.java,org.graylog.security.certutil.CaTruststoreImplTest,generateCaKeys/0,false,66,2,1,1,0,1,5,3,1,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,10,0,false
