file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/wmshell/src/com/android/wm/shell/bubbles/bar/BubbleBarLayerView.java,com.android.wm.shell.bubbles.bar.BubbleBarLayerView$LocationChangeListener,onRelease/1[com.android.wm.shell.bubbles.bar.BubbleBarLocation],false,712,5,3,1,2,3,4,7,0,1,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/wmshell/src/com/android/wm/shell/bubbles/bar/BubbleBarLayerView.java,com.android.wm.shell.bubbles.bar.BubbleBarLayerView$LocationChangeListener,onStart/1[com.android.wm.shell.bubbles.bar.BubbleBarLocation],false,702,2,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/wmshell/src/com/android/wm/shell/bubbles/bar/BubbleBarLayerView.java,com.android.wm.shell.bubbles.bar.BubbleBarLayerView$LocationChangeListener,onChange/1[com.android.wm.shell.bubbles.bar.BubbleBarLocation],false,707,3,3,2,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,getTaskbarIconAlpha/0,false,428,3,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,setTranslationYForStash/1[float],false,643,1,2,1,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,commitRunningAppsToUI/0,false,1293,3,5,2,3,4,6,6,0,0,0,6,1,1,0,1,0,0,0,0,0,0,1,0,0,0,21,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,"TaskbarViewController/2[com.android.launcher3.taskbar.TaskbarActivityContext,com.android.launcher3.taskbar.TaskbarView]",true,231,4,4,1,3,1,12,16,0,0,2,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,32,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,"updateIconViewsTranslationX/2[int,float]",false,668,4,3,2,1,2,4,7,0,2,2,4,0,0,1,0,0,1,0,0,2,0,1,0,0,0,14,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,onDestroyAnimation/1[com.android.launcher3.taskbar.AnimatorSet],false,402,1,1,1,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,setTranslationYForSwipe/1[float],false,635,1,2,1,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,getTaskbarIconScaleForPinning/0,false,492,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,onBubbleBarLocationAnimated/1[com.android.launcher3.taskbar.BubbleBarLocation],false,333,4,7,0,7,4,8,12,0,2,1,8,4,2,0,0,0,0,0,0,3,0,1,0,0,0,32,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,getIconViews/0,false,476,2,5,4,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/LawnchairLauncher__lawnchair/quickstep/src/com/android/launcher3/taskbar/TaskbarViewController.java,com.android.launcher3.taskbar.TaskbarViewController,onUiControllerChanged/0,false,312,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
