file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"commonDestroyed/3[org.terasology.engine.world.block.entity.DoDestroyEvent,org.terasology.engine.world.block.entity.EntityRef,org.terasology.engine.world.block.Block]",false,153,12,8,2,6,7,15,18,0,4,3,15,0,0,0,1,0,0,1,1,4,0,3,0,0,0,23,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"shouldDropToWorld/4[org.terasology.engine.world.block.entity.CreateBlockDropsEvent,org.terasology.engine.world.block.Block,org.terasology.engine.world.block.entity.damage.BlockDamageModifierComponent,org.terasology.engine.world.block.entity.EntityRef]",false,139,5,3,1,2,1,2,3,1,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"defaultDropsHandling/3[org.terasology.engine.world.block.entity.CreateBlockDropsEvent,org.terasology.engine.world.block.entity.EntityRef,org.terasology.engine.world.block.BlockComponent]",false,85,7,3,0,3,1,3,4,0,1,3,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,initialise/0,false,63,2,2,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"processDropping/3[org.terasology.engine.world.block.entity.EntityRef,org.terasology.engine.world.block.entity.Vector3ic,float]",false,180,6,2,1,1,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"commonDefaultDropsHandling/4[org.terasology.engine.world.block.entity.CreateBlockDropsEvent,org.terasology.engine.world.block.entity.EntityRef,org.terasology.engine.world.block.entity.Vector3ic,org.terasology.engine.world.block.Block]",false,115,9,9,2,7,5,8,18,0,4,4,8,2,2,0,2,0,0,0,3,6,1,3,0,0,0,27,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"isDirectPickup/2[org.terasology.engine.world.block.Block,org.terasology.engine.world.block.entity.damage.BlockDamageModifierComponent]",false,149,2,2,1,1,2,1,3,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"doDestroy/3[org.terasology.engine.world.block.entity.DoDestroyEvent,org.terasology.engine.world.block.entity.EntityRef,org.terasology.engine.world.block.BlockComponent]",false,78,7,4,0,4,1,5,4,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"giveItem/2[org.terasology.engine.world.block.entity.CreateBlockDropsEvent,org.terasology.engine.world.block.entity.EntityRef]",false,143,3,2,1,1,1,3,5,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/MovingBlocks__Terasology/engine/src/main/java/org/terasology/engine/world/block/entity/BlockEntitySystem.java,org.terasology.engine.world.block.entity.BlockEntitySystem,"doDestroy/3[org.terasology.engine.world.block.entity.DoDestroyEvent,org.terasology.engine.world.block.entity.EntityRef,org.terasology.engine.world.block.regions.ActAsBlockComponent]",false,70,7,2,0,2,2,2,5,0,0,3,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,9,1,0,false
