file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,setScrollbarsVisible/1[boolean],false,84,0,1,1,0,3,2,9,0,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,10,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,"onMeasure/2[int,int]",false,52,1,1,0,1,3,5,6,0,0,2,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,10,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,setMeasureCallback/1[org.thunderdog.challegram.v.MediaRecyclerView.MeasureCallback],false,47,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,init/0,false,71,1,3,3,0,1,2,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,"MediaRecyclerView/2[org.thunderdog.challegram.v.Context,org.thunderdog.challegram.v.AttributeSet]",true,31,4,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,getVerticalScrollbarPosition/0,false,60,2,0,0,0,3,6,10,2,2,0,6,0,0,0,2,0,0,0,2,2,0,2,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,MediaRecyclerView/1[org.thunderdog.challegram.v.Context],true,26,2,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/v/MediaRecyclerView.java,org.thunderdog.challegram.v.MediaRecyclerView,"MediaRecyclerView/3[org.thunderdog.challegram.v.Context,org.thunderdog.challegram.v.AttributeSet,int]",true,36,4,1,0,1,1,1,4,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/navigation/TooltipOverlayView.java,org.thunderdog.challegram.navigation.TooltipOverlayView$TooltipContentView,"draw/8[org.thunderdog.challegram.navigation.Canvas,org.thunderdog.challegram.navigation.TooltipOverlayView.ColorProvider,int,int,int,int,float,org.thunderdog.challegram.loader.ComplexReceiver]",false,118,3,1,1,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/TGX-Android__Telegram-X/app/src/main/java/org/thunderdog/challegram/navigation/TooltipOverlayView.java,org.thunderdog.challegram.navigation.TooltipOverlayView$TooltipContentView,"layout/4[org.thunderdog.challegram.navigation.TooltipOverlayView.TooltipInfo,int,int,int]",false,113,1,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
