file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/common/io/plugin/ResourcesPluginDirectory.java,com.alibaba.alink.common.io.plugin.ResourcesPluginDirectory,ResourcesPluginDirectory/1[com.alibaba.alink.common.io.filesystem.FilePath],true,15,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/common/io/plugin/ResourcesPluginDirectory.java,com.alibaba.alink.common.io.plugin.ResourcesPluginDirectory,"createPluginDescriptorForSubDirectory/2[java.lang.String,java.lang.String]",false,20,4,6,1,5,3,5,16,2,2,2,5,0,0,0,0,1,0,1,0,2,0,1,0,0,0,21,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/operator/stream/recommendation/ItemCfSimilarItemsRecommStreamOp.java,com.alibaba.alink.operator.stream.recommendation.ItemCfSimilarItemsRecommStreamOp,"ItemCfSimilarItemsRecommStreamOp/2[com.alibaba.alink.operator.stream.recommendation.BatchOperator<?>,com.alibaba.alink.operator.stream.recommendation.Params]",true,27,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/operator/stream/recommendation/ItemCfSimilarItemsRecommStreamOp.java,com.alibaba.alink.operator.stream.recommendation.ItemCfSimilarItemsRecommStreamOp,ItemCfSimilarItemsRecommStreamOp/1[com.alibaba.alink.operator.stream.recommendation.BatchOperator<?>],true,23,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/operator/common/recommendation/GraphUtils.java,com.alibaba.alink.operator.common.recommendation.GraphUtils$Anonymous3,"map/1[com.alibaba.alink.operator.common.recommendation.Tuple3<java.lang.Integer,java.lang.Integer,java.lang.Long>]",false,64,1,0,0,0,2,2,8,1,0,1,2,0,0,0,0,0,3,3,4,0,7,1,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/operator/common/recommendation/GraphUtils.java,com.alibaba.alink.operator.common.recommendation.GraphUtils$Anonymous2,"reduce/2[com.alibaba.alink.operator.common.recommendation.Tuple3<java.lang.Integer,java.lang.Integer,java.lang.Long>,com.alibaba.alink.operator.common.recommendation.Tuple3<java.lang.Integer,java.lang.Integer,java.lang.Long>]",false,55,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/params/timeseries/holtwinters/HasBeta.java,com.alibaba.alink.params.timeseries.holtwinters.HasBeta,getBeta/0,false,21,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65536,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/params/timeseries/holtwinters/HasBeta.java,com.alibaba.alink.params.timeseries.holtwinters.HasBeta,setBeta/1[java.lang.Double],false,25,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65536,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/operator/common/recommendation/GraphUtils.java,com.alibaba.alink.operator.common.recommendation.GraphUtils$Anonymous1,"mapPartition/2[java.lang.Iterable<com.alibaba.alink.operator.common.recommendation.Tuple3<java.lang.Integer,java.lang.Integer,java.lang.Float>>,com.alibaba.alink.operator.common.recommendation.Collector<com.alibaba.alink.operator.common.recommendation.Tuple3<java.lang.Integer,java.lang.Integer,java.lang.Long>>]",false,37,2,0,0,0,2,2,11,0,3,2,2,0,0,1,0,0,0,0,3,5,0,1,0,0,0,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__Alink/core/src/main/java/com/alibaba/alink/operator/common/feature/featurebuilder/DateUtil.java,com.alibaba.alink.operator.common.feature.featurebuilder.DateUtil$YearTime,YearTime/1[double],true,85,2,1,0,1,3,1,9,0,0,1,1,1,1,0,0,0,0,4,0,0,2,1,0,0,0,20,1,0,false
