file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/issue_1200/Issue1271.java,com.alibaba.json.bvt.issue_1200.Issue1271$B,getA/0,false,42,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/issue_1200/Issue1271.java,com.alibaba.json.bvt.issue_1200.Issue1271$B,setA/1[int],false,46,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_list_size_3.java,com.alibaba.json.bvt.path.JSONPath_list_size_3,test_java_bean/0,false,10,2,1,0,1,1,3,8,0,3,0,3,0,0,0,0,0,0,2,2,5,0,0,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_list_size_3.java,com.alibaba.json.bvt.path.JSONPath_list_size_3,test_java_bean_field_null/0,false,19,2,1,0,1,1,3,8,0,3,0,3,0,0,0,0,0,0,1,2,5,0,0,0,0,0,16,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/writeAsArray/WriteAsArray_list_obj_first_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public$A,setValue/1[int],false,73,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/writeAsArray/WriteAsArray_list_obj_first_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public$A,getValue/0,false,69,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/bug/Issue869_1.java,com.alibaba.json.bvt.bug.Issue869_1$Point,Point/0,true,53,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/bug/Issue869_1.java,com.alibaba.json.bvt.bug.Issue869_1$Point,"Point/2[int,int]",true,57,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_list_size_1.java,com.alibaba.json.bvt.path.JSONPath_list_size_1,test_obj_array/0,false,10,1,0,0,0,1,3,6,0,3,0,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_list_size_1.java,com.alibaba.json.bvt.path.JSONPath_list_size_1,test_int_array/0,false,17,2,0,0,0,1,3,6,0,3,0,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_list_size_2.java,com.alibaba.json.bvt.path.JSONPath_list_size_2,test_map/0,false,13,1,0,0,0,1,5,8,0,3,0,5,0,0,0,0,0,0,3,2,3,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/test/java/com/alibaba/json/bvt/path/JSONPath_list_size_2.java,com.alibaba.json.bvt.path.JSONPath_list_size_2,test_map_null/0,false,22,1,0,0,0,1,4,9,0,3,0,4,0,0,0,0,0,0,4,3,3,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/main/java/com/alibaba/fastjson/JSONPath.java,com.alibaba.fastjson.JSONPath,"remove/2[java.lang.Object,java.lang.String]",false,693,1,2,0,2,1,2,4,1,1,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,11,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson/src/main/java/com/alibaba/fastjson/JSONPath.java,com.alibaba.fastjson.JSONPath,"eq/2[java.lang.Object,java.lang.Object]",false,3758,1,2,1,1,7,3,18,6,0,2,3,1,2,0,4,0,0,0,0,0,0,2,0,0,0,10,8,0,false
