file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,test_0_utf8/0,false,18,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,lexerTest/1[com.alibaba.fastjson2.read.JSONReader],false,48,1,5,5,0,1,8,13,0,0,1,8,0,0,0,0,0,0,5,2,0,0,0,0,0,0,9,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,test_0_utf16_is/0,false,43,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,test_0_utf16_bytes/0,false,30,4,1,0,1,1,3,5,0,2,0,3,1,1,0,0,0,0,0,1,2,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,test_0_utf8_is/0,false,37,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_2.java,com.alibaba.fastjson2.read.ParserTest_2,test_0_utf16/0,false,24,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,test_0_utf8_is/0,false,44,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,test_0_ascii_bytes/0,false,18,4,1,0,1,1,3,5,0,2,0,3,1,1,0,0,0,0,0,1,2,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,test_0_utf16_is/0,false,50,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,test_0_utf16/0,false,31,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,test_0_utf8/0,false,25,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,lexerTest/1[com.alibaba.fastjson2.read.JSONReader],false,55,1,6,6,0,1,10,15,0,0,1,10,0,0,0,0,0,0,7,2,0,0,0,0,0,0,9,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_1.java,com.alibaba.fastjson2.read.ParserTest_1,test_0_utf16_bytes/0,false,37,4,1,0,1,1,3,5,0,2,0,3,1,1,0,0,0,0,0,1,2,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/codegen-test/src/test/java/com/alibaba/fastjson2/internal/processor/issues/Issue3833.java,com.alibaba.fastjson2.internal.processor.issues.Issue3833,test/0,false,15,4,1,0,1,1,6,8,0,3,0,6,0,0,0,0,0,0,3,1,3,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_4.java,com.alibaba.fastjson2.read.ParserTest_4,test_0_utf8/0,false,18,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_4.java,com.alibaba.fastjson2.read.ParserTest_4,lexerTest/1[com.alibaba.fastjson2.read.JSONReader],false,48,1,5,5,0,1,10,15,0,0,1,10,0,0,0,0,0,0,7,2,0,0,0,0,0,0,9,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/alibaba__fastjson2/core/src/test/java/com/alibaba/fastjson2/read/ParserTest_4.java,com.alibaba.fastjson2.read.ParserTest_4,test_0_utf16_is/0,false,43,3,1,0,1,1,3,4,0,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,false
