file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/sql/validate/JoinScope.java,org.apache.calcite.sql.validate.JoinScope,"JoinScope/3[org.apache.calcite.sql.validate.SqlValidatorScope,org.apache.calcite.sql.validate.SqlValidatorScope,org.apache.calcite.sql.SqlJoin]",true,58,3,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/sql/validate/JoinScope.java,org.apache.calcite.sql.validate.JoinScope,getUsingScope/0,false,109,2,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/sql/validate/JoinScope.java,org.apache.calcite.sql.validate.JoinScope,"addChild/3[org.apache.calcite.sql.validate.SqlValidatorNamespace,java.lang.String,boolean]",false,71,4,5,0,5,6,6,9,1,0,3,6,0,0,0,5,0,3,0,0,0,0,1,0,0,0,24,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/sql/validate/JoinScope.java,org.apache.calcite.sql.validate.JoinScope,isWithin/1[org.apache.calcite.sql.validate.SqlValidatorScope],false,113,1,1,0,1,2,2,6,2,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/sql/validate/JoinScope.java,org.apache.calcite.sql.validate.JoinScope,lookupWindow/1[java.lang.String],false,97,3,1,0,1,2,1,8,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/sql/validate/JoinScope.java,org.apache.calcite.sql.validate.JoinScope,getNode/0,false,66,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/rel/rules/JoinDeriveIsNotNullFilterRule.java,org.apache.calcite.rel.rules.JoinDeriveIsNotNullFilterRule$Config,toRule/0,false,115,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,65536,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/rel/metadata/RelMdAllPredicates.java,org.apache.calcite.rel.metadata.RelMdAllPredicates,"getAllFilterPredicates/3[org.apache.calcite.rel.RelNode,org.apache.calcite.rel.metadata.RelMetadataQuery,org.apache.calcite.rel.metadata.RexNode]",false,152,11,6,2,4,5,12,25,4,9,3,12,0,0,1,3,0,0,0,0,9,0,2,0,0,0,44,10,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/rel/metadata/RelMdAllPredicates.java,org.apache.calcite.rel.metadata.RelMdAllPredicates,"getAllPredicates/2[org.apache.calcite.rel.metadata.Join,org.apache.calcite.rel.metadata.RelMetadataQuery]",false,190,15,5,0,5,12,29,58,6,20,2,29,0,0,4,6,0,0,0,1,22,1,4,0,0,1,58,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__calcite/core/src/main/java/org/apache/calcite/rel/metadata/RelMdAllPredicates.java,org.apache.calcite.rel.metadata.RelMdAllPredicates,"getAllPredicates/2[org.apache.calcite.rel.metadata.HepRelVertex,org.apache.calcite.rel.metadata.RelMetadataQuery]",false,99,4,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
