file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-dao/src/test/java/org/apache/dolphinscheduler/dao/mapper/PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,testQueryByNameAndType/0,false,50,4,2,0,2,1,6,7,0,2,0,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-dao/src/test/java/org/apache/dolphinscheduler/dao/mapper/PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,testQueryAllPluginDefineList/0,false,35,4,2,0,2,2,4,5,0,1,0,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-dao/src/test/java/org/apache/dolphinscheduler/dao/mapper/PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,createPluginDefine/0,false,64,1,4,3,1,1,1,5,1,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,2,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-dao/src/test/java/org/apache/dolphinscheduler/dao/mapper/PluginDefineTest.java,org.apache.dolphinscheduler.dao.mapper.PluginDefineTest,testQeryByPluginType/0,false,42,4,2,0,2,2,7,6,0,2,0,7,1,1,0,0,0,0,0,2,2,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/dto/ScheduleParam.java,org.apache.dolphinscheduler.api.dto.ScheduleParam,toString/0,false,46,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/dto/ScheduleParam.java,org.apache.dolphinscheduler.api.dto.ScheduleParam,"ScheduleParam/4[java.util.Date,java.util.Date,java.lang.String,java.lang.String]",true,38,0,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/dto/ScheduleParam.java,org.apache.dolphinscheduler.api.dto.ScheduleParam,ScheduleParam/0,true,35,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/WorkflowLineageController.java,org.apache.dolphinscheduler.api.controller.WorkflowLineageController,"queryWorkFlowLineage/2[org.apache.dolphinscheduler.api.controller.User,long]",false,100,11,3,0,3,2,7,12,2,2,2,7,0,0,0,0,1,0,5,0,2,0,1,0,0,0,25,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/WorkflowLineageController.java,org.apache.dolphinscheduler.api.controller.WorkflowLineageController,"verifyTaskCanDelete/4[org.apache.dolphinscheduler.api.controller.User,long,long,long]",false,133,14,3,0,3,2,4,9,1,2,4,4,0,0,0,0,0,0,14,0,2,0,1,0,0,0,58,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/WorkflowLineageController.java,org.apache.dolphinscheduler.api.controller.WorkflowLineageController,"queryWorkFlowLineageByCode/3[org.apache.dolphinscheduler.api.controller.User,long,long]",false,88,10,1,0,1,1,3,6,1,2,3,3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,30,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/WorkflowLineageController.java,org.apache.dolphinscheduler.api.controller.WorkflowLineageController,"queryWorkFlowLineageByName/3[org.apache.dolphinscheduler.api.controller.User,long,java.lang.String]",false,75,11,1,0,1,1,3,5,1,1,3,3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,34,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-api/src/main/java/org/apache/dolphinscheduler/api/controller/WorkflowLineageController.java,org.apache.dolphinscheduler.api.controller.WorkflowLineageController,"queryDependentTasks/4[org.apache.dolphinscheduler.api.controller.User,long,long,java.lang.Long]",false,158,13,1,0,1,1,3,6,1,2,4,3,0,0,0,0,0,0,11,0,2,0,0,0,0,0,48,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/enums/RunMode.java,org.apache.dolphinscheduler.common.enums.RunMode,"RunMode/2[int,java.lang.String]",true,34,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/enums/RunMode.java,org.apache.dolphinscheduler.common.enums.RunMode,getCode/0,false,43,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/enums/RunMode.java,org.apache.dolphinscheduler.common.enums.RunMode,getDescp/0,false,47,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/exception/StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,StorageOperateNoConfiguredException/1[java.lang.String],true,25,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/exception/StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,"StorageOperateNoConfiguredException/4[java.lang.String,java.lang.Throwable,boolean,boolean]",true,38,0,1,1,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/exception/StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,StorageOperateNoConfiguredException/1[java.lang.Throwable],true,33,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/exception/StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,"StorageOperateNoConfiguredException/2[java.lang.String,java.lang.Throwable]",true,29,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-common/src/main/java/org/apache/dolphinscheduler/common/exception/StorageOperateNoConfiguredException.java,org.apache.dolphinscheduler.common.exception.StorageOperateNoConfiguredException,StorageOperateNoConfiguredException/0,true,22,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-master/src/main/java/org/apache/dolphinscheduler/server/master/rpc/TaskInstanceControllerImpl.java,org.apache.dolphinscheduler.server.master.rpc.TaskInstanceControllerImpl,notifyTaskGroupSlotAcquireSuccess/1[org.apache.dolphinscheduler.extract.master.transportor.TaskGroupSlotAcquireSuccessNotifyRequest],false,43,9,9,0,9,3,15,24,3,4,1,15,0,0,0,2,1,0,6,0,4,2,2,0,0,0,24,1,4,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-tools/src/test/java/org/apache/dolphinscheduler/tools/datasource/postgresql/PostgresqlDatabaseContainerProvider.java,org.apache.dolphinscheduler.tools.datasource.postgresql.PostgresqlDatabaseContainerProvider,getType/0,false,68,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-tools/src/test/java/org/apache/dolphinscheduler/tools/datasource/postgresql/PostgresqlDatabaseContainerProvider.java,org.apache.dolphinscheduler.tools.datasource.postgresql.PostgresqlDatabaseContainerProvider,getContainer/1[org.apache.dolphinscheduler.tools.datasource.jupiter.DolphinSchedulerDatabaseContainer],false,43,3,1,0,1,1,16,12,1,2,1,16,0,0,0,0,0,0,11,2,2,1,0,0,0,0,26,1,3,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-task-executor/src/main/java/org/apache/dolphinscheduler/task/executor/events/TaskExecutorDispatchedLifecycleEvent.java,org.apache.dolphinscheduler.task.executor.events.TaskExecutorDispatchedLifecycleEvent,of/1[org.apache.dolphinscheduler.task.executor.ITaskExecutor],false,44,3,2,1,1,1,10,4,1,1,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__dolphinscheduler/dolphinscheduler-master/src/main/java/org/apache/dolphinscheduler/server/master/engine/executor/LogicTaskExecutor.java,org.apache.dolphinscheduler.server.master.engine.executor.LogicTaskExecutor,doTrackTaskPluginStatus/0,false,43,2,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
