file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,onBinlogSplitUpdated/0,false,196,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,createBinlogSplit/0,false,207,11,15,1,14,10,16,23,1,8,0,16,0,0,1,3,0,0,0,0,11,0,2,0,0,0,26,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,getNext/0,false,108,4,8,0,8,6,10,24,6,0,0,10,2,1,0,0,0,0,0,0,2,0,2,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,noMoreSplits/0,false,186,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,open/0,false,103,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,"onFinishedSplits/1[java.util.Map<java.lang.String,org.apache.flink.cdc.connectors.mysql.source.offset.BinlogOffset>]",false,151,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,waitingForFinishedSplits/0,false,141,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,notifyCheckpointComplete/1[long],false,176,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,close/0,false,201,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,"MySqlHybridSplitAssigner/4[org.apache.flink.cdc.connectors.mysql.source.config.MySqlSourceConfig,int,org.apache.flink.cdc.connectors.mysql.source.assigners.state.HybridPendingSplitsState,org.apache.flink.cdc.connectors.mysql.source.assigners.SplitEnumeratorContext<org.apache.flink.cdc.connectors.mysql.source.split.MySqlSplit>]",true,79,4,5,1,4,1,3,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,addSplits/1[java.util.Collection<org.apache.flink.cdc.connectors.mysql.source.split.MySqlSplit>],false,156,2,2,0,2,3,3,12,0,1,1,3,0,0,1,0,0,0,0,0,2,0,2,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,getAssignerStatus/0,false,181,2,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,"MySqlHybridSplitAssigner/5[org.apache.flink.cdc.connectors.mysql.source.config.MySqlSourceConfig,int,java.util.List<org.apache.flink.cdc.connectors.mysql.source.assigners.TableId>,boolean,org.apache.flink.cdc.connectors.mysql.source.assigners.SplitEnumeratorContext<org.apache.flink.cdc.connectors.mysql.source.split.MySqlSplit>]",true,62,4,3,1,2,1,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,"MySqlHybridSplitAssigner/4[org.apache.flink.cdc.connectors.mysql.source.config.MySqlSourceConfig,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlSnapshotSplitAssigner,boolean,int]",true,95,2,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,startAssignNewlyAddedTables/0,false,191,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,snapshotState/1[long],false,170,3,2,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink-cdc/flink-cdc-connect/flink-cdc-source-connectors/flink-connector-mysql-cdc/src/main/java/org/apache/flink/cdc/connectors/mysql/source/assigners/MySqlHybridSplitAssigner.java,org.apache.flink.cdc.connectors.mysql.source.assigners.MySqlHybridSplitAssigner,getFinishedSplitInfos/0,false,146,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
