file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-runtime/src/main/java/org/apache/flink/runtime/asyncprocessing/operators/windowing/functions/InternalIterableProcessAsyncWindowFunction.java,org.apache.flink.runtime.asyncprocessing.operators.windowing.functions.InternalIterableProcessAsyncWindowFunction,class,14,14,0,14,5,2,0,6,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,0,34,2,0,0,0,0,2,1,10,0,8,1,0,0,2,48,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-runtime/src/test/java/org/apache/flink/runtime/checkpoint/channel/RecoveredChannelStateHandlerTest.java,org.apache.flink.runtime.checkpoint.channel.RecoveredChannelStateHandlerTest,class,1,3,2,1,2,1,2,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1024,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-libraries/flink-cep/src/test/java/org/apache/flink/cep/nfa/UntilConditionITCase.java,org.apache.flink.cep.nfa.UntilConditionITCase,class,14,14,0,14,13,1,0,30,0,0.16666667,0.0,0.0,12,0,12,0,0,0,12,0,0,0,1,1,1,0,0,0,1,0,70,277,0,0,1,0,0,128,209,135,0,157,0,2,0,22,59,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-tests/src/test/java/org/apache/flink/test/streaming/runtime/IntervalJoinITCase.java,org.apache.flink.test.streaming.runtime.IntervalJoinITCase$SourceConsumer,interface,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,9,2,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-table/flink-table-planner/src/main/java/org/apache/flink/table/planner/plan/nodes/exec/serde/LogicalTypeJsonSerializer.java,org.apache.flink.table.planner.plan.nodes.exec.serde.LogicalTypeJsonSerializer$CompactSerializationChecker,innerclass,16,16,0,16,45,2,0,13,49,0.72727275,0.0,0.0,11,0,9,0,1,1,11,0,0,0,1,0,0,1,0,0,1,0,0,83,17,0,3,0,0,0,4,5,0,6,2,0,0,1,53,10,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-runtime/src/test/java/org/apache/flink/runtime/io/network/partition/UnionResultSubpartitionViewTest.java,org.apache.flink.runtime.io.network.partition.UnionResultSubpartitionViewTest$TestAvailabilityListener,innerclass,2,2,0,2,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,14,10,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-core/src/main/java/org/apache/flink/api/common/typeutils/base/DateComparator.java,org.apache.flink.api.common.typeutils.base.DateComparator,class,5,10,5,5,17,3,0,6,36,1.0,0.0,0.0,9,2,9,0,0,0,9,0,0,0,1,1,0,1,0,0,1,0,2,47,6,2,2,0,5,0,14,7,6,7,2,0,0,0,43,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-core-api/src/main/java/org/apache/flink/api/java/tuple/builder/Tuple0Builder.java,org.apache.flink.api.java.tuple.builder.Tuple0Builder,class,3,4,1,3,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-core/src/main/java/org/apache/flink/api/common/operators/base/CrossOperatorBase.java,org.apache.flink.api.common.operators.base.CrossOperatorBase,class,19,20,1,19,11,4,0,16,13,0.6666667,0.0,0.0,6,0,5,0,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,48,2,2,1,0,0,0,0,10,1,9,2,0,3,0,67,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-libraries/flink-state-processing-api/src/test/java/org/apache/flink/state/api/SavepointWindowReaderITCase.java,org.apache.flink.state.api.SavepointWindowReaderITCase$NoOpEvictor,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-tests/src/test/java/org/apache/flink/test/example/client/LocalExecutorITCase.java,org.apache.flink.test.example.client.LocalExecutorITCase,class,17,18,1,17,6,2,0,27,2,0.4666667,0.0,0.0,5,0,3,2,0,0,3,0,0,0,3,1,0,3,0,0,1,0,4,53,4,0,1,1,0,6,6,14,0,17,2,0,0,4,58,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-runtime/src/main/java/org/apache/flink/streaming/api/datastream/CoGroupedStreams.java,org.apache.flink.streaming.api.datastream.CoGroupedStreams$Input1Tagger,innerclass,4,4,0,4,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,11,10,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-streaming-java/src/test/java/org/apache/flink/streaming/runtime/tasks/MultipleInputStreamTaskTest.java,org.apache.flink.streaming.runtime.tasks.MultipleInputStreamTaskTest$LifeCycleTrackingMap,innerclass,4,4,0,4,4,2,0,4,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,3,3,0,0,0,3,0,0,19,0,0,0,0,0,3,0,3,0,3,0,0,0,0,22,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-runtime/src/test/java/org/apache/flink/streaming/runtime/partitioner/KeyGroupStreamPartitionerTest.java,org.apache.flink.streaming.runtime.partitioner.KeyGroupStreamPartitionerTest,class,8,9,1,8,3,1,0,6,1,0.6,0.0,0.0,3,0,0,1,0,2,2,0,0,0,5,0,0,5,0,0,0,0,0,27,1,0,0,0,0,2,9,5,0,5,0,1,0,0,25,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-core/src/main/java/org/apache/flink/types/parser/ByteParser.java,org.apache.flink.types.parser.ByteParser,class,4,7,3,4,34,2,0,4,8,0.6,0.0,0.0,5,2,5,0,0,0,5,0,2,0,1,0,0,1,0,0,0,0,4,80,12,2,9,0,7,4,19,14,5,7,3,0,0,0,70,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-runtime/src/main/java/org/apache/flink/runtime/state/metainfo/StateMetaInfoSnapshot.java,org.apache.flink.runtime.state.metainfo.StateMetaInfoSnapshot$BackendStateType,enum,1,1,0,1,5,1,0,1,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,16,2,1,1,0,0,1,5,1,1,1,2,0,0,0,43,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-core/src/test/java/org/apache/flink/api/common/typeutils/CompositeSerializerTest.java,org.apache.flink.api.common.typeutils.CompositeSerializerTest$Pojo,innerclass,1,1,0,1,8,1,0,5,0,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,2,0,0,0,2,0,4,26,5,0,4,0,0,3,1,5,4,4,1,0,0,0,17,10,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__flink/flink-table/flink-table-runtime/src/main/java/org/apache/flink/table/runtime/operators/join/lookup/keyordered/TableAsyncExecutionController.java,org.apache.flink.table.runtime.operators.join.lookup.keyordered.TableAsyncExecutionController,class,19,25,6,19,34,1,0,46,92,0.83199996,0.0,0.0,25,0,20,5,0,0,20,0,0,0,10,1,0,10,0,0,10,0,1,155,16,0,1,3,0,7,0,19,1,19,3,0,0,2,152,1,1
