file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/test/java/org/apache/fory/serializer/ObjectSerializerTest.java,org.apache.fory.serializer.ObjectSerializerTest$2Foo,foo/1[java.lang.String],false,65,0,4,4,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/test/java/org/apache/fory/serializer/UnsignedTest.java,org.apache.fory.serializer.UnsignedTest$Uint64OnlyStruct,hashCode/0,false,729,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/test/java/org/apache/fory/serializer/UnsignedTest.java,org.apache.fory.serializer.UnsignedTest$Uint64OnlyStruct,equals/1[java.lang.Object],false,716,1,0,0,0,7,2,6,3,1,1,2,0,0,0,6,0,0,0,0,1,0,1,0,0,0,16,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/reflect/FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,get/1[java.lang.Object],false,429,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/reflect/FieldAccessor.java,org.apache.fory.reflect.FieldAccessor$FloatGetter,"FloatGetter/2[java.lang.reflect.Field,org.apache.fory.util.function.ToFloatFunction]",true,422,2,2,1,1,2,2,5,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/util/record/RecordUtils.java,org.apache.fory.util.record.RecordUtils,buildRecordComponentDefaultValues/1[java.lang.Class<?>],false,206,2,3,1,2,11,2,35,1,5,1,2,1,1,1,9,0,0,0,8,14,0,2,0,0,0,15,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/util/record/RecordUtils.java,org.apache.fory.util.record.RecordUtils,(initializer 1),false,48,0,69,0,69,2,4,35,0,8,0,4,0,0,0,0,1,0,8,0,22,0,1,0,0,0,35,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/util/record/RecordUtils.java,org.apache.fory.util.record.RecordUtils,buildFieldToComponentMapping/1[java.lang.Class<?>],false,261,2,2,0,2,3,3,10,1,3,1,3,1,1,1,1,0,0,0,1,3,0,1,0,0,0,23,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/util/record/RecordUtils.java,org.apache.fory.util.record.RecordUtils,"buildRecordComponentMapping/2[java.lang.Class<?>,java.util.List<java.lang.String>]",false,236,3,3,1,2,5,5,23,2,7,2,5,1,1,2,2,0,0,0,3,9,0,2,0,0,0,25,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/util/record/RecordUtils.java,org.apache.fory.util.record.RecordUtils,getRecordConstructor/1[java.lang.Class<?>],false,197,1,4,4,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__fory/java/fory-core/src/main/java/org/apache/fory/util/record/RecordUtils.java,org.apache.fory.util.record.RecordUtils,getRecordComponents/1[java.lang.Class<?>],false,189,1,8,8,0,2,1,6,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52,9,0,true
