file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/subprojects/groovy-contracts/src/main/java/org/apache/groovy/contracts/classgen/asm/ContractClosureWriter.java,org.apache.groovy.contracts.classgen.asm.ContractClosureWriter$Anonymous1,anonymous,3,3,0,3,5,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,1,0,0,0,0,2,0,2,3,0,0,0,10,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/org/codehaus/groovy/classgen/asm/sc/StaticPropertyAccessHelper.java,org.codehaus.groovy.classgen.asm.sc.StaticPropertyAccessHelper,class,7,9,2,7,2,4,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,0,0,0,0,6,0,4,1,0,2,0,40,1025,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/groovy/lang/Tuple10.java,groovy.lang.Tuple10,class,12,14,2,12,13,4,0,0,36,0.79020983,0.0,0.0,13,0,13,0,0,0,13,0,0,0,11,1,0,11,0,0,11,0,0,62,11,0,0,0,0,0,1,11,0,11,0,0,0,0,47,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/test/groovy/org/codehaus/groovy/antlr/AnnotationSourceParsingTest.java,org.codehaus.groovy.antlr.AnnotationSourceParsingTest,class,3,4,1,3,3,2,0,3,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,13,0,1,1,1,1,0,0,0,26,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/SimpleGroovyFieldDoc.java,org.codehaus.groovy.tools.groovydoc.SimpleGroovyFieldDoc,class,4,8,4,4,8,5,0,0,24,0.75,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,0,28,5,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/org/codehaus/groovy/classgen/asm/WriterController.java,org.codehaus.groovy.classgen.asm.WriterController,class,38,97,59,38,83,1,1,34,1291,0.9513195,0.0,0.0,55,1,54,1,0,0,54,0,0,0,29,0,1,28,0,0,0,0,7,299,50,1,12,0,1,4,5,57,0,38,2,0,0,0,156,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/org/codehaus/groovy/control/CompilerConfiguration.java,org.codehaus.groovy.control.CompilerConfiguration$Anonymous1,anonymous,4,4,0,4,32,1,0,16,496,0.0,0.0,0.0,32,0,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,98,6,0,0,0,0,0,0,0,0,0,0,0,0,0,83,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/groovy/lang/Tuple14.java,groovy.lang.Tuple14,class,16,18,2,16,17,4,0,0,78,0.835294,0.0,0.0,17,0,17,0,0,0,17,0,0,0,15,1,0,15,0,0,15,0,0,82,15,0,0,0,0,0,1,15,0,15,0,0,0,0,59,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/groovy/lang/Tuple13.java,groovy.lang.Tuple13,class,15,17,2,15,16,4,0,0,66,0.82589287,0.0,0.0,16,0,16,0,0,0,16,0,0,0,14,1,0,14,0,0,14,0,0,77,14,0,0,0,0,0,1,14,0,14,0,0,0,0,56,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/groovy/lang/Tuple12.java,groovy.lang.Tuple12,class,14,16,2,14,15,4,0,0,55,0.81538475,0.0,0.0,15,0,15,0,0,0,15,0,0,0,13,1,0,13,0,0,13,0,0,72,13,0,0,0,0,0,1,13,0,13,0,0,0,0,53,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/main/java/groovy/lang/Tuple11.java,groovy.lang.Tuple11,class,13,15,2,13,14,4,0,0,45,0.8035714,0.0,0.0,14,0,14,0,0,0,14,0,0,0,12,1,0,12,0,0,12,0,0,67,12,0,0,0,0,0,1,12,0,12,0,0,0,0,50,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/subprojects/groovy-templates/src/main/groovy/groovy/text/markup/IncludeType.java,groovy.text.markup.IncludeType,enum,0,1,1,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,18,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__groovy/src/test/groovy/groovy/lang/MetaClassTest.java,groovy.lang.MetaClassTest$DymmyClass,innerclass,3,3,0,3,9,1,0,2,30,0.8730159,0.0,0.0,9,0,9,0,0,0,9,0,0,0,7,0,2,3,0,2,0,0,0,36,3,0,0,0,0,1,1,7,0,7,0,0,0,0,24,8,0
