file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/webapp/LogWebService.java,org.apache.hadoop.yarn.server.webapp.LogWebService$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/webapp/LogWebService.java,org.apache.hadoop.yarn.server.webapp.LogWebService$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/main/java/org/apache/hadoop/mapreduce/v2/app/rm/RMHeartbeatHandler.java,org.apache.hadoop.mapreduce.v2.app.rm.RMHeartbeatHandler,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-jobclient/src/test/java/org/apache/hadoop/fs/loadGenerator/LoadGeneratorMR.java,org.apache.hadoop.fs.loadGenerator.LoadGeneratorMR$ReducerThatCollectsLGdata,innerclass,9,9,0,9,17,2,0,16,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,67,1,1,0,1,0,3,1,19,2,6,1,0,0,0,58,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/security/TestShellBasedUnixGroupsMapping.java,org.apache.hadoop.security.TestShellBasedUnixGroupsMapping$TestNumericGroupResolvable,innerclass,2,2,0,2,4,2,0,8,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,2,0,2,0,2,0,2,1,0,0,0,36,2,2
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/SubClusterDeregisterResponse.java,org.apache.hadoop.yarn.server.federation.store.records.SubClusterDeregisterResponse,class,3,9,6,3,1,1,1,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,29,1025,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileSystem.java,org.apache.hadoop.fs.FileSystem,class,76,238,162,76,309,5,18,231,19325,0.98603684,0.0,0.0,198,37,166,6,22,4,192,11,2,5,17,13,6,8,1,2,12,0,62,1722,138,9,40,14,2,132,37,116,53,96,5,6,6,1,1419,1025,23
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/DFSUtil.java,org.apache.hadoop.hdfs.DFSUtil$ConfiguredNNAddress,innerclass,0,0,0,0,5,1,0,0,0,0.4,0.0,0.0,5,0,4,1,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,22,4,0,0,0,0,5,0,3,1,3,0,0,0,0,22,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/lib/output/SequenceFileAsBinaryOutputFormat.java,org.apache.hadoop.mapreduce.lib.output.SequenceFileAsBinaryOutputFormat$WritableValueBytes,innerclass,2,2,0,2,6,1,0,3,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,0,0,0,1,1,3,0,1,0,0,0,0,29,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/commit/AbfsManifestStoreOperations.java,org.apache.hadoop.fs.azurebfs.commit.AbfsManifestStoreOperations,class,13,15,2,13,9,2,0,17,2,0.70000005,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,2,1,3,0,0,2,0,0,38,5,0,2,1,1,4,0,5,1,5,1,0,0,0,113,1,2
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/webapp/AboutPage.java,org.apache.hadoop.yarn.server.resourcemanager.webapp.AboutPage,class,3,4,1,3,2,3,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-hdfs-project/hadoop-hdfs-client/src/main/java/org/apache/hadoop/fs/WebHdfs.java,org.apache.hadoop.fs.WebHdfs,class,6,7,1,6,2,2,0,2,1,0.5,NaN,NaN,2,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,11,1,0,0,0,0,1,0,2,0,2,0,0,0,0,45,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/sql/FederationQueryRunner.java,org.apache.hadoop.yarn.server.federation.store.sql.FederationQueryRunner,class,8,9,1,8,47,1,0,39,74,0.9230769,0.0,0.0,13,1,7,3,2,1,10,0,0,0,7,7,7,0,0,0,7,0,9,225,6,3,13,11,0,24,17,46,11,34,8,0,0,0,140,1,2
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice-hbase/hadoop-yarn-server-timelineservice-hbase-common/src/main/java/org/apache/hadoop/yarn/server/timelineservice/storage/flow/FlowActivityColumnFamily.java,org.apache.hadoop.yarn.server.timelineservice.storage.flow.FlowActivityColumnFamily,enum,4,6,2,4,2,1,0,3,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,39,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/security/authorize/ProxyServers.java,org.apache.hadoop.security.authorize.ProxyServers,class,2,4,2,2,6,1,0,8,1,0.5,0.0,0.0,3,3,3,0,0,0,3,0,0,0,2,2,1,1,0,0,1,0,2,23,1,1,1,0,0,1,1,4,0,4,2,0,0,0,32,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/YarnClusterMetrics.java,org.apache.hadoop.yarn.api.records.YarnClusterMetrics,class,5,7,2,5,17,1,0,2,136,0.0,0.0,0.0,17,1,17,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,1,0,1,0,0,0,0,33,1025,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hadoop/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-client/src/main/java/org/apache/hadoop/yarn/client/api/impl/AMRMClientImpl.java,org.apache.hadoop.yarn.client.api.impl.AMRMClientImpl,class,45,59,14,45,152,3,0,158,636,0.92364794,0.0,0.0,41,0,18,13,6,4,28,0,0,11,23,2,0,7,16,0,10,0,4,560,19,22,60,4,3,74,8,98,18,84,5,0,2,0,274,1,16
