file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,testWithOneLogFile/1[boolean],false,127,5,1,0,1,2,13,16,0,6,1,13,0,0,1,0,1,0,6,6,7,0,2,0,0,0,34,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,testWithThreeLogFiles/1[boolean],false,167,5,1,0,1,2,13,16,0,6,1,13,0,0,1,0,1,0,6,6,7,0,2,0,0,0,35,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,testWithTwoLogFiles/1[boolean],false,147,5,1,0,1,2,13,16,0,6,1,13,0,0,1,0,1,0,6,6,7,0,2,0,0,0,35,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,setUp/0,false,66,2,0,0,0,1,5,7,0,0,0,5,0,0,0,0,0,0,6,15,4,0,0,0,0,0,12,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,testWithFourLogFiles/0,false,186,4,1,0,1,2,13,16,0,6,0,13,0,0,1,0,1,0,8,8,7,0,2,0,0,0,33,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,getMetaProps/0,false,58,0,0,0,0,1,4,6,1,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,"testPositionMergeFallback/4[boolean,boolean,boolean,boolean]",false,207,5,1,0,1,2,13,16,0,6,4,13,0,0,1,0,1,0,9,8,7,0,2,0,0,0,33,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,testArgs/0,false,226,1,0,0,0,2,4,7,1,2,0,4,0,0,1,4,0,3,0,13,2,7,1,0,0,0,4,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-hadoop-common/src/test/java/org/apache/hudi/common/table/read/TestEventTimeMerging.java,org.apache.hudi.common.table.read.TestEventTimeMerging,initialize/0,false,112,6,5,0,5,1,9,9,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__hudi/hudi-utilities/src/test/java/org/apache/hudi/utilities/sources/TestSqlSource.java,org.apache.hudi.utilities.sources.TestSqlSource,testSqlSourceCheckpoint/0,false,147,5,0,0,0,1,5,7,0,1,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,29,1,0,true
