file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/flink/v1.20/flink/src/main/java/org/apache/iceberg/flink/source/RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,"open/2[org.apache.iceberg.flink.source.FileScanTask,org.apache.iceberg.flink.source.InputFilesDecryptor]",false,77,8,6,2,4,2,10,10,1,4,2,10,1,1,0,0,0,0,0,0,5,0,1,0,0,0,21,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/flink/v1.20/flink/src/main/java/org/apache/iceberg/flink/source/RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,"newIterable/4[org.apache.iceberg.flink.source.FileScanTask,org.apache.iceberg.flink.source.Schema,java.util.Map<java.lang.Integer,?>,org.apache.iceberg.flink.source.InputFilesDecryptor]",false,102,6,1,1,0,4,17,17,2,2,4,17,0,0,0,2,0,0,1,0,2,0,2,0,0,0,27,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/flink/v1.20/flink/src/main/java/org/apache/iceberg/flink/source/RowDataFileScanTaskReader.java,org.apache.iceberg.flink.source.RowDataFileScanTaskReader,"RowDataFileScanTaskReader/5[org.apache.iceberg.flink.source.Schema,org.apache.iceberg.flink.source.Schema,java.lang.String,boolean,java.util.List<org.apache.iceberg.flink.source.Expression>]",true,60,3,10,9,1,3,4,13,0,1,5,4,0,0,0,1,0,0,0,0,7,0,1,0,0,0,20,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaIgnoreCastingDoubleToFloat/0,false,301,5,6,0,6,1,18,13,0,3,0,18,1,1,0,0,0,0,21,6,3,0,0,0,0,1,51,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaIgnoreCastingDecimalToDecimalWithNarrowerPrecision/0,false,343,6,6,0,6,1,19,15,0,4,0,19,1,1,0,0,0,0,27,1,4,0,0,0,0,1,57,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaSparkProperty/0,false,120,2,4,0,4,1,8,9,0,2,0,8,0,0,0,0,0,0,19,8,2,0,0,0,0,0,38,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaIgnoreCastingLongToInt/0,false,261,4,5,0,5,1,17,11,0,3,0,17,0,0,0,0,0,0,20,6,3,0,0,0,0,1,45,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaFailsWithoutWriterOption/0,false,61,2,4,0,4,1,10,8,0,2,0,10,0,0,0,0,0,0,12,2,2,0,0,0,0,1,47,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaIcebergProperty/0,false,154,2,4,0,4,1,8,9,0,2,0,8,0,0,0,0,0,0,19,8,2,0,0,0,0,0,38,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,createTable/0,false,51,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,removeTables/0,false,56,1,3,2,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaWithoutAcceptAnySchema/0,false,93,3,4,0,4,1,11,7,0,2,0,11,0,0,0,0,0,0,13,2,2,0,0,0,0,1,38,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testMergeSchemaSparkConfiguration/0,false,226,2,4,0,4,1,9,10,0,2,0,9,0,0,0,0,0,0,19,8,2,0,0,0,0,0,37,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/spark/v4.0/spark/src/test/java/org/apache/iceberg/spark/source/TestDataFrameWriterV2.java,org.apache.iceberg.spark.source.TestDataFrameWriterV2,testWriteWithCaseSensitiveOption/0,false,188,7,1,0,1,1,24,17,0,6,0,24,0,0,0,0,0,1,15,2,7,0,0,0,0,0,37,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/core/src/main/java/org/apache/iceberg/rest/requests/PlanTableScanRequest.java,org.apache.iceberg.rest.requests.PlanTableScanRequest,filter/0,false,46,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/core/src/main/java/org/apache/iceberg/rest/requests/PlanTableScanRequest.java,org.apache.iceberg.rest.requests.PlanTableScanRequest,builder/0,false,131,1,3,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/core/src/main/java/org/apache/iceberg/rest/requests/PlanTableScanRequest.java,org.apache.iceberg.rest.requests.PlanTableScanRequest,endSnapshotId/0,false,62,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/core/src/main/java/org/apache/iceberg/rest/requests/PlanTableScanRequest.java,org.apache.iceberg.rest.requests.PlanTableScanRequest,caseSensitive/0,false,50,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__iceberg/core/src/main/java/org/apache/iceberg/rest/requests/PlanTableScanRequest.java,org.apache.iceberg.rest.requests.PlanTableScanRequest,toString/0,false,117,0,0,0,0,1,3,3,1,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,1,0,false
