file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/rm-datasource/src/test/java/org/apache/seata/rm/datasource/exec/UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,testEmptyUpdateJoinUndoLog/0,false,126,8,4,0,4,1,8,20,1,15,0,8,1,2,0,0,0,0,61,52,14,0,1,0,0,2,41,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/rm-datasource/src/test/java/org/apache/seata/rm/datasource/exec/UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,"mockStatementProxy/4[java.util.List<java.lang.String>,java.lang.Object[][],java.lang.Object[][],java.lang.Object[][]]",false,204,9,7,2,5,2,8,18,1,6,4,8,1,1,0,0,1,0,4,0,6,0,1,0,0,0,22,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/rm-datasource/src/test/java/org/apache/seata/rm/datasource/exec/UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,getPhysicsConnection/1[org.apache.seata.rm.datasource.exec.DruidDataSource],false,223,1,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/rm-datasource/src/test/java/org/apache/seata/rm/datasource/exec/UpdateJoinExecutorTest.java,org.apache.seata.rm.datasource.exec.UpdateJoinExecutorTest,testUpdateJoinUndoLog/0,false,45,8,4,0,4,1,8,20,1,15,0,8,1,2,0,0,0,0,65,56,14,0,1,0,0,2,40,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/sqlparser/seata-sqlparser-core/src/main/java/org/apache/seata/sqlparser/struct/TableMetaCache.java,org.apache.seata.sqlparser.struct.TableMetaCache,"refresh/2[java.sql.Connection,java.lang.String]",false,37,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/sqlparser/seata-sqlparser-core/src/main/java/org/apache/seata/sqlparser/struct/TableMetaCache.java,org.apache.seata.sqlparser.struct.TableMetaCache,"getTableMeta/3[java.sql.Connection,java.lang.String,java.lang.String]",false,27,1,3,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/config/seata-config-apollo/src/test/java/org/apache/seata/config/apollo/ApolloConfigurationTest.java,org.apache.seata.config.apollo.ApolloConfigurationTest$Anonymous1,onChangeEvent/1[org.apache.seata.config.ConfigurationChangeEvent],false,94,1,5,1,4,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/rm-datasource/src/main/java/org/apache/seata/rm/datasource/xa/ExecuteTemplateXA.java,org.apache.seata.rm.datasource.xa.ExecuteTemplateXA,"execute/4[org.apache.seata.rm.datasource.xa.AbstractConnectionProxyXA,org.apache.seata.rm.datasource.exec.StatementCallback<T,S>,S,java.lang.Object[]]",false,39,4,1,0,1,13,9,56,1,2,4,9,0,0,0,0,5,2,8,0,3,3,5,0,0,0,34,9,3,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/sqlparser/seata-sqlparser-druid/src/test/java/org/apache/seata/sqlparser/druid/postgresql/PostgresqlUpdateRecognizerTest.java,org.apache.seata.sqlparser.druid.postgresql.PostgresqlUpdateRecognizerTest,testGetUpdateValues/0,false,81,8,2,0,2,2,9,24,0,9,0,9,0,0,1,0,0,0,3,5,13,0,2,0,0,1,27,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__incubator-seata/sqlparser/seata-sqlparser-druid/src/test/java/org/apache/seata/sqlparser/druid/postgresql/PostgresqlUpdateRecognizerTest.java,org.apache.seata.sqlparser.druid.postgresql.PostgresqlUpdateRecognizerTest,testGetSqlType/0,false,39,3,2,0,2,1,4,6,0,3,0,4,0,0,0,0,0,0,1,1,3,0,0,0,0,0,13,1,0,false
