file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/core-metadata/src/main/java/org/apache/kylin/metadata/filter/function/LikeMatchers.java,org.apache.kylin.metadata.filter.function.LikeMatchers$TwoPercentSignLikeMatcher,matches/1[java.lang.String],false,103,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/core-metadata/src/main/java/org/apache/kylin/metadata/filter/function/LikeMatchers.java,org.apache.kylin.metadata.filter.function.LikeMatchers$TwoPercentSignLikeMatcher,TwoPercentSignLikeMatcher/1[java.lang.String],true,97,0,1,1,0,2,2,4,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/core-job/src/main/java/org/apache/kylin/job/handler/AddSegmentHandler.java,org.apache.kylin.job.handler.AddSegmentHandler,createJob/1[org.apache.kylin.job.model.JobParam],false,41,5,4,0,4,1,16,4,1,1,1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/core-common/src/test/java/org/apache/kylin/common/exception/code/ErrorCodeTest.java,org.apache.kylin.common.exception.code.ErrorCodeTest,testNonKeException/0,false,27,2,0,0,0,1,9,9,0,1,0,9,0,0,0,0,0,0,6,0,1,0,0,0,0,0,19,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/core-common/src/test/java/org/apache/kylin/common/exception/code/ErrorCodeTest.java,org.apache.kylin.common.exception.code.ErrorCodeTest,testConstructFromString/0,false,42,2,0,0,0,1,3,9,0,1,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/rec-service/src/main/java/org/apache/kylin/rec/AbstractContext.java,org.apache.kylin.rec.AbstractContext,"normalizeForTableDetecting/2[java.lang.String,java.lang.String]",false,229,3,1,1,0,4,16,21,1,7,2,16,0,0,1,0,1,0,4,2,8,0,1,0,0,1,32,9,2,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/rec-service/src/main/java/org/apache/kylin/rec/AbstractContext.java,org.apache.kylin.rec.AbstractContext,getProjectTableMap/0,false,186,3,2,1,1,1,11,13,1,4,0,11,0,0,0,0,0,0,0,0,3,0,1,0,0,1,11,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/rec-service/src/main/java/org/apache/kylin/rec/AbstractContext.java,org.apache.kylin.rec.AbstractContext,getAllModels/0,false,252,1,1,1,0,1,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/rec-service/src/main/java/org/apache/kylin/rec/AbstractContext.java,org.apache.kylin.rec.AbstractContext,saveMetadata/0,false,133,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__kylin/src/rec-service/src/main/java/org/apache/kylin/rec/AbstractContext.java,org.apache.kylin.rec.AbstractContext,filterSqlRelatedModelsAndTables/0,false,141,5,8,1,7,6,28,44,2,18,0,28,6,2,2,0,0,1,1,0,10,1,3,0,0,6,32,2,0,false
