file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/helpers/PatternConverter.java,org.apache.log4j.helpers.PatternConverter,PatternConverter/0,true,41,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/helpers/PatternConverter.java,org.apache.log4j.helpers.PatternConverter,convert/1[org.apache.log4j.spi.LoggingEvent],false,49,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1028,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/helpers/PatternConverter.java,org.apache.log4j.helpers.PatternConverter,"format/2[java.lang.StringBuffer,org.apache.log4j.spi.LoggingEvent]",false,58,2,3,1,2,6,5,20,1,2,2,5,2,1,0,1,0,0,0,1,2,3,3,0,0,0,24,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/helpers/PatternConverter.java,org.apache.log4j.helpers.PatternConverter,"spacePad/2[java.lang.StringBuffer,int]",false,92,0,1,1,0,5,1,12,0,2,2,1,0,0,2,1,0,2,0,7,3,1,2,0,0,0,9,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-1.2-api/src/main/java/org/apache/log4j/helpers/PatternConverter.java,org.apache.log4j.helpers.PatternConverter,PatternConverter/1[org.apache.log4j.helpers.FormattingInfo],true,43,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/convert/TypeConverters.java,org.apache.logging.log4j.core.config.plugins.convert.TypeConverters$FileConverter,convert/1[java.lang.String],false,249,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testThreadPriorityShortPattern/0,false,318,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testAlwaysWriteExceptions_appendsThrowable/1[java.lang.String],false,99,4,0,0,0,1,7,8,0,2,1,7,0,0,0,0,0,0,6,4,2,2,0,0,0,0,12,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testAlwaysWriteExceptions_ensuresPrecededByNewline/1[java.lang.String],false,430,7,0,0,0,2,10,20,0,5,1,10,0,0,0,0,0,1,1,8,5,3,1,0,0,0,26,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testAlwaysWriteExceptions_recognizesNestedPatterns/1[java.lang.String],false,131,4,0,0,0,1,6,5,0,1,1,6,0,0,0,0,0,0,16,2,1,0,0,0,0,0,19,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testNestedPatternHighlight/0,false,249,2,1,0,1,1,1,8,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testMapPatternConverter/0,false,494,3,0,0,0,1,7,7,0,2,0,7,0,0,0,0,0,0,2,2,2,0,0,0,0,0,14,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,defaultPattern/0,false,89,3,1,0,1,1,5,7,0,1,0,5,1,1,0,0,0,0,2,3,1,0,0,0,0,0,13,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testThreadNamePattern/0,false,293,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testExceptionWithFilters/0,false,458,5,0,0,0,1,13,13,0,5,0,13,0,0,0,0,0,0,3,2,5,0,0,0,0,0,32,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testThreadIdShortPattern1/0,false,308,2,1,0,1,1,1,3,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testAlwaysWriteExceptions_ensuresPrecededByNewline/0,false,424,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__logging-log4j2/log4j-core-test/src/test/java/org/apache/logging/log4j/core/pattern/PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,testDeeplyNestedPattern/0,false,393,4,0,0,0,1,12,12,0,5,0,12,0,0,0,0,0,0,3,2,5,0,0,0,0,0,20,0,0,false
