file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-planner/src/main/java/org/apache/pinot/query/planner/serde/ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,ProtoExpressionToRexExpression/0,true,34,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-planner/src/main/java/org/apache/pinot/query/planner/serde/ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,convertLiteral/1[Expressions.Literal],false,64,10,6,4,2,19,19,84,13,21,1,19,1,1,5,0,0,0,1,5,26,1,3,0,0,0,21,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-planner/src/main/java/org/apache/pinot/query/planner/serde/ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,convertInputRef/1[Expressions.InputRef],false,50,2,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-planner/src/main/java/org/apache/pinot/query/planner/serde/ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,convertFunctionCall/1[Expressions.FunctionCall],false,54,5,5,2,3,2,9,8,1,2,1,9,2,3,1,0,0,0,0,0,2,0,1,0,0,0,12,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-planner/src/main/java/org/apache/pinot/query/planner/serde/ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,convertColumnDataType/1[Expressions.ColumnDataType],false,144,2,4,4,0,22,0,48,21,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,9,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-planner/src/main/java/org/apache/pinot/query/planner/serde/ProtoExpressionToRexExpression.java,org.apache.pinot.query.planner.serde.ProtoExpressionToRexExpression,convertExpression/1[Expressions.Expression],false,37,3,9,6,3,4,7,12,3,0,1,7,3,3,0,0,0,0,1,0,0,1,1,0,0,0,13,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-runtime/src/main/java/org/apache/pinot/query/runtime/operator/groupby/MultiKeysGroupIdGenerator.java,org.apache.pinot.query.runtime.operator.groupby.MultiKeysGroupIdGenerator$Anonymous1,hasNext/0,false,92,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-query-runtime/src/main/java/org/apache/pinot/query/runtime/operator/groupby/MultiKeysGroupIdGenerator.java,org.apache.pinot.query.runtime.operator.groupby.MultiKeysGroupIdGenerator$Anonymous1,next/0,false,97,3,16,1,15,3,5,13,1,6,0,5,0,0,1,1,0,0,0,1,7,0,2,0,0,0,17,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-segment-spi/src/main/java/org/apache/pinot/segment/spi/index/creator/H3IndexConfig.java,org.apache.pinot.segment.spi.index.creator.H3IndexConfig,hashCode/0,false,87,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__pinot/pinot-segment-spi/src/main/java/org/apache/pinot/segment/spi/index/creator/H3IndexConfig.java,org.apache.pinot.segment.spi.index.creator.H3IndexConfig,"H3IndexConfig/2[java.lang.Boolean,org.apache.pinot.segment.spi.index.reader.H3IndexResolution]",true,46,4,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,1,0,false
