file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/auth/src/main/java/org/apache/rocketmq/auth/authentication/AuthenticationEvaluator.java,org.apache.rocketmq.auth.authentication.AuthenticationEvaluator,AuthenticationEvaluator/1[org.apache.rocketmq.auth.config.AuthConfig],true,29,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/auth/src/main/java/org/apache/rocketmq/auth/authentication/AuthenticationEvaluator.java,org.apache.rocketmq.auth.authentication.AuthenticationEvaluator,"AuthenticationEvaluator/2[org.apache.rocketmq.auth.config.AuthConfig,java.util.function.Supplier<?>]",true,33,2,2,1,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/auth/src/main/java/org/apache/rocketmq/auth/authentication/AuthenticationEvaluator.java,org.apache.rocketmq.auth.authentication.AuthenticationEvaluator,evaluate/1[org.apache.rocketmq.auth.authentication.context.AuthenticationContext],false,37,2,4,3,1,2,1,6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/common/src/main/java/org/apache/rocketmq/common/thread/ThreadPoolQueueSizeMonitor.java,org.apache.rocketmq.common.thread.ThreadPoolQueueSizeMonitor,value/1[java.util.concurrent.ThreadPoolExecutor],false,36,0,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/common/src/main/java/org/apache/rocketmq/common/thread/ThreadPoolQueueSizeMonitor.java,org.apache.rocketmq.common.thread.ThreadPoolQueueSizeMonitor,"needPrintJstack/2[java.util.concurrent.ThreadPoolExecutor,double]",false,41,0,0,0,0,2,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/common/src/main/java/org/apache/rocketmq/common/thread/ThreadPoolQueueSizeMonitor.java,org.apache.rocketmq.common.thread.ThreadPoolQueueSizeMonitor,ThreadPoolQueueSizeMonitor/1[int],true,26,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/common/src/main/java/org/apache/rocketmq/common/thread/ThreadPoolQueueSizeMonitor.java,org.apache.rocketmq.common.thread.ThreadPoolQueueSizeMonitor,describe/0,false,31,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/controller/src/main/java/org/apache/rocketmq/controller/metrics/ControllerMetricsConstant.java,org.apache.rocketmq.controller.metrics.ControllerMetricsConstant$DLedgerOperationStatus,getLowerCaseName/0,false,133,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/client/src/test/java/org/apache/rocketmq/client/impl/consumer/ConsumeMessagePopConcurrentlyServiceTest.java,org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopConcurrentlyServiceTest,testSubmitConsumeRequest/0,false,136,4,0,0,0,1,3,9,0,3,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,1,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/client/src/test/java/org/apache/rocketmq/client/impl/consumer/ConsumeMessagePopConcurrentlyServiceTest.java,org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopConcurrentlyServiceTest,testSubmitPopConsumeRequest/0,false,146,6,2,0,2,1,9,9,0,4,0,9,1,1,0,0,0,0,1,1,4,0,0,0,0,0,23,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__rocketmq/client/src/test/java/org/apache/rocketmq/client/impl/consumer/ConsumeMessagePopConcurrentlyServiceTest.java,org.apache.rocketmq.client.impl.consumer.ConsumeMessagePopConcurrentlyServiceTest,testConsumeMessageDirectlyWithCrReturnNull/0,false,110,4,2,0,2,1,4,4,0,1,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,false
