file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/core/src/main/java/org/apache/shardingsphere/data/pipeline/core/checker/DialectPipelineDatabaseVariableChecker.java,org.apache.shardingsphere.data.pipeline.core.checker.DialectPipelineDatabaseVariableChecker,check/1[javax.sql.DataSource],false,31,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/dialect/opengauss/src/test/java/org/apache/shardingsphere/data/pipeline/opengauss/ingest/incremental/wal/decode/OpenGaussTimestampUtilsTest.java,org.apache.shardingsphere.data.pipeline.opengauss.ingest.incremental.wal.decode.OpenGaussTimestampUtilsTest,setUp/0,false,47,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/dialect/opengauss/src/test/java/org/apache/shardingsphere/data/pipeline/opengauss/ingest/incremental/wal/decode/OpenGaussTimestampUtilsTest.java,org.apache.shardingsphere.data.pipeline.opengauss.ingest.incremental.wal.decode.OpenGaussTimestampUtilsTest,assertToTime/0,false,52,2,1,0,1,1,8,6,0,2,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,13,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/dialect/opengauss/src/test/java/org/apache/shardingsphere/data/pipeline/opengauss/ingest/incremental/wal/decode/OpenGaussTimestampUtilsTest.java,org.apache.shardingsphere.data.pipeline.opengauss.ingest.incremental.wal.decode.OpenGaussTimestampUtilsTest,assertToTimestamp/0,false,60,2,1,0,1,1,8,6,0,2,0,8,0,0,0,0,0,0,2,0,2,0,0,0,0,0,13,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/core/src/main/java/org/apache/shardingsphere/mode/metadata/refresher/pushdown/type/table/DropTablePushDownMetaDataRefresher.java,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.DropTablePushDownMetaDataRefresher,"refresh/7[org.apache.shardingsphere.mode.persist.service.MetaDataManagerPersistService,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.ShardingSphereDatabase,java.lang.String,java.lang.String,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.DatabaseType,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.DropTableStatement,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.ConfigurationProperties]",false,40,8,5,2,3,1,10,5,0,3,7,10,0,0,0,0,0,0,0,0,2,0,0,0,0,1,25,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/core/src/main/java/org/apache/shardingsphere/mode/metadata/refresher/pushdown/type/table/DropTablePushDownMetaDataRefresher.java,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.DropTablePushDownMetaDataRefresher,getType/0,false,48,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/scenario/consistency-check/src/main/java/org/apache/shardingsphere/data/pipeline/scenario/consistencycheck/ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,"ConsistencyCheckJobId/3[org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.PipelineContextKey,java.lang.String,java.lang.String]",true,43,3,3,1,2,1,2,3,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/scenario/consistency-check/src/main/java/org/apache/shardingsphere/data/pipeline/scenario/consistencycheck/ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,parseSequence/1[java.lang.String],false,59,0,2,2,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/scenario/consistency-check/src/main/java/org/apache/shardingsphere/data/pipeline/scenario/consistencycheck/ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,"ConsistencyCheckJobId/3[org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.PipelineContextKey,java.lang.String,int]",true,47,1,1,1,0,2,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/scenario/consistency-check/src/main/java/org/apache/shardingsphere/data/pipeline/scenario/consistencycheck/ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,"ConsistencyCheckJobId/2[org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.PipelineContextKey,java.lang.String]",true,39,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/kernel/data-pipeline/scenario/consistency-check/src/main/java/org/apache/shardingsphere/data/pipeline/scenario/consistencycheck/ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,marshalSuffix/0,false,64,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,isExisted/1[java.lang.String],false,184,1,4,3,1,3,3,9,2,0,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,getDistributedLock/1[java.lang.String],false,224,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,getType/0,false,295,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,"persist/2[java.lang.String,java.lang.String]",false,145,2,5,2,3,3,8,13,0,0,2,8,2,1,0,0,1,0,0,0,0,0,2,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,removeDataListener/1[java.lang.String],false,267,1,0,0,0,2,5,7,1,2,1,5,0,0,0,1,0,0,0,0,1,0,1,0,0,1,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,initCuratorClient/1[org.apache.shardingsphere.mode.repository.cluster.zookeeper.props.ZookeeperProperties],false,114,3,2,1,1,4,7,17,0,2,1,7,0,0,0,0,1,0,0,0,2,1,2,0,0,0,17,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,getChildrenKeys/1[java.lang.String],false,131,1,2,1,1,2,6,11,2,1,1,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,"update/2[java.lang.String,java.lang.String]",false,160,1,2,1,1,2,4,8,0,0,2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,waitForCacheClose/0,false,286,0,1,1,0,2,3,8,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,9,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,"watch/2[java.lang.String,org.apache.shardingsphere.mode.repository.cluster.listener.DataChangedEventListener]",false,242,5,0,0,0,4,16,19,1,7,2,16,0,0,0,2,0,0,0,0,3,0,2,0,0,4,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,delete/1[java.lang.String],false,229,2,4,2,2,3,5,10,0,0,1,5,1,1,0,0,1,0,0,0,0,0,2,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,"persistEphemeral/2[java.lang.String,java.lang.String]",false,196,2,4,2,2,3,9,11,0,0,2,9,1,1,0,0,1,0,0,0,0,0,2,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,"init/2[org.apache.shardingsphere.mode.repository.cluster.ClusterPersistRepositoryConfiguration,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ComputeNodeInstanceContext]",false,73,5,6,2,4,1,5,6,0,1,2,5,2,1,0,0,0,0,0,0,2,0,0,0,0,0,22,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,"persistExclusiveEphemeral/2[java.lang.String,java.lang.String]",false,210,1,1,0,1,3,6,12,2,0,2,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,query/1[java.lang.String],false,171,1,1,0,1,3,2,11,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__shardingsphere/mode/type/cluster/repository/provider/zookeeper/src/main/java/org/apache/shardingsphere/mode/repository/cluster/zookeeper/ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,close/0,false,276,1,1,0,1,1,4,5,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
