file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,isExists/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,85,11,9,0,9,10,27,52,2,13,1,27,2,3,0,0,0,2,2,0,17,1,3,0,0,0,38,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,"StorageEsInstaller/3[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Client,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.ModuleManager,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.StorageModuleElasticsearchConfig]",true,66,6,3,1,2,2,6,14,0,0,3,6,1,1,0,0,0,0,0,0,5,0,1,1,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,createTimeSeriesTable/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,195,8,10,1,9,10,21,43,0,11,1,21,2,3,0,1,1,0,12,0,12,4,4,0,0,0,44,2,4,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,getAnalyzerSetting4MergedIndex/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,313,3,2,1,1,1,5,4,1,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,createNormalTable/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,158,7,7,1,6,7,16,28,0,8,1,16,2,3,0,1,0,0,7,0,8,2,3,0,0,0,37,2,3,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,createMapping/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,322,6,6,3,3,19,36,56,1,13,1,36,0,0,1,0,0,2,18,0,14,0,3,0,0,0,23,4,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,createTable/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,150,2,2,0,2,2,3,8,0,0,1,3,2,5,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,createSetting/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,251,3,5,3,2,5,14,18,1,4,1,14,1,2,0,0,0,0,6,0,4,2,1,0,0,0,11,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,getAnalyzerSettingByColumn/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,296,5,5,1,4,3,10,12,1,3,1,10,0,0,1,0,0,0,0,0,3,0,2,0,0,0,15,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__skywalking/oap-server/server-storage-plugin/storage-elasticsearch-plugin/src/main/java/org/apache/skywalking/oap/server/storage/plugin/elasticsearch/base/StorageEsInstaller.java,org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.StorageEsInstaller,getAnalyzerSetting/1[org.apache.skywalking.oap.server.storage.plugin.elasticsearch.base.Model],false,283,2,3,1,2,5,6,14,4,0,1,6,2,1,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,false
