file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/HDFSWriter.java,org.apache.storm.hdfs.common.HDFSWriter,"HDFSWriter/4[org.apache.storm.hdfs.bolt.rotation.FileRotationPolicy,org.apache.storm.hdfs.common.Path,org.apache.storm.hdfs.common.FSDataOutputStream,org.apache.storm.hdfs.bolt.format.RecordFormat]",true,34,4,1,1,0,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/HDFSWriter.java,org.apache.storm.hdfs.common.HDFSWriter,doSync/0,false,48,2,0,0,0,2,3,9,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,13,4,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/HDFSWriter.java,org.apache.storm.hdfs.common.HDFSWriter,doClose/0,false,58,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/external/storm-hdfs/src/main/java/org/apache/storm/hdfs/common/HDFSWriter.java,org.apache.storm.hdfs.common.HDFSWriter,doWrite/1[org.apache.storm.hdfs.common.Tuple],false,41,3,1,0,1,1,2,5,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/storm-core/test/jvm/org/apache/storm/utils/staticmocking/ServerConfigUtilsInstaller.java,org.apache.storm.utils.staticmocking.ServerConfigUtilsInstaller,ServerConfigUtilsInstaller/1[org.apache.storm.utils.staticmocking.ServerConfigUtils],true,28,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/storm-core/test/jvm/org/apache/storm/utils/staticmocking/ServerConfigUtilsInstaller.java,org.apache.storm.utils.staticmocking.ServerConfigUtilsInstaller,close/0,false,36,0,0,0,0,2,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/storm-server/src/main/java/org/apache/storm/scheduler/ISchedulingState.java,org.apache.storm.scheduler.ISchedulingState,getAssignableSlots/0,false,174,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/storm-server/src/main/java/org/apache/storm/scheduler/ISchedulingState.java,org.apache.storm.scheduler.ISchedulingState,getClusterTotalMemoryResource/0,false,273,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/storm-server/src/main/java/org/apache/storm/scheduler/ISchedulingState.java,org.apache.storm.scheduler.ISchedulingState,getWorkerResourcesMap/0,false,322,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__storm/storm-server/src/main/java/org/apache/storm/scheduler/ISchedulingState.java,org.apache.storm.scheduler.ISchedulingState,needsSchedulingRas/1[org.apache.storm.scheduler.TopologyDetails],false,67,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,true
