file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/fsshttpb/util/ByteUtil.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.util.ByteUtil,toByteArray/1[java.util.List<java.lang.Byte>],false,23,1,9,9,0,2,2,7,1,2,1,2,0,0,1,0,0,0,0,1,3,0,1,0,0,0,6,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/fsshttpb/util/ByteUtil.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.util.ByteUtil,toListOfByte/1[byte[]],false,31,1,10,10,0,2,1,7,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/main/java/org/apache/tika/parser/microsoft/onenote/fsshttpb/util/ByteUtil.java,org.apache.tika.parser.microsoft.onenote.fsshttpb.util.ByteUtil,"appendByteArrayToListOfByte/2[java.util.List<java.lang.Byte>,byte[]]",false,39,1,4,4,0,2,1,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-pipes/tika-pipes-plugins/tika-pipes-gcs/src/main/java/org/apache/tika/pipes/plugin/gcs/GCSPipesPlugin.java,org.apache.tika.pipes.plugin.gcs.GCSPipesPlugin,start/0,false,32,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-pipes/tika-pipes-plugins/tika-pipes-gcs/src/main/java/org/apache/tika/pipes/plugin/gcs/GCSPipesPlugin.java,org.apache.tika.pipes.plugin.gcs.GCSPipesPlugin,GCSPipesPlugin/1[org.apache.tika.pipes.plugin.gcs.PluginWrapper],true,27,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-pipes/tika-pipes-plugins/tika-pipes-gcs/src/main/java/org/apache/tika/pipes/plugin/gcs/GCSPipesPlugin.java,org.apache.tika.pipes.plugin.gcs.GCSPipesPlugin,stop/0,false,38,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-pipes/tika-pipes-plugins/tika-pipes-gcs/src/main/java/org/apache/tika/pipes/plugin/gcs/GCSPipesPlugin.java,org.apache.tika.pipes.plugin.gcs.GCSPipesPlugin,delete/0,false,44,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,DefaultProbDetector/0,true,54,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"DefaultProbDetector/2[org.apache.tika.detect.ProbabilisticMimeDetectionSelector,java.lang.ClassLoader]",true,42,2,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,DefaultProbDetector/1[java.lang.ClassLoader],true,46,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,getDetectors/0,false,67,1,0,0,0,2,3,10,2,1,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"DefaultProbDetector/2[org.apache.tika.detect.ProbabilisticMimeDetectionSelector,org.apache.tika.detect.ServiceLoader]",true,37,3,2,1,1,1,2,4,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,DefaultProbDetector/1[org.apache.tika.detect.MimeTypes],true,50,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-core/src/main/java/org/apache/tika/detect/DefaultProbDetector.java,org.apache.tika.detect.DefaultProbDetector,"getDefaultDetectors/2[org.apache.tika.detect.ProbabilisticMimeDetectionSelector,org.apache.tika.detect.ServiceLoader]",false,59,3,1,1,0,1,3,6,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tika/tika-ml/tika-ml-chardetect/src/main/java/org/apache/tika/ml/chardetect/tools/DiagnoseCharsetDetector.java,org.apache.tika.ml.chardetect.tools.DiagnoseCharsetDetector,normalize/1[java.lang.String],false,180,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,10,0,false
