file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/mbeans/ContextResourceMBean.java,org.apache.catalina.mbeans.ContextResourceMBean,setAttribute/1[javax.management.Attribute],false,74,3,1,0,1,8,8,28,0,4,1,8,0,0,0,2,0,0,9,0,4,0,1,0,0,0,22,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/mbeans/ContextResourceMBean.java,org.apache.catalina.mbeans.ContextResourceMBean,getAttribute/1[java.lang.String],false,38,2,1,0,1,8,8,26,6,2,1,8,0,0,0,2,0,0,8,0,2,0,2,0,0,0,20,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,ErrorReportValve/0,true,62,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,"findErrorPage/2[int,java.lang.Throwable]",false,149,2,4,2,2,4,2,13,1,1,2,2,0,0,0,3,0,0,0,1,4,0,1,0,0,0,17,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,"report/3[org.apache.catalina.valves.Request,org.apache.catalina.valves.Response,java.lang.Throwable]",false,172,6,7,1,6,27,39,137,4,14,3,39,5,1,1,11,4,1,54,4,22,2,4,0,0,0,81,4,1,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,isShowServerInfo/0,false,411,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,getProperty/1[java.lang.String],false,435,2,2,0,2,5,6,27,1,5,1,6,0,0,0,2,0,0,2,2,9,0,2,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,isShowReport/0,false,398,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,"setProperty/2[java.lang.String,java.lang.String]",false,416,2,1,0,1,3,7,19,3,4,2,7,0,0,0,0,0,0,2,2,4,0,1,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/apache__tomcat/java/org/apache/catalina/valves/ErrorReportValve.java,org.apache.catalina.valves.ErrorReportValve,"invoke/2[org.apache.catalina.valves.Request,org.apache.catalina.valves.Response]",false,76,4,2,0,2,10,17,34,2,2,2,17,1,2,0,1,2,0,0,0,2,0,4,0,0,0,45,1,0,true
