file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/core/src/main/java/bisq/core/dao/governance/bond/reputation/MyBondedReputationRepository.java,bisq.core.dao.governance.bond.reputation.MyBondedReputationRepository,update/0,false,106,3,6,2,4,6,19,19,0,3,0,19,0,0,0,2,0,0,1,0,1,0,3,0,0,2,11,2,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/core/src/main/java/bisq/core/dao/governance/bond/reputation/MyBondedReputationRepository.java,bisq.core.dao.governance.bond.reputation.MyBondedReputationRepository,onWalletTransactionsChange/0,false,97,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/core/src/main/java/bisq/core/dao/governance/bond/reputation/MyBondedReputationRepository.java,bisq.core.dao.governance.bond.reputation.MyBondedReputationRepository,getMyBondedReputation/1[bisq.core.dao.governance.bond.reputation.MyReputation],false,134,7,7,0,7,2,14,19,4,6,1,14,0,0,0,0,0,0,0,0,4,0,3,0,0,2,14,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/core/src/main/java/bisq/core/dao/governance/bond/reputation/MyBondedReputationRepository.java,bisq.core.dao.governance.bond.reputation.MyBondedReputationRepository,"MyBondedReputationRepository/3[bisq.core.dao.state.DaoStateService,bisq.core.dao.governance.bond.reputation.BsqWalletService,bisq.core.dao.governance.bond.reputation.MyReputationListService]",true,65,4,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/core/src/main/java/bisq/core/dao/governance/bond/reputation/MyBondedReputationRepository.java,bisq.core.dao.governance.bond.reputation.MyBondedReputationRepository,addListeners/0,false,77,2,2,0,2,1,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/core/src/main/java/bisq/core/dao/governance/bond/reputation/MyBondedReputationRepository.java,bisq.core.dao.governance.bond.reputation.MyBondedReputationRepository,start/0,false,88,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/assets/src/main/java/bisq/asset/tokens/EtherStone.java,bisq.asset.tokens.EtherStone,EtherStone/0,true,24,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,activate/0,false,85,1,1,0,1,1,4,6,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,getTotalAmount/0,false,107,2,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,"getVolume/2[bisq.desktop.main.portfolio.closedtrades.Coin,java.lang.String]",false,115,4,1,1,0,2,5,8,2,2,2,5,0,0,0,1,0,0,0,0,2,0,1,0,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,getTotalTradeFee/1[boolean],false,133,2,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,getBsqVolumeInUsdWithAveragePrice/1[bisq.desktop.main.portfolio.closedtrades.Coin],false,125,2,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,getVolumeInUserFiatCurrency/1[bisq.desktop.main.portfolio.closedtrades.Coin],false,111,3,1,0,1,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,getList/0,false,99,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,deactivate/0,false,93,0,0,0,0,1,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,"ClosedTradesDataModel/7[bisq.desktop.main.portfolio.closedtrades.ClosedTradableManager,bisq.desktop.main.portfolio.closedtrades.ClosedTradableFormatter,bisq.desktop.main.portfolio.closedtrades.BsqSwapTradeManager,bisq.desktop.main.portfolio.closedtrades.BsqWalletService,bisq.desktop.main.portfolio.closedtrades.Preferences,bisq.desktop.main.portfolio.closedtrades.PriceFeedService,bisq.desktop.main.portfolio.closedtrades.AccountAgeWitnessService]",true,69,8,0,0,0,1,1,11,0,8,7,1,0,0,0,0,0,0,0,0,9,0,0,0,0,2,26,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/bisq-network__bisq/desktop/src/main/java/bisq/desktop/main/portfolio/closedtrades/ClosedTradesDataModel.java,bisq.desktop.main.portfolio.closedtrades.ClosedTradesDataModel,getTotalTxFee/0,false,129,2,1,0,1,1,2,3,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
