file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/configuration/src/test/java/io/camunda/configuration/DataExportersTest.java,io.camunda.configuration.DataExportersTest,class,7,7,0,7,1,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,36,0,0,0,0,0,7,0,1,0,1,0,0,3,0,8,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/clients/camunda-spring-boot-3-starter/src/test/java/io/camunda/client/impl/CamundaJackson2ObjectMapperTest.java,io.camunda.client.impl.CamundaJackson2ObjectMapperTest,class,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,3,0,3,0,0,1,0,23,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/qa/util/src/main/java/io/camunda/qa/util/cluster/TestStandaloneBackupManager.java,io.camunda.qa.util.cluster.TestStandaloneBackupManager,class,17,22,5,17,11,2,0,12,37,0.75,0.0,0.0,10,0,8,0,2,0,10,0,0,0,2,0,0,2,0,0,1,0,1,40,9,0,1,0,0,3,0,2,0,2,0,0,0,0,63,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/zeebe/util/src/main/java/io/camunda/zeebe/util/error/FatalErrorHandler.java,io.camunda.zeebe.util.error.FatalErrorHandler,interface,3,5,2,3,3,1,0,0,3,0.0,0.0,0.0,3,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/qa/acceptance-tests/src/test/java/io/camunda/it/client/BatchOperationModifyProcessInstanceIT.java,io.camunda.it.client.BatchOperationModifyProcessInstanceIT,class,15,16,1,15,12,1,0,73,0,0.51111114,0.0,0.0,9,0,5,0,0,4,9,0,0,0,5,1,0,1,0,4,3,0,37,101,1,2,1,0,2,39,37,21,3,39,1,0,0,20,105,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/zeebe/engine/src/main/java/io/camunda/zeebe/engine/processing/processinstance/ProcessInstanceMigrationCatchEventBehaviour.java,io.camunda.zeebe.engine.processing.processinstance.ProcessInstanceMigrationCatchEventBehaviour,class,38,40,2,38,45,1,0,122,204,0.8863636,0.0,0.0,24,3,2,22,0,0,2,0,0,0,11,2,0,11,0,0,11,0,11,283,30,0,7,0,0,0,0,73,0,96,2,0,0,22,188,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/optimize/util/optimize-commons/src/main/java/io/camunda/optimize/dto/optimize/query/report/single/process/view/VariableViewPropertyDto.java,io.camunda.optimize.dto.optimize.query.report.single.process.view.VariableViewPropertyDto,class,3,4,1,3,11,1,0,3,10,0.5,0.0,0.0,8,0,7,0,1,0,8,0,0,0,2,0,0,2,0,0,2,0,2,33,8,0,3,0,0,1,0,3,0,3,1,0,0,0,26,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/optimize/util/optimize-commons/src/main/java/io/camunda/optimize/dto/optimize/query/collection/CollectionScopeEntryDto.java,io.camunda.optimize.dto.optimize.query.collection.CollectionScopeEntryDto,class,3,6,3,3,27,1,0,19,2,0.62857145,0.0,0.0,21,1,16,2,3,0,19,0,0,0,5,1,0,5,0,0,1,0,10,89,16,0,4,0,0,6,2,15,2,6,1,0,1,0,56,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/operate/qa/integration-tests/src/test/java/io/camunda/operate/it/MultiProcessZeebeIT.java,io.camunda.operate.it.MultiProcessZeebeIT,class,7,7,0,7,1,2,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,21,0,0,0,0,0,21,1,4,0,7,0,0,0,2,27,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/camunda__camunda/optimize/backend/src/main/java/io/camunda/optimize/logging/OptimizeStackdriverResolverFactory.java,io.camunda.optimize.logging.OptimizeStackdriverResolverFactory,class,7,8,1,7,4,1,0,0,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,0,14,3,0,0,0,0,2,0,1,0,1,0,0,0,0,21,17,0
