file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapToMLModelGroupProperties/4[com.linkedin.datahub.graphql.types.common.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap,com.linkedin.datahub.graphql.types.common.mappers.Urn]",false,149,8,1,0,1,2,4,7,0,1,4,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,15,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapDomains/3[com.linkedin.datahub.graphql.types.common.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,169,6,0,0,0,1,3,4,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapApplicationAssociation/3[com.linkedin.datahub.graphql.types.common.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,187,7,0,0,0,3,6,8,0,2,3,6,0,0,0,1,0,0,0,1,2,0,1,0,0,0,17,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"apply/2[com.linkedin.datahub.graphql.types.common.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.EntityResponse]",false,58,18,2,1,1,3,25,31,2,29,2,25,0,0,0,1,0,2,0,0,5,0,1,0,0,12,46,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapGlobalTags/4[com.linkedin.datahub.graphql.types.common.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap,com.linkedin.datahub.graphql.types.common.mappers.Urn]",false,159,7,0,0,0,1,2,5,0,2,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapToMLModelGroupKey/2[com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,136,4,0,0,0,1,9,8,0,2,2,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"mapEditableProperties/2[com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroup,com.linkedin.datahub.graphql.types.mlmodel.mappers.DataMap]",false,175,4,0,0,0,2,4,8,0,2,2,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/datahub-graphql-core/src/main/java/com/linkedin/datahub/graphql/types/mlmodel/mappers/MLModelGroupMapper.java,com.linkedin.datahub.graphql.types.mlmodel.mappers.MLModelGroupMapper,"map/2[com.linkedin.datahub.graphql.types.common.mappers.QueryContext,com.linkedin.datahub.graphql.types.mlmodel.mappers.EntityResponse]",false,52,6,1,0,1,1,1,3,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/metadata-service/factories/src/test/java/com/linkedin/gms/factory/search/SearchClientShimUtilTest.java,com.linkedin.gms.factory.search.SearchClientShimUtilTest,testFactoryInjection/0,false,46,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/datahub-project__datahub/metadata-service/factories/src/test/java/com/linkedin/gms/factory/search/SearchClientShimUtilTest.java,com.linkedin.gms.factory.search.SearchClientShimUtilTest,testEngineTypeParsingES7/0,false,52,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,1,false
