file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,shouldSnapshotOnDataError/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,name/0,false,17,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,"shouldSnapshotSchema/2[boolean,boolean]",false,33,1,0,0,0,2,2,7,2,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,"shouldSnapshotData/2[boolean,boolean]",false,27,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,shouldSnapshotOnSchemaError/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,"configure/1[java.util.Map<java.lang.String,?>]",false,22,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-common/src/main/java/io/debezium/snapshot/mode/WhenNeededSnapshotter.java,io.debezium.snapshot.mode.WhenNeededSnapshotter,shouldStream/0,false,45,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,sourceSchema/1[io.debezium.connector.jdbc.util.Schema],false,142,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,"source/2[java.lang.String,java.lang.Object]",false,147,1,0,0,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,"populateStructFromMap/2[io.debezium.connector.jdbc.util.Struct,java.util.Map<java.lang.String,java.lang.Object>]",false,324,1,5,5,0,2,4,6,1,0,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,name/1[java.lang.String],false,112,1,22,22,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,offset/1[int],false,157,1,9,9,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,buildCreateSinkRecord/0,false,192,5,4,0,4,2,7,15,2,5,0,7,3,2,0,0,0,0,2,0,5,0,1,0,0,0,25,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,buildTruncateSinkRecord/0,false,265,5,3,0,3,2,5,11,2,3,0,5,2,1,0,0,0,0,0,0,3,0,1,0,0,0,18,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,buildCloudEventRecord/0,false,278,6,2,0,2,3,22,22,1,5,0,22,1,1,0,2,0,1,6,0,7,1,1,0,0,0,23,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,"convertCloudEventToMap/2[io.debezium.connector.jdbc.util.Schema,io.debezium.connector.jdbc.util.Struct]",false,338,7,1,1,0,3,5,25,1,6,2,5,0,0,0,1,2,0,2,0,6,0,1,1,0,0,28,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,"key/2[java.lang.String,java.lang.Object]",false,122,1,1,1,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,populateStructForKey/0,false,331,2,5,4,1,2,1,6,2,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,9,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,partition/1[int],false,152,1,9,9,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/debezium__debezium/debezium-connector-jdbc/src/test/java/io/debezium/connector/jdbc/util/SinkRecordBuilder.java,io.debezium.connector.jdbc.util.SinkRecordBuilder$SinkRecordTypeBuilder,cloudEventsSerializerType/1[io.debezium.connector.jdbc.util.SerializerType],false,167,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
