file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/spring-boot-modules/spring-boot-3-native/src/test/java/com/baeldung/sample/JacksonAutoConfigurationIntegrationTest.java,com.baeldung.sample.JacksonAutoConfigurationIntegrationTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/persistence-modules/hibernate6/src/main/java/com/baeldung/attributevaluegenerator/SortingHatHouseGenerator.java,com.baeldung.attributevaluegenerator.SortingHatHouseGenerator,class,3,3,0,3,2,1,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,2,11,2,0,0,0,0,4,0,3,0,3,0,0,0,0,32,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/messaging-modules/dapr/dapr-subscriber/src/main/java/com/baeldung/dapr/pubsub/subscriber/DaprSubscriberApp.java,com.baeldung.dapr.pubsub.subscriber.DaprSubscriberApp,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/jhipster-modules/jhipster-uaa/gateway/src/main/java/com/baeldung/jhipster/gateway/config/CacheConfiguration.java,com.baeldung.jhipster.gateway.config.CacheConfiguration,class,19,20,1,19,13,1,0,41,18,0.725,0.0,0.0,8,0,5,3,0,0,5,0,0,0,5,0,0,5,0,0,4,0,1,85,6,2,2,0,1,18,4,14,7,14,3,0,0,0,64,1,9
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/spring-boot-modules/spring-boot-mvc/src/main/java/com/baeldung/nosuchbeandefinitionexception/BeanB.java,com.baeldung.nosuchbeandefinitionexception.BeanB,class,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/spring-boot-modules/spring-boot-mvc/src/main/java/com/baeldung/nosuchbeandefinitionexception/BeanA.java,com.baeldung.nosuchbeandefinitionexception.BeanA,class,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/lombok-modules/lombok-2/src/main/java/com/baeldung/lombok/accessors/model/FinalAccount.java,com.baeldung.lombok.accessors.model.FinalAccount,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/java-blockchain/src/test/java/com/baeldung/blockchain/BlockchainUnitTest.java,com.baeldung.blockchain.BlockchainUnitTest,class,5,5,0,5,7,1,0,13,0,0.25,0.0,0.0,4,2,4,0,0,0,4,0,0,0,3,3,3,0,0,0,0,0,0,31,0,1,1,0,0,5,7,10,2,9,2,0,0,0,34,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/jackson-modules/jackson-core/src/main/java/com/baeldung/jackson/inheritance/ItemIdAddedToUser.java,com.baeldung.jackson.inheritance.ItemIdAddedToUser,class,5,6,1,5,3,2,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,15,2,0,0,0,0,6,0,2,0,2,0,0,0,0,11,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/eugenp__tutorials/spring-web-modules/spring-rest-http/src/test/java/com/baeldung/web/controller/customer/CustomerRestControllerIntegrationTest.java,com.baeldung.web.controller.customer.CustomerRestControllerIntegrationTest,class,13,13,0,13,2,1,0,19,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,25,0,0,0,0,0,15,0,7,1,9,0,0,0,0,39,1,0
