file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/test/com/facebook/buck/rules/modern/builders/HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous5,"build/2[com.facebook.buck.rules.modern.builders.BuildRule,com.facebook.buck.rules.modern.builders.BuildStrategyContext]",false,373,4,0,0,0,1,1,16,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/tools/ideabuck/src/com/facebook/buck/intellij/ideabuck/format/DependenciesOptimizer.java,com.facebook.buck.intellij.ideabuck.format.DependenciesOptimizer$OptimizerInstance,getUserNotificationInfo/0,false,67,1,0,0,0,8,1,10,2,1,0,1,0,0,0,6,0,0,7,7,2,1,1,0,0,0,26,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/tools/ideabuck/src/com/facebook/buck/intellij/ideabuck/format/DependenciesOptimizer.java,com.facebook.buck.intellij.ideabuck.format.DependenciesOptimizer$OptimizerInstance,optimizeDeps/1[com.facebook.buck.intellij.ideabuck.format.PsiFile],false,91,5,2,1,1,1,5,12,0,2,1,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,15,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/tools/ideabuck/src/com/facebook/buck/intellij/ideabuck/format/DependenciesOptimizer.java,com.facebook.buck.intellij.ideabuck.format.DependenciesOptimizer$OptimizerInstance,run/0,false,61,1,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/tools/ideabuck/src/com/facebook/buck/intellij/ideabuck/format/DependenciesOptimizer.java,com.facebook.buck.intellij.ideabuck.format.DependenciesOptimizer$OptimizerInstance,uniqueSort/1[com.facebook.buck.intellij.ideabuck.format.BuckExpressionListOrComprehension],false,126,4,1,0,1,10,13,26,1,5,1,13,0,0,2,0,0,0,0,6,7,2,2,0,0,0,26,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/tools/ideabuck/src/com/facebook/buck/intellij/ideabuck/format/DependenciesOptimizer.java,com.facebook.buck.intellij.ideabuck.format.DependenciesOptimizer$OptimizerInstance,OptimizerInstance/1[com.facebook.buck.intellij.ideabuck.format.PsiFile],true,56,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/test/com/facebook/buck/rules/modern/builders/HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous3,"build/2[com.facebook.buck.rules.modern.builders.BuildRule,com.facebook.buck.rules.modern.builders.BuildStrategyContext]",false,290,4,0,0,0,1,1,17,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/src/com/facebook/buck/rules/keys/DefaultDependencyFileRuleKeyFactory.java,com.facebook.buck.rules.keys.DefaultDependencyFileRuleKeyFactory$Result,getRuleKey/0,false,321,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/src/com/facebook/buck/rules/keys/DefaultDependencyFileRuleKeyFactory.java,com.facebook.buck.rules.keys.DefaultDependencyFileRuleKeyFactory$Result,getSourcePaths/0,false,325,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/src/com/facebook/buck/rules/keys/DefaultDependencyFileRuleKeyFactory.java,com.facebook.buck.rules.keys.DefaultDependencyFileRuleKeyFactory$Result,"Result/2[RULE_KEY,com.facebook.buck.rules.keys.ImmutableSet<com.facebook.buck.rules.keys.SourcePath>]",true,316,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/test/com/facebook/buck/rules/modern/builders/HybridLocalStrategyTest.java,com.facebook.buck.rules.modern.builders.HybridLocalStrategyTest$Anonymous1,canBuild/1[com.facebook.buck.rules.modern.builders.BuildRule],false,112,1,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/facebook__buck/src/com/facebook/buck/features/rust/PrebuiltRustLibraryDescription.java,com.facebook.buck.features.rust.PrebuiltRustLibraryDescription$AbstractPrebuiltRustLibraryDescriptionArg,getProcMacro/0,false,103,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65536,0,false
