file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane_plugin_script/src/main/java/org/freeplane/plugin/script/proxy/NodeChangeListenerForScript.java,org.freeplane.plugin.script.proxy.NodeChangeListenerForScript$Anonymous2,run/0,false,28,0,126,0,126,1,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/help/AboutAction.java,org.freeplane.features.help.AboutAction,actionPerformed/1[java.awt.event.ActionEvent],false,60,1,3,0,3,2,12,13,0,3,1,12,3,2,0,0,0,0,11,0,3,1,1,0,0,0,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/help/AboutAction.java,org.freeplane.features.help.AboutAction,"addFormattedMessage/3[javax.swing.Box,java.lang.String,java.lang.String]",false,77,1,2,1,1,1,2,3,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/help/AboutAction.java,org.freeplane.features.help.AboutAction,"addUri/3[javax.swing.Box,java.lang.String,java.lang.String]",false,96,0,1,1,0,2,6,12,0,2,3,6,0,0,0,0,1,0,0,0,2,0,1,0,0,0,14,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/help/AboutAction.java,org.freeplane.features.help.AboutAction,afterMapChange/1[org.freeplane.features.help.UserRole],false,109,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/help/AboutAction.java,org.freeplane.features.help.AboutAction,AboutAction/0,true,55,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/help/AboutAction.java,org.freeplane.features.help.AboutAction,"addMessage/2[javax.swing.Box,java.lang.String]",false,81,0,2,2,0,2,6,14,0,2,2,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane_plugin_script/src/main/java/org/freeplane/plugin/script/proxy/NodeChangeListenerForScript.java,org.freeplane.plugin.script.proxy.NodeChangeListenerForScript$Anonymous1,run/0,false,20,0,126,0,126,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/styles/mindmapmode/styleeditorpanel/ChildHorizontalGapControlGroup.java,org.freeplane.features.styles.mindmapmode.styleeditorpanel.ChildHorizontalGapControlGroup$ChildDistanceChangeListener,"ChildDistanceChangeListener/2[org.freeplane.features.styles.mindmapmode.styleeditorpanel.RevertingProperty,org.freeplane.core.resources.components.IPropertyControl[]]",true,51,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/freeplane__freeplane/freeplane/src/main/java/org/freeplane/features/styles/mindmapmode/styleeditorpanel/ChildHorizontalGapControlGroup.java,org.freeplane.features.styles.mindmapmode.styleeditorpanel.ChildHorizontalGapControlGroup$ChildDistanceChangeListener,adjustForStyle/1[org.freeplane.features.styles.mindmapmode.styleeditorpanel.NodeModel],false,73,2,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
