file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/app/src/main/java/com/hjq/toast/demo/MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous6,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/library/src/main/java/com/hjq/toast/SystemToast.java,com.hjq.toast.SystemToast,class,6,8,2,6,7,2,1,4,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,31,3,0,2,1,0,1,0,3,0,2,2,0,0,0,27,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/app/src/main/java/com/hjq/toast/demo/MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous5,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/app/src/main/java/com/hjq/toast/demo/MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous2,anonymous,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,3,1,0,1,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/library/src/main/java/com/hjq/toast/config/IToast.java,com.hjq.toast.config.IToast,interface,3,9,6,3,21,1,0,3,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,2,0,1,4,0,1,1,1,2,0,0,0,50,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/app/src/main/java/com/hjq/toast/demo/MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/app/src/main/java/com/hjq/toast/demo/MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous4,anonymous,0,0,0,0,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/app/src/main/java/com/hjq/toast/demo/MainActivity.java,com.hjq.toast.demo.MainActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/library/src/main/java/com/hjq/toast/ToastStrategy.java,com.hjq.toast.ToastStrategy$ShowRunnable,innerclass,3,3,0,3,5,1,0,4,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,29,0,0,0,0,1,0,0,6,4,4,2,0,0,0,20,2,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/getActivity__Toaster/library/src/main/java/com/hjq/toast/ToastParams.java,com.hjq.toast.ToastParams,class,3,11,8,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,0,0,3,0,0,12,0,0,0,0,0,0,5,6,0,10,0,0,0,0,39,1,0
