file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/server/src/test/java/com/thoughtworks/go/server/service/EnvironmentConfigServiceTest.java,com.thoughtworks.go.server.service.EnvironmentConfigServiceTest$EnvironmentForPipeline,shouldReturnNullIfPipelineIsNotAssociatedWithEnvironment/0,false,509,3,1,0,1,1,5,7,0,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,18,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/server/src/test/java/com/thoughtworks/go/server/service/EnvironmentConfigServiceTest.java,com.thoughtworks.go.server.service.EnvironmentConfigServiceTest$EnvironmentForPipeline,shouldReturnEnvironmentForGivenPipeline/0,false,499,3,1,0,1,1,6,7,0,3,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,14,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/common/src/test/java/com/thoughtworks/go/domain/AgentInstanceTest.java,com.thoughtworks.go.domain.AgentInstanceTest$isStuckInCancel,shouldNotBeTrueForAgentsWhichAreNotCancelled/0,false,929,3,2,0,2,1,4,4,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/common/src/test/java/com/thoughtworks/go/domain/AgentInstanceTest.java,com.thoughtworks.go.domain.AgentInstanceTest$isStuckInCancel,shouldBeTrueIfIsInCancelledStateForMoreThan10Mins/0,false,915,4,3,0,3,1,10,9,0,4,0,10,0,0,0,0,0,0,0,1,4,1,0,0,0,0,27,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,shouldDetectNewlyAddedPluginJar/0,false,91,4,4,0,4,1,8,8,0,1,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,shouldNotifyRemoveEventBeforeAddEventInCaseOfFileRename/0,false,177,5,5,0,5,1,11,13,0,3,0,11,0,0,0,0,0,0,2,0,3,0,0,0,0,0,41,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,setUp/1[java.io.File],false,57,3,2,0,2,1,8,11,0,0,1,8,0,0,0,0,0,0,2,0,3,0,0,0,0,0,39,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,shouldDetectRemovedPluginJar/0,false,117,4,5,0,5,1,10,10,0,1,0,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,shouldNotifyListenerOfMultiplePluginFilesRemoved/0,false,153,4,5,0,5,1,10,18,0,3,0,10,0,0,0,0,0,0,3,0,3,0,0,0,0,0,34,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/gocd__gocd/plugin-infra/go-plugin-infra/src/test/java/com/thoughtworks/go/plugin/infra/monitor/DefaultExternalPluginJarLocationMonitorTest.java,com.thoughtworks.go.plugin.infra.monitor.DefaultExternalPluginJarLocationMonitorTest,shouldNotifyListenerOfMultiplePluginFilesAdded/0,false,133,4,4,0,4,1,8,14,0,3,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,33,0,0,false
