file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"ReturnValuesFromMethodAreIgnorable/2[com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState,com.google.errorprone.bugpatterns.checkreturnvalue.MethodSymbol]",true,310,2,1,1,0,1,2,5,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"visitReturn/2[com.sun.source.tree.ReturnTree,java.lang.Void]",false,317,3,12,0,12,3,2,7,1,0,2,2,1,1,0,0,0,0,0,0,2,0,1,0,0,0,25,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"visitNewClass/2[com.sun.source.tree.NewClassTree,java.lang.Void]",false,353,1,7,0,7,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"isIgnorableMethodCallOnSameInstance/2[com.sun.source.tree.ReturnTree,com.google.errorprone.bugpatterns.checkreturnvalue.VisitorState]",false,328,6,3,1,2,6,8,10,2,2,2,8,0,0,0,1,0,1,2,0,2,0,2,0,0,0,28,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/main/java/com/google/errorprone/bugpatterns/checkreturnvalue/CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,"visitLambdaExpression/2[com.sun.source.tree.LambdaExpressionTree,java.lang.Void]",false,347,1,4,0,4,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,inner/0,false,311,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,refersToStaticVariable/0,false,107,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,instantWithPureMethod/0,false,67,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,positive/0,false,231,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,negative/0,false,247,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,refersToInstanceVariable/0,false,141,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__error-prone/core/src/test/java/com/google/errorprone/bugpatterns/FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,possibleImpureInitializer_noMatch/0,false,211,1,0,0,0,1,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
