file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/javadoc/MarkdownPositions.java,com.google.googlejavaformat.java.javadoc.MarkdownPositions,"MarkdownPositions/1[com.google.googlejavaformat.java.javadoc.ImmutableListMultimap<java.lang.Integer,com.google.googlejavaformat.java.javadoc.Token>]",true,57,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/javadoc/MarkdownPositions.java,com.google.googlejavaformat.java.javadoc.MarkdownPositions,parse/1[java.lang.String],false,63,4,8,5,3,1,4,6,1,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/javadoc/MarkdownPositions.java,com.google.googlejavaformat.java.javadoc.MarkdownPositions,tokensAt/1[int],false,70,2,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/javadoc/MarkdownPositions.java,com.google.googlejavaformat.java.javadoc.MarkdownPositions,toString/0,false,170,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,"wrapLineComments/3[com.google.googlejavaformat.Input.Tok,java.util.List<java.lang.String>,int]",false,128,1,2,1,1,9,14,31,1,4,3,14,0,0,3,0,0,0,4,4,6,4,3,0,0,0,12,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,"JavaCommentsHelper/3[java.lang.String,com.google.googlejavaformat.java.JavaFormatterOptions,com.google.googlejavaformat.java.ImmutableSet<java.lang.Integer>]",true,40,2,2,2,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,"rewrite/3[com.google.googlejavaformat.Input.Tok,int,int]",false,47,5,12,0,12,10,22,30,4,3,3,22,4,2,1,0,0,0,1,0,4,0,3,0,0,1,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,javadocShaped/1[java.util.List<java.lang.String>],false,184,0,1,1,0,6,5,19,5,2,1,5,0,0,1,0,0,0,3,0,2,0,2,0,0,0,7,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,"preserveIndentation/2[java.util.List<java.lang.String>,int]",false,83,0,1,1,0,7,11,21,1,5,2,11,0,0,2,1,0,1,1,6,6,0,2,0,0,0,12,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,"indentJavadoc/2[java.util.List<java.lang.String>,int]",false,167,0,1,1,0,3,7,15,1,5,2,7,0,0,1,0,0,0,3,3,5,1,2,0,0,0,9,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/main/java/com/google/googlejavaformat/java/JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,"indentLineComments/3[com.google.googlejavaformat.Input.Tok,java.util.List<java.lang.String>,int]",false,112,2,2,1,1,2,7,10,1,3,3,7,1,1,1,0,0,0,1,2,4,0,1,0,0,0,13,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__google-java-format/core/src/test/java/com/google/googlejavaformat/java/DiagnosticTest.java,com.google.googlejavaformat.java.DiagnosticTest,setUpLocale/0,false,44,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
