file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-testlib/src/com/google/common/testing/GcFinalization.java,com.google.common.testing.GcFinalization$FinalizableReference,finalizeReferent/0,false,333,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-testlib/src/com/google/common/testing/GcFinalization.java,com.google.common.testing.GcFinalization$FinalizableReference,"register/2[java.lang.Object,java.util.concurrent.CountDownLatch]",false,321,1,3,2,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-testlib/src/com/google/common/testing/GcFinalization.java,com.google.common.testing.GcFinalization$FinalizableReference,"FinalizableReference/2[java.lang.Object,java.util.concurrent.CountDownLatch]",true,327,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava/src/com/google/common/reflect/TypeToken.java,com.google.common.reflect.TypeToken$SimpleTypeToken,SimpleTypeToken/1[java.lang.reflect.Type],true,1313,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-tests/test/com/google/common/collect/ImmutableListCopyOfConcurrentlyModifiedInputTest.java,com.google.common.collect.ImmutableListCopyOfConcurrentlyModifiedInputTest$ListFrobber,perform/1[java.util.List<java.lang.Integer>],false,108,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-testlib/test/com/google/common/collect/testing/features/FeatureUtilTest.java,com.google.common.collect.testing.features.FeatureUtilTest$6Tester,test/0,false,181,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-tests/test/com/google/common/reflect/TypeTokenResolutionTest.java,com.google.common.reflect.TypeTokenResolutionTest$1ForTwoStageResolution,verifyTwoStageResolution/0,false,548,2,1,1,0,1,4,8,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,2,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-tests/test/com/google/common/util/concurrent/UninterruptiblesTest.java,com.google.common.util.concurrent.UninterruptiblesTest$AbstractTimedLatch,awaitSuccessfully/0,false,697,2,6,3,3,1,4,5,0,0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,16,16,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-tests/test/com/google/common/util/concurrent/UninterruptiblesTest.java,com.google.common.util.concurrent.UninterruptiblesTest$AbstractTimedLatch,getCount/0,false,725,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1024,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/google__guava/android/guava-tests/test/com/google/common/util/concurrent/UninterruptiblesTest.java,com.google.common.util.concurrent.UninterruptiblesTest$AbstractTimedLatch,AbstractTimedLatch/1[long],true,692,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
