file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/main/java/com/hazelcast/internal/serialization/impl/bufferpool/BufferPoolFactoryImpl.java,com.hazelcast.internal.serialization.impl.bufferpool.BufferPoolFactoryImpl,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/test/java/com/hazelcast/jet/pipeline/ProcessorTransformParallelismTest.java,com.hazelcast.jet.pipeline.ProcessorTransformParallelismTest,class,17,18,1,17,7,1,0,25,0,0.6507937,0.0,0.0,7,2,5,2,0,0,5,0,0,0,9,4,5,4,0,0,4,0,9,44,3,0,0,0,0,12,10,15,0,150,0,0,0,90,68,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/main/java/com/hazelcast/client/impl/protocol/codec/AtomicLongApplyCodec.java,com.hazelcast.client.impl.protocol.codec.AtomicLongApplyCodec$RequestParameters,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/test/java/com/hazelcast/map/TestDeleteEntryProcessor.java,com.hazelcast.map.TestDeleteEntryProcessor,class,2,2,0,2,1,1,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,1,0,0,0,0,0,1,1,0,1,0,0,0,0,16,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/main/java/com/hazelcast/client/impl/protocol/codec/PNCounterGetCodec.java,com.hazelcast.client.impl.protocol.codec.PNCounterGetCodec,class,5,6,1,5,5,1,0,14,6,0.71428573,0.0,0.0,5,4,4,1,0,0,4,0,0,0,7,7,2,5,0,0,7,0,0,62,4,0,0,0,0,3,3,23,5,17,0,0,2,0,83,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/test/java/com/hazelcast/azure/AzureDiscoveryStrategyFactoryTest.java,com.hazelcast.azure.AzureDiscoveryStrategyFactoryTest,class,11,12,1,11,6,1,0,32,15,0.8333333,0.0,0.0,6,2,4,2,0,0,4,0,0,0,1,0,1,0,0,0,0,0,6,38,2,0,0,0,0,8,0,15,0,15,0,0,0,0,60,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/test/java/com/hazelcast/jet/job/AbstractJobInitialSnapshotTest.java,com.hazelcast.jet.job.AbstractJobInitialSnapshotTest$FailingSnapshot,innerclass,2,2,0,2,8,2,0,3,3,0.5,0.0,0.0,6,3,5,0,1,0,6,0,0,0,2,2,0,2,0,0,2,0,0,29,3,0,0,0,0,2,0,2,0,2,1,0,0,0,28,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/main/java/com/hazelcast/client/impl/protocol/task/cache/CacheGetMessageTask.java,com.hazelcast.client.impl.protocol.task.cache.CacheGetMessageTask,class,9,9,0,9,9,5,0,6,28,0.0,0.0,0.0,8,0,5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,31,8,0,1,0,0,0,0,2,0,2,1,0,0,0,36,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast/src/main/java/com/hazelcast/spi/merge/SplitBrainMergeTypes.java,com.hazelcast.spi.merge.SplitBrainMergeTypes$CacheMergeTypes,interface,7,7,0,7,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hazelcast__hazelcast/hazelcast-spring/src/main/java/com/hazelcast/spring/cache/HazelcastCache.java,com.hazelcast.spring.cache.HazelcastCache$ValueRetrievalExceptionResolver,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
