file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/main/java/org/hibernate/loader/ast/spi/SingleEntityLoader.java,org.hibernate.loader.ast.spi.SingleEntityLoader,interface,5,7,2,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/main/java/org/hibernate/engine/spi/ExceptionConverter.java,org.hibernate.engine.spi.ExceptionConverter,interface,3,6,3,3,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-envers/src/test/java/org/hibernate/orm/test/envers/integration/inheritance/single/relation/ReferencedEntity.java,org.hibernate.orm.test.envers.integration.inheritance.single.relation.ReferencedEntity,class,7,10,3,7,9,1,0,1,1,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,32,7,0,3,0,1,1,0,3,0,3,1,0,0,0,27,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/loading/MappedFetchTests.java,org.hibernate.orm.test.loading.MappedFetchTests$RootEntity,innerclass,8,8,0,8,14,1,0,2,20,0.6875,0.0,0.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,0,48,4,0,2,0,0,4,0,8,0,4,1,0,0,0,18,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/SetFieldOnArgument.java,org.hibernate.bytecode.enhance.internal.bytebuddy.SetFieldOnArgument,class,6,7,1,6,14,1,0,21,4,0.5,0.0,0.0,4,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,42,3,0,3,0,0,3,6,3,0,2,3,0,0,0,26,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/main/java/org/hibernate/metamodel/mapping/EntityMappingType.java,org.hibernate.metamodel.mapping.EntityMappingType,interface,60,162,102,60,90,1,0,61,3240,0.0,0.0,0.0,81,0,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,2,247,53,1,4,0,0,9,0,12,2,13,2,0,1,2,354,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/jpa/orphan/onetomany/merge/MergeCascadeTest.java,org.hibernate.orm.test.jpa.orphan.onetomany.merge.MergeCascadeTest$Parent,innerclass,4,4,0,4,10,1,0,1,18,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,35,3,0,1,0,0,1,0,6,0,3,1,0,0,0,15,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-envers/src/test/java/org/hibernate/orm/test/envers/integration/superclass/auditoverride/EmbeddableTest.java,org.hibernate.orm.test.envers.integration.superclass.auditoverride.EmbeddableTest$SimpleAbstractMappedSuperclass,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1033,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/annotations/generics/EmbeddedIdGenericsSuperclassTest.java,org.hibernate.orm.test.annotations.generics.EmbeddedIdGenericsSuperclassTest$Customer,innerclass,3,3,0,3,6,2,0,0,3,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,24,2,0,0,0,0,1,0,4,0,2,0,0,0,0,9,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/any/annotations/PropertyMap.java,org.hibernate.orm.test.any.annotations.PropertyMap,class,15,16,1,15,8,1,0,0,12,0.6666667,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,29,3,0,0,0,0,8,0,5,0,3,0,0,0,0,13,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/onetomany/RefreshWithPropertyAccessAndListManipulationInSetterMethodTest.java,org.hibernate.orm.test.onetomany.RefreshWithPropertyAccessAndListManipulationInSetterMethodTest$Car,innerclass,8,8,0,8,10,1,0,3,8,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,3,0,0,2,0,1,0,0,1,36,3,2,0,0,0,2,2,8,0,5,1,0,0,0,16,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/hibernate__hibernate-orm/hibernate-core/src/test/java/org/hibernate/orm/test/collection/list/ListIndexReferenceFromListElementTest.java,org.hibernate.orm.test.collection.list.ListIndexReferenceFromListElementTest,class,8,8,0,8,3,1,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,4,13,7,0,10,1,0,2,3,32,1,0
