file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/core/src/main/java/ch/cyberduck/core/preferences/UserHomeSupportDirectoryFinder.java,ch.cyberduck.core.preferences.UserHomeSupportDirectoryFinder,find/0,false,33,2,1,0,1,1,3,5,1,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/googlestorage/src/test/java/ch/cyberduck/core/worker/GoogleStorageSingleTransferWorkerTest.java,ch.cyberduck.core.worker.GoogleStorageSingleTransferWorkerTest,testDownload/0,false,66,26,4,0,4,1,26,33,0,11,0,26,0,0,0,0,0,0,1,2,11,0,1,2,0,0,60,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,setLogin/1[java.lang.String],false,108,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,equals/1[java.lang.Object],false,114,1,0,0,0,4,2,10,3,1,1,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,hashCode/0,false,129,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,setUserName/1[java.lang.String],false,54,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,login/1[java.lang.String],false,94,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,getCreatorLanguage/0,false,68,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,language/1[java.lang.String],false,76,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/iterate-ch__cyberduck/dracoon/src/main/java/ch/cyberduck/core/sds/io/swagger/client/model/ResetPasswordRequest.java,ch.cyberduck.core.sds.io.swagger.client.model.ResetPasswordRequest,toIndentedString/1[java.lang.Object],false,151,0,1,1,0,2,2,6,2,0,1,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0,18,2,0,true
