file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/test/src/test/java/jenkins/widgets/BuildListTableTest.java,jenkins.widgets.BuildListTableTest,setUp/1[jenkins.widgets.JenkinsRule],false,53,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/test/src/test/java/jenkins/widgets/BuildListTableTest.java,jenkins.widgets.BuildListTableTest,linksFromFolders/0,false,59,8,0,0,0,1,20,28,0,10,0,20,0,0,0,0,0,0,12,4,14,2,0,0,0,0,33,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/test/src/test/java/hudson/util/AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,noResourceLeak/0,false,33,3,1,0,1,1,12,16,0,3,0,12,1,1,0,0,1,0,2,0,3,0,1,0,0,0,19,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/test/src/test/java/hudson/util/AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,"newFolder/2[java.io.File,java.lang.String[]]",false,65,0,4,4,0,2,2,8,1,2,2,2,0,0,0,0,0,0,2,0,2,1,1,0,0,0,12,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/test/src/test/java/hudson/util/AtomicFileWriterTest.java,hudson.util.AtomicFileWriterTest,resourceLeak/0,false,50,3,1,0,1,1,16,11,0,3,0,16,1,1,0,0,0,0,4,1,3,1,0,0,0,1,24,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/core/src/test/java/jenkins/model/queue/CompositeCauseOfBlockageTest.java,jenkins.model.queue.CompositeCauseOfBlockageTest$Anonymous1,getShortDescription/0,false,97,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/core/src/test/java/hudson/util/ProcessTreeTest.java,hudson.util.ProcessTreeTest$ProcessCallableImpl,"invoke/2[hudson.util.ProcessTree.OSProcess,hudson.util.VirtualChannel]",false,109,2,0,0,0,1,1,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/core/src/main/java/hudson/model/UserPropertyDescriptor.java,hudson.model.UserPropertyDescriptor,isEnabled/0,false,80,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/core/src/main/java/hudson/model/UserPropertyDescriptor.java,hudson.model.UserPropertyDescriptor,getDescription/0,false,136,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jenkinsci__jenkins/core/src/main/java/hudson/model/UserPropertyDescriptor.java,hudson.model.UserPropertyDescriptor,getUserPropertyCategory/0,false,91,5,5,2,3,6,12,21,4,4,0,12,1,1,1,2,0,0,0,0,3,0,5,0,0,1,31,1,0,true
