file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/documentation/jetty/modules/code/examples/src/main/java/org/eclipse/jetty/docs/programming/server/http/HTTPServerDocs.java,org.eclipse.jetty.docs.programming.server.http.HTTPServerDocs$3ShopHandler,innerclass,4,4,0,4,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-alpn/jetty-alpn-java-client/src/test/java/org/eclipse/jetty/alpn/java/client/JDK9HTTP2ClientTest.java,org.eclipse.jetty.alpn.java.client.JDK9HTTP2ClientTest,class,14,15,1,14,3,1,0,14,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,49,2,0,0,2,0,8,4,10,2,10,1,3,0,0,40,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-websocket/jetty-ee11-websocket-jakarta-tests/src/main/java/org/eclipse/jetty/ee11/websocket/jakarta/tests/WSEndpointTracker.java,org.eclipse.jetty.ee11.websocket.jakarta.tests.WSEndpointTracker,class,7,14,7,7,19,2,6,25,61,0.84126973,0.0,0.0,14,0,12,0,2,0,14,0,0,0,9,0,9,0,0,0,1,0,1,71,0,0,2,0,0,20,4,12,11,12,1,0,0,0,69,1025,4
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-websocket/jetty-ee11-websocket-jakarta-tests/src/test/java/org/eclipse/jetty/ee11/websocket/jakarta/tests/server/JsrBatchModeTest.java,org.eclipse.jetty.ee11.websocket.jakarta.tests.server.JsrBatchModeTest,class,12,12,0,12,5,3,0,17,0,0.1,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,76,0,0,0,3,0,4,10,24,0,24,1,0,2,0,41,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee9/jetty-ee9-websocket/jetty-ee9-websocket-jakarta-tests/src/test/java/org/eclipse/jetty/ee9/websocket/jakarta/tests/RestartContextTest.java,org.eclipse.jetty.ee9.websocket.jakarta.tests.RestartContextTest$AddEndpointListener,innerclass,4,4,0,4,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,1,0,1,1,0,0,0,17,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee9/jetty-ee9-tests/jetty-ee9-test-integration/src/test/java/org/eclipse/jetty/ee9/test/support/rawhttp/HttpTesting.java,org.eclipse.jetty.ee9.test.support.rawhttp.HttpTesting,class,5,8,3,5,37,1,0,35,156,0.86,0.0,0.0,20,2,19,1,0,0,19,0,0,0,5,0,0,5,0,0,0,0,3,174,13,3,6,4,1,9,1,40,7,33,3,0,0,0,122,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-websocket/jetty-websocket-jetty-tests/src/test/java/org/eclipse/jetty/websocket/tests/proxy/WebSocketProxy.java,org.eclipse.jetty.websocket.tests.proxy.WebSocketProxy,class,6,8,2,6,6,1,0,3,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,1,0,5,0,0,5,0,0,126,5,0,1,1,0,0,0,5,0,5,2,0,2,0,29,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-servlet/src/test/java/org/eclipse/jetty/ee11/servlet/InitServletTest.java,org.eclipse.jetty.ee11.servlet.InitServletTest,class,12,12,0,12,1,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,1,1,6,8,7,4,7,1,0,2,0,29,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee10/jetty-ee10-websocket/jetty-ee10-websocket-jakarta-tests/src/test/java/org/eclipse/jetty/ee10/websocket/jakarta/tests/server/sockets/primitives/DoubleObjectTextSocket.java,org.eclipse.jetty.ee10.websocket.jakarta.tests.server.sockets.primitives.DoubleObjectTextSocket,class,7,8,1,7,4,1,0,7,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,1,20,0,0,1,0,0,5,0,3,1,3,1,0,0,0,24,1,1
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-websocket/jetty-websocket-jetty-api/src/main/java/org/eclipse/jetty/websocket/api/Session.java,org.eclipse.jetty.websocket.api.Session,interface,6,18,12,6,18,1,0,1,153,0.0,0.0,0.0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,235,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-http2/jetty-http2-common/src/main/java/org/eclipse/jetty/http2/CloseState.java,org.eclipse.jetty.http2.CloseState,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee10/jetty-ee10-jaspi/src/main/java/org/eclipse/jetty/ee10/security/jaspi/JaspiAuthenticator.java,org.eclipse.jetty.ee10.security.jaspi.JaspiAuthenticator$JaspiAuthenticatorConfiguration,innerclass,4,4,0,4,2,2,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,10,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-io/src/test/java/org/eclipse/jetty/io/ByteBufferAggregatorTest.java,org.eclipse.jetty.io.ByteBufferAggregatorTest,class,8,8,0,8,5,1,0,12,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,4,41,0,0,0,0,0,1,27,9,1,9,0,0,0,6,28,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee10/jetty-ee10-websocket/jetty-ee10-websocket-jetty-client-webapp/src/main/java/org/eclipse/jetty/ee10/websocket/client/config/JettyWebSocketClientConfiguration.java,org.eclipse.jetty.ee10.websocket.client.config.JettyWebSocketClientConfiguration,class,7,7,0,7,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,22,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-fcgi/jetty-fcgi-client/src/main/java/org/eclipse/jetty/fcgi/parser/ParamsContentParser.java,org.eclipse.jetty.fcgi.parser.ParamsContentParser,class,10,12,2,10,36,2,0,19,16,0.7222222,0.0,0.0,8,0,3,3,2,0,5,0,0,0,9,1,0,9,0,0,2,0,0,184,6,1,7,2,3,2,27,50,4,12,4,0,1,0,67,1,2
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-websocket/jetty-ee11-websocket-jakarta-tests/src/test/java/org/eclipse/jetty/ee11/websocket/jakarta/tests/server/sockets/primitives/CharacterObjectTextSocket.java,org.eclipse.jetty.ee11.websocket.jakarta.tests.server.sockets.primitives.CharacterObjectTextSocket,class,7,8,1,7,4,1,0,7,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,20,0,0,1,0,0,4,0,3,1,3,1,0,0,0,24,1,1
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-servlet/src/main/java/org/eclipse/jetty/ee11/servlet/PushBuilderImpl.java,org.eclipse.jetty.ee11.servlet.PushBuilderImpl,class,8,10,2,8,26,1,0,30,31,0.74444443,0.0,0.0,15,0,15,0,0,0,15,0,0,0,6,0,0,6,0,0,2,0,1,84,13,0,6,0,0,6,3,23,5,14,2,0,0,0,48,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee10/jetty-ee10-plus/src/test/java/org/eclipse/jetty/ee10/plus/annotation/LifeCycleCallbackCollectionTest.java,org.eclipse.jetty.ee10.plus.annotation.LifeCycleCallbackCollectionTest$SomeTestClass,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-servlet/src/test/java/org/eclipse/jetty/ee11/servlet/ServletContextHandlerTest.java,org.eclipse.jetty.ee11.servlet.ServletContextHandlerTest$DecoratedObjectFactoryServlet,innerclass,5,5,0,5,3,2,0,12,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,7,0,4,0,4,2,0,0,0,24,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-ee11/jetty-ee11-websocket/jetty-ee11-websocket-jakarta-tests/src/test/java/org/eclipse/jetty/ee11/websocket/jakarta/tests/server/sockets/streaming/StringReturnReaderParamSocket.java,org.eclipse.jetty.ee11.websocket.jakarta.tests.server.sockets.streaming.StringReturnReaderParamSocket,class,7,8,1,7,2,1,0,9,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,14,1,0,0,0,0,4,0,2,1,2,0,0,0,0,23,1,1
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-demos/jetty-servlet5-demos/jetty-servlet5-demo-spec/jetty-servlet5-demo-spec-webapp/src/main/java/org/example/test/AnnotationTest.java,org.example.test.AnnotationTest,class,15,16,1,15,43,2,0,20,9,0.6851852,0.0,0.0,6,0,4,2,0,0,4,0,0,0,18,1,0,17,0,1,0,0,1,199,0,1,13,7,24,252,6,49,47,35,3,0,0,0,138,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jetty__jetty.project/jetty-core/jetty-client/src/main/java/org/eclipse/jetty/client/Response.java,org.eclipse.jetty.client.Response$CompleteListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0
