file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/gui/src/main/java/net/java/sip/communicator/impl/gui/main/chatroomslist/joinforms/ChatRoomNamePanel.java,net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.ChatRoomNamePanel,setChatRoomName/1[java.lang.String],false,101,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/gui/src/main/java/net/java/sip/communicator/impl/gui/main/chatroomslist/joinforms/ChatRoomNamePanel.java,net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.ChatRoomNamePanel,addChatRoomNameListener/1[javax.swing.event.DocumentListener],false,120,0,3,3,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/gui/src/main/java/net/java/sip/communicator/impl/gui/main/chatroomslist/joinforms/ChatRoomNamePanel.java,net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.ChatRoomNamePanel,removeChatRoomNameListener/1[javax.swing.event.DocumentListener],false,131,0,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/gui/src/main/java/net/java/sip/communicator/impl/gui/main/chatroomslist/joinforms/ChatRoomNamePanel.java,net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.ChatRoomNamePanel,ChatRoomNamePanel/0,true,62,0,0,0,0,1,9,14,0,1,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/gui/src/main/java/net/java/sip/communicator/impl/gui/main/chatroomslist/joinforms/ChatRoomNamePanel.java,net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.ChatRoomNamePanel,getChatRoomName/0,false,91,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/gui/src/main/java/net/java/sip/communicator/impl/gui/main/chatroomslist/joinforms/ChatRoomNamePanel.java,net.java.sip.communicator.impl.gui.main.chatroomslist.joinforms.ChatRoomNamePanel,requestFocusInField/0,false,109,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/protocol-jabber/src/main/java/net/java/sip/communicator/impl/protocol/jabber/RawUdpTransportManager.java,net.java.sip.communicator.impl.protocol.jabber.RawUdpTransportManager,setRtcpmux/1[boolean],false,514,0,0,0,0,2,2,5,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,12,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/protocol-jabber/src/main/java/net/java/sip/communicator/impl/protocol/jabber/RawUdpTransportManager.java,net.java.sip.communicator.impl.protocol.jabber.RawUdpTransportManager,createTransport/1[java.lang.String],false,73,3,1,0,1,1,3,4,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,4,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/protocol-jabber/src/main/java/net/java/sip/communicator/impl/protocol/jabber/RawUdpTransportManager.java,net.java.sip.communicator.impl.protocol.jabber.RawUdpTransportManager,RawUdpTransportManager/1[net.java.sip.communicator.impl.protocol.jabber.CallPeerJabberImpl],true,64,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/jitsi__jitsi/modules/impl/protocol-jabber/src/main/java/net/java/sip/communicator/impl/protocol/jabber/RawUdpTransportManager.java,net.java.sip.communicator.impl.protocol.jabber.RawUdpTransportManager,getXmlNamespace/0,false,188,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
