file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/TestWatcherTests.java,org.junit.jupiter.engine.extension.TestWatcherTests$DataRetrievingTestWatcherTestCase,test/0,false,471,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/platform-tests/src/test/java/org/junit/platform/launcher/listeners/discovery/LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsWarningOnUnresolvedUniqueIdSelectorWithEnginePrefix/1[org.junit.platform.launcher.listeners.discovery.LogRecordListener],false,38,3,0,0,0,1,15,7,0,3,1,15,0,0,0,0,0,0,4,0,3,0,0,0,0,0,32,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/platform-tests/src/test/java/org/junit/platform/launcher/listeners/discovery/LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsErrorOnSelectorResolutionFailure/1[org.junit.platform.launcher.listeners.discovery.LogRecordListener],false,75,3,0,0,0,1,13,8,0,4,1,13,0,0,0,0,0,0,4,0,4,0,0,0,0,0,34,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/platform-tests/src/test/java/org/junit/platform/launcher/listeners/discovery/LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsDebugMessageOnUnresolvedUniqueIdSelectorWithoutEnginePrefix/1[org.junit.platform.launcher.listeners.discovery.LogRecordListener],false,57,3,0,0,0,1,14,7,0,3,1,14,0,0,0,0,0,0,4,0,3,0,0,0,0,0,34,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/platform-tests/src/test/java/org/junit/platform/launcher/listeners/discovery/LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsErrorOnEngineDiscoveryFailure/1[org.junit.platform.launcher.listeners.discovery.LogRecordListener],false,95,5,0,0,0,1,18,15,0,5,1,18,0,0,0,0,0,0,3,0,5,0,0,1,0,0,37,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/platform-tests/src/test/java/org/junit/platform/launcher/listeners/discovery/LoggingLauncherDiscoveryListenerTests.java,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,logsTraceMessageOnStartAndEnd/1[org.junit.platform.launcher.listeners.discovery.LogRecordListener],false,118,4,0,0,0,1,14,7,0,3,1,14,0,0,0,0,0,0,6,0,3,0,0,0,0,0,31,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/junit-platform-reporting/src/main/java/org/junit/platform/reporting/legacy/xml/XmlReportWriter.java,org.junit.platform.reporting.legacy.xml.XmlReportWriter$AggregatedTestResult$Type,isFailure/1[org.junit.platform.reporting.legacy.xml.TestExecutionResult],false,458,1,1,1,0,1,3,4,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/junit-platform-reporting/src/main/java/org/junit/platform/reporting/legacy/xml/XmlReportWriter.java,org.junit.platform.reporting.legacy.xml.XmlReportWriter$AggregatedTestResult$Type,from/1[org.junit.platform.reporting.legacy.xml.TestExecutionResult],false,451,2,1,0,1,3,2,6,2,0,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,19,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,test/1[java.lang.String],false,399,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/junit-team__junit-framework/jupiter-tests/src/test/java/org/junit/jupiter/engine/extension/ProgrammaticExtensionRegistrationTests.java,org.junit.jupiter.engine.extension.ProgrammaticExtensionRegistrationTests$ClassLevelExtensionRegistrationTestCase,afterAll/1[java.lang.String],false,409,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,0,false
