file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,getRealTimeMessage/0,false,222,1,2,1,1,3,2,11,3,0,0,2,0,0,0,1,0,0,2,1,0,0,2,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,"ConvertStatus/4[cn.keking.utils.FileConvertStatusManager.Status,java.lang.String,int,long]",true,212,1,1,1,0,1,1,7,0,0,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,getStatus/0,false,236,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,getMessage/0,false,237,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,toString/0,false,243,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,getTimestamp/0,false,240,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/utils/FileConvertStatusManager.java,cn.keking.utils.FileConvertStatusManager$ConvertStatus,getProgress/0,false,238,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/service/impl/CommonPreviewImpl.java,cn.keking.service.impl.CommonPreviewImpl,"CommonPreviewImpl/2[cn.keking.service.FileHandlerService,cn.keking.service.impl.OtherFilePreviewImpl]",true,29,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/service/impl/CommonPreviewImpl.java,cn.keking.service.impl.CommonPreviewImpl,"filePreviewHandle/3[java.lang.String,cn.keking.service.impl.Model,cn.keking.model.FileAttribute]",false,35,7,22,10,12,8,16,25,3,4,3,16,0,0,0,1,0,0,4,0,4,0,4,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kekingcn__kkFileView/server/src/main/java/cn/keking/service/FilePreviewFactory.java,cn.keking.service.FilePreviewFactory,FilePreviewFactory/1[cn.keking.service.ApplicationContext],true,16,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
