file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/core/src/main/java/io/kestra/core/server/AbstractServiceLivenessTask.java,io.kestra.core.server.AbstractServiceLivenessTask,class,7,9,2,7,18,1,1,25,19,0.71666664,0.0,0.0,10,0,4,0,6,0,10,2,0,0,6,0,0,5,1,0,3,0,8,64,3,0,2,1,2,9,3,10,5,10,2,0,0,1,105,1025,4
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/core/src/main/java/io/kestra/core/runners/pebble/filters/EscapeCharFilter.java,io.kestra.core.runners.pebble.filters.EscapeCharFilter,class,6,8,2,6,21,1,0,15,24,0.75,0.0,0.0,8,0,3,5,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,80,10,2,1,1,0,8,0,6,2,6,2,0,1,0,55,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/jdbc/src/test/java/io/kestra/jdbc/repository/AbstractJdbcFlowTopologyRepositoryTest.java,io.kestra.jdbc.repository.AbstractJdbcFlowTopologyRepositoryTest,class,7,7,0,7,1,2,0,18,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,13,0,0,0,0,0,14,3,4,0,4,0,0,0,0,17,1025,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/core/src/test/java/io/kestra/plugin/core/trigger/WebhookTestPlugin.java,io.kestra.plugin.core.trigger.WebhookTestPlugin$WebhookTestOutput,innerclass,8,8,0,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/core/src/test/java/io/kestra/plugin/core/storage/DeleteTest.java,io.kestra.plugin.core.storage.DeleteTest,class,8,9,1,8,1,1,0,19,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,19,0,0,0,0,0,2,0,7,0,8,1,0,0,1,26,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/worker-controller/src/main/java/io/kestra/controller/grpc/services/GrpcWorkerControllerService.java,io.kestra.controller.grpc.services.GrpcWorkerControllerService,class,27,27,0,27,16,2,0,38,13,0.8333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,8,0,0,8,0,0,0,0,4,166,1,0,2,2,0,5,0,16,1,24,3,1,1,3,101,1,4
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/webserver/src/main/java/io/kestra/webserver/controllers/api/ExecutionController.java,io.kestra.webserver.controllers.api.ExecutionController,class,122,123,1,122,209,2,0,251,868,0.9328257,0.0,0.0,77,0,61,9,7,0,68,0,0,0,29,0,0,22,7,0,0,0,37,869,113,17,10,9,6,574,13,139,21,210,5,0,2,50,398,1,10
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/core/src/main/java/io/kestra/plugin/core/dashboard/data/IMetrics.java,io.kestra.plugin.core.dashboard.data.IMetrics$Fields,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/jdbc-postgres/src/main/java/io/kestra/repository/postgres/PostgresDashboardRepository.java,io.kestra.repository.postgres.PostgresDashboardRepository,class,12,12,0,12,2,4,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/kestra-io__kestra/core/src/main/java/io/kestra/core/services/ConcurrencyLimitService.java,io.kestra.core.services.ConcurrencyLimitService,class,5,7,2,5,4,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,0,2,0,0,1,0,1,15,1,0,2,0,1,3,0,2,1,2,1,0,0,0,44,1,0
