file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/payment/src/test/java/org/killbill/billing/payment/core/janitor/TestIncompletePaymentAttemptTaskWithDB.java,org.killbill.billing.payment.core.janitor.TestIncompletePaymentAttemptTaskWithDB$IncompletePaymentAttemptTaskWithException,"IncompletePaymentAttemptTaskWithException/9[java.lang.Iterable<org.killbill.billing.payment.dao.PaymentAttemptModelDao>,org.killbill.billing.payment.core.janitor.InternalCallContextFactory,org.killbill.billing.payment.core.janitor.PaymentConfig,org.killbill.billing.payment.dao.PaymentDao,org.killbill.billing.payment.core.janitor.Clock,org.killbill.billing.payment.core.sm.PaymentControlStateMachineHelper,org.killbill.billing.payment.core.janitor.AccountInternalApi,org.killbill.billing.payment.core.sm.PluginControlPaymentAutomatonRunner,org.killbill.billing.payment.core.janitor.IncompletePaymentTransactionTask]",true,79,9,1,1,0,1,0,4,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/payment/src/test/java/org/killbill/billing/payment/core/janitor/TestIncompletePaymentAttemptTaskWithDB.java,org.killbill.billing.payment.core.janitor.TestIncompletePaymentAttemptTaskWithDB$IncompletePaymentAttemptTaskWithException,"doIteration/3[org.killbill.billing.payment.dao.PaymentAttemptModelDao,boolean,java.lang.Iterable<org.killbill.billing.payment.core.janitor.PluginProperty>]",false,90,2,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/payment/src/test/java/org/killbill/billing/payment/core/janitor/TestIncompletePaymentAttemptTaskWithDB.java,org.killbill.billing.payment.core.janitor.TestIncompletePaymentAttemptTaskWithDB$IncompletePaymentAttemptTaskWithException,getItemsForIteration/0,false,85,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,"getOverriddenTierBlocks/2[java.lang.Long,org.killbill.billing.catalog.dao.InternalTenantContext]",false,370,3,0,0,0,1,1,9,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,"getOverrideTierDefinitionFromTransaction/3[org.killbill.billing.catalog.dao.CatalogOverrideBlockDefinitionModelDao[],org.killbill.billing.catalog.dao.Handle,org.killbill.billing.catalog.dao.InternalCallContext]",false,300,4,3,1,2,4,3,12,3,2,3,3,0,0,1,2,0,0,0,2,2,0,2,0,0,0,19,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,"createCatalogOverrideTierBlockFromTransaction/5[short,org.killbill.billing.catalog.dao.CatalogOverrideBlockDefinitionModelDao,org.killbill.billing.catalog.dao.CatalogOverrideTierDefinitionModelDao,org.killbill.billing.catalog.dao.Handle,org.killbill.billing.catalog.dao.InternalCallContext]",false,294,6,5,1,4,1,4,5,0,2,5,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,"getOverridePhaseDefinitionFromTransaction/3[org.killbill.billing.catalog.dao.CatalogOverrideUsageDefinitionModelDao[],org.killbill.billing.catalog.dao.Handle,org.killbill.billing.catalog.dao.InternalCallContext]",false,183,4,3,1,2,4,4,13,2,3,3,4,0,0,1,2,0,0,0,2,3,0,2,0,0,0,21,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,isUsageOverrideListHasOnlyNull/1[java.util.List<org.killbill.billing.catalog.dao.UsagePriceOverride>],false,381,1,1,1,0,3,0,8,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,14,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,"getOverrideUsageDefinitionFromTransaction/3[org.killbill.billing.catalog.dao.CatalogOverrideTierDefinitionModelDao[],org.killbill.billing.catalog.dao.Handle,org.killbill.billing.catalog.dao.InternalCallContext]",false,237,4,3,1,2,4,3,12,3,2,3,3,0,0,1,2,0,0,0,2,2,0,2,0,0,0,19,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/killbill__killbill/catalog/src/main/java/org/killbill/billing/catalog/dao/DefaultCatalogOverrideDao.java,org.killbill.billing.catalog.dao.DefaultCatalogOverrideDao,"getOverridePlanDefinitionFromTransaction/3[org.killbill.billing.catalog.dao.CatalogOverridePhaseDefinitionModelDao[],org.killbill.billing.catalog.dao.Handle,org.killbill.billing.catalog.dao.InternalCallContext]",false,100,4,3,1,2,4,3,12,3,2,3,3,0,0,1,2,0,0,0,2,2,0,2,0,0,0,19,2,0,false
