file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-google-ai-gemini/src/test/java/dev/langchain4j/model/googleai/jsonl/StreamingJsonLinesWriterTest.java,dev.langchain4j.model.googleai.jsonl.StreamingJsonLinesWriterTest$PathConstructor,should_create_writer_and_write_to_file/1[java.nio.file.Path],false,36,4,3,0,3,1,8,9,0,3,1,8,0,0,0,0,0,0,3,2,4,0,0,0,0,0,26,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j/src/test/java/dev/langchain4j/service/AiServicesWithCustomContentInjectorTest.java,dev.langchain4j.service.AiServicesWithCustomContentInjectorTest,afterEach/0,false,32,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j/src/test/java/dev/langchain4j/service/AiServicesWithCustomContentInjectorTest.java,dev.langchain4j.service.AiServicesWithCustomContentInjectorTest,should_append_output_format_instructions_to_the_last_text_content/0,false,66,11,3,0,3,1,25,22,1,11,0,25,0,0,0,0,0,0,6,7,8,0,1,0,0,2,47,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j/src/test/java/dev/langchain4j/service/AiServicesWithCustomContentInjectorTest.java,dev.langchain4j.service.AiServicesWithCustomContentInjectorTest,should_create_new_text_content_of_output_format_instructions_if_there_is_no_text_content/0,false,109,11,3,0,3,1,24,20,1,10,0,24,0,0,0,0,0,0,2,6,7,0,1,0,0,2,48,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-http-client/src/main/java/dev/langchain4j/http/client/log/HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,"log/2[dev.langchain4j.http.client.log.Logger,dev.langchain4j.http.client.HttpRequest]",false,22,3,8,3,5,2,8,8,0,0,2,8,1,2,0,0,1,0,1,0,0,0,1,0,0,0,11,8,2,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-http-client/src/main/java/dev/langchain4j/http/client/log/HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,"format/1[java.util.Map<java.lang.String,java.util.List<java.lang.String>>]",false,41,1,3,2,1,1,8,3,1,1,1,8,1,1,0,0,0,0,1,0,0,0,0,0,0,1,4,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-http-client/src/main/java/dev/langchain4j/http/client/log/HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,"format/2[java.lang.String,java.util.List<java.lang.String>]",false,47,0,1,1,0,4,10,11,2,0,2,10,0,0,0,1,0,0,3,2,1,0,1,0,0,0,5,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-http-client/src/main/java/dev/langchain4j/http/client/log/HttpRequestLogger.java,dev.langchain4j.http.client.log.HttpRequestLogger,maskSecretKey/1[java.lang.String],false,61,0,0,0,0,3,4,11,3,0,1,4,0,0,0,0,0,0,2,4,0,2,1,0,0,0,8,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-core/src/test/java/dev/langchain4j/web/search/WebSearchRequestTest.java,dev.langchain4j.web.search.WebSearchRequestTest,should_build_webSearchRequest_with_default_values_builder/0,false,29,3,11,0,11,1,17,12,0,1,0,17,0,0,0,0,0,0,3,1,1,0,0,0,0,0,26,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/langchain4j__langchain4j/langchain4j-core/src/test/java/dev/langchain4j/web/search/WebSearchRequestTest.java,dev.langchain4j.web.search.WebSearchRequestTest,should_build_webSearchRequest_with_default_values/0,false,11,2,9,0,9,1,15,12,0,1,0,15,0,0,0,0,0,0,3,1,1,0,0,0,0,0,25,0,0,false
