file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/testing-internal/src/main/java/com/linecorp/armeria/internal/testing/CountDownEmptyEndpointStrategy.java,com.linecorp.armeria.internal.testing.CountDownEmptyEndpointStrategy,newSelector/1[com.linecorp.armeria.client.endpoint.EndpointGroup],false,49,4,2,0,2,1,0,15,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/testing-internal/src/main/java/com/linecorp/armeria/internal/testing/CountDownEmptyEndpointStrategy.java,com.linecorp.armeria.internal.testing.CountDownEmptyEndpointStrategy,"CountDownEmptyEndpointStrategy/2[int,java.util.function.Function<com.linecorp.armeria.client.ClientRequestContext,java.util.concurrent.CompletableFuture<com.linecorp.armeria.client.Endpoint>>]",true,43,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/grpc/src/test/java/com/linecorp/armeria/server/grpc/GrpcServiceBuilderTest.java,com.linecorp.armeria.server.grpc.GrpcServiceBuilderTest$AbstractThirdTestServiceImpl,"unaryCall/2[com.linecorp.armeria.server.grpc.SimpleRequest,com.linecorp.armeria.server.grpc.StreamObserver<com.linecorp.armeria.server.grpc.SimpleResponse>]",false,447,4,0,0,0,1,5,4,0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/test/java/com/linecorp/armeria/common/loadbalancer/WeightedRandomLoadBalancerTest.java,com.linecorp.armeria.common.loadbalancer.WeightedRandomLoadBalancerTest,resetEntriesWhenAllEntriesAreFull/0,false,67,3,0,0,0,5,18,41,0,16,0,18,0,0,3,0,1,0,3,7,16,3,4,0,0,1,31,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/test/java/com/linecorp/armeria/common/loadbalancer/WeightedRandomLoadBalancerTest.java,com.linecorp.armeria.common.loadbalancer.WeightedRandomLoadBalancerTest,zeroWeightFiltered/0,false,36,3,0,0,0,1,6,7,0,4,0,6,0,0,0,0,0,0,2,2,4,0,0,0,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/test/java/com/linecorp/armeria/common/loadbalancer/WeightedRandomLoadBalancerTest.java,com.linecorp.armeria.common.loadbalancer.WeightedRandomLoadBalancerTest,everyEndpointIsSelectedAsManyAsItsWeightInOneTurn/0,false,46,4,0,0,0,3,10,15,0,9,0,10,0,0,2,0,0,0,3,7,9,0,2,0,0,0,23,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/test/java/com/linecorp/armeria/common/auth/OAuth1aTokenTest.java,com.linecorp.armeria.common.auth.OAuth1aTokenTest,testEquals/0,false,26,3,0,0,0,1,15,14,0,2,0,15,0,0,0,0,0,0,38,0,2,0,0,0,0,0,11,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/main/java/com/linecorp/armeria/internal/common/util/VerifierBasedTrustManager.java,com.linecorp.armeria.internal.common.util.VerifierBasedTrustManager,getAcceptedIssuers/0,false,94,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/main/java/com/linecorp/armeria/internal/common/util/VerifierBasedTrustManager.java,com.linecorp.armeria.internal.common.util.VerifierBasedTrustManager,"checkServerTrusted/2[java.security.cert.X509Certificate[],java.lang.String]",false,69,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/line__armeria/core/src/main/java/com/linecorp/armeria/internal/common/util/VerifierBasedTrustManager.java,com.linecorp.armeria.internal.common.util.VerifierBasedTrustManager,"checkServerTrusted/3[java.security.cert.X509Certificate[],java.lang.String,java.net.Socket]",false,55,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
