file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,liveRequestCount/0,false,338,2,0,0,0,4,7,17,1,2,0,7,0,0,1,0,0,1,1,0,1,0,4,0,0,1,15,16,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,alloc/0,false,303,1,0,0,0,1,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,getChannels/0,false,323,2,0,0,0,2,3,7,1,2,0,3,0,0,1,0,0,1,1,0,1,0,1,0,0,1,12,16,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,ConnectionManager/1[io.micronaut.http.client.netty.ConnectionManager],true,201,1,0,0,0,1,2,21,0,0,1,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,15,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,getGroup/0,false,312,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,"createEventLoopGroup/2[io.micronaut.http.client.netty.HttpClientConfiguration,java.util.concurrent.ThreadFactory]",false,287,3,2,2,0,2,7,6,1,0,2,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,10,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,"ConnectionManager/3[io.micronaut.http.client.netty.Logger,io.micronaut.http.client.netty.HttpClientConfiguration,io.micronaut.http.client.netty.DefaultHttpClientBuilder]",true,226,11,6,1,5,8,5,33,0,0,3,5,3,2,0,7,0,0,0,0,18,0,1,1,0,0,36,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,refresh/0,false,265,3,6,3,3,4,10,15,0,1,0,10,1,1,1,0,0,1,0,0,1,0,1,0,0,1,12,16,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,initBootstrap/0,false,367,1,2,2,0,4,14,17,0,5,0,14,0,0,1,1,0,0,0,0,6,0,2,0,0,1,18,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,start/0,false,357,1,3,1,2,3,3,8,0,0,0,3,2,1,0,0,0,0,0,0,1,0,2,0,0,0,9,17,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/http-client/src/main/java/io/micronaut/http/client/netty/ConnectionManager.java,io.micronaut.http.client.netty.ConnectionManager,getResolver/1[HttpClientConfiguration.DnsResolutionMode],false,394,2,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject/src/main/java/io/micronaut/inject/annotation/EnvironmentOptionalValuesMap.java,io.micronaut.inject.annotation.EnvironmentOptionalValuesMap,"resolveValues/2[io.micronaut.inject.annotation.Environment,java.util.Map<java.lang.CharSequence,?>]",false,45,3,1,0,1,4,9,31,2,5,2,9,0,0,1,0,0,0,1,1,6,0,3,1,0,1,21,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject/src/main/java/io/micronaut/inject/annotation/EnvironmentOptionalValuesMap.java,io.micronaut.inject.annotation.EnvironmentOptionalValuesMap,"EnvironmentOptionalValuesMap/3[java.lang.Class<?>,java.util.Map<java.lang.CharSequence,?>,io.micronaut.inject.annotation.Environment]",true,40,2,1,0,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/inject/field/nullableinjection/B.java,io.micronaut.inject.field.nullableinjection.B,getA/0,false,25,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/inject/field/nullableinjection/C.java,io.micronaut.inject.field.nullableinjection.C,getA/0,false,24,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/inject/field/nullableinjection/D.java,io.micronaut.inject.field.nullableinjection.D,getA/0,false,27,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/aop/proxytargethotswap/ProxyingClass.java,io.micronaut.aop.proxytargethotswap.ProxyingClass,testLong/1[java.lang.String],false,103,1,0,0,0,2,1,3,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/aop/proxytargethotswap/ProxyingClass.java,io.micronaut.aop.proxytargethotswap.ProxyingClass,"testChar/2[java.lang.String,int]",false,163,1,0,0,0,1,1,4,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/aop/proxytargethotswap/ProxyingClass.java,io.micronaut.aop.proxytargethotswap.ProxyingClass,testByte/1[java.lang.String],false,125,1,0,0,0,2,1,3,1,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/aop/proxytargethotswap/ProxyingClass.java,io.micronaut.aop.proxytargethotswap.ProxyingClass,test/1[int],false,55,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/micronaut-projects__micronaut-core/inject-java/src/test/groovy/io/micronaut/aop/proxytargethotswap/ProxyingClass.java,io.micronaut.aop.proxytargethotswap.ProxyingClass,"testBoolean/2[java.lang.String,int]",false,86,1,0,0,0,2,1,4,1,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,4,0,0,false
