file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,primitive/1[java.lang.String],false,106,5,1,0,1,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,47,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,"record/1[java.util.Map<java.lang.String,java.lang.Integer>]",false,146,5,1,0,1,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,47,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,"arrayWithResponse/2[java.util.List<java.lang.String>,routes.RequestOptions]",false,71,6,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,"recordWithResponse/2[java.util.Map<java.lang.String,java.lang.Integer>,routes.RequestOptions]",false,88,6,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,"primitiveWithResponse/2[java.lang.String,routes.RequestOptions]",false,54,6,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,array/1[java.util.List<java.lang.String>],false,126,5,1,0,1,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,47,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/routes/PathParametersPathExpansionStandardAsyncClient.java,routes.PathParametersPathExpansionStandardAsyncClient,PathParametersPathExpansionStandardAsyncClient/1[routes.implementation.PathParametersPathExpansionStandardsImpl],true,37,2,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/test/java/type/scalar/DecimalTests.java,type.scalar.DecimalTests,"newInstance/2[java.lang.Class<T>,java.math.BigDecimal]",false,55,1,1,1,0,2,2,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/test/java/type/scalar/DecimalTests.java,type.scalar.DecimalTests,testBigDecimal/1[java.lang.Class<T>],false,33,6,2,0,2,1,8,15,0,3,1,8,2,1,0,0,0,0,4,0,9,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/test/java/type/scalar/DecimalTests.java,type.scalar.DecimalTests,"getProperty/2[java.lang.Class<T>,T]",false,63,1,1,1,0,2,2,8,1,0,2,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,10,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/type/property/additionalproperties/implementation/ExtendsModelArraysImpl.java,type.property.additionalproperties.implementation.ExtendsModelArraysImpl,getWithResponseAsync/1[type.property.additionalproperties.implementation.RequestOptions],false,129,4,1,1,0,1,3,4,1,2,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,56,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/microsoft__typespec/packages/http-client-java/generator/http-client-generator-test/src/main/java/type/property/additionalproperties/implementation/ExtendsModelArraysImpl.java,type.property.additionalproperties.implementation.ExtendsModelArraysImpl,ExtendsModelArraysImpl/1[type.property.additionalproperties.implementation.AdditionalPropertiesClientImpl],true,49,2,6,2,4,1,3,4,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,true
