file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/cluster/routing/allocation/command/AllocateReplicaAllocationCommand.java,org.opensearch.cluster.routing.allocation.command.AllocateReplicaAllocationCommand$Builder,innerclass,4,4,0,4,2,2,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/libs/nio/src/main/java/org/opensearch/nio/RoundRobinSupplier.java,org.opensearch.nio.RoundRobinSupplier,class,1,3,2,1,6,1,0,3,0,0.4666667,0.0,0.0,5,0,1,0,0,4,5,0,0,0,3,0,0,3,0,0,1,0,0,27,2,0,0,0,0,1,1,6,1,4,1,0,0,0,23,16,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/cluster/SnapshotsInProgress.java,org.opensearch.cluster.SnapshotsInProgress$ShardSnapshotStatus,innerclass,6,6,0,6,31,1,0,11,0,0.54761904,0.0,0.0,14,1,13,1,0,0,13,0,0,0,6,2,2,4,0,0,6,0,4,73,13,0,17,0,4,8,7,15,8,12,1,0,0,0,88,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/transport/client/node/NodeClient.java,org.opensearch.transport.client.node.NodeClient,class,18,20,2,18,13,2,0,8,47,0.8181818,0.0,0.0,11,0,10,1,0,0,10,0,0,0,4,0,0,4,0,0,0,0,0,48,7,0,2,0,0,5,0,5,1,5,1,0,0,0,89,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/test/framework/src/main/java/org/opensearch/transport/AbstractSimpleTransportTestCase.java,org.opensearch.transport.AbstractSimpleTransportTestCase$Version1Response,innerclass,3,3,0,3,5,3,0,5,0,0.0,0.0,0.0,3,0,1,0,0,2,3,0,0,0,1,0,0,0,0,1,1,0,0,22,0,0,0,0,0,0,1,3,0,1,1,0,0,0,16,8,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/modules/lang-painless/src/main/java/org/opensearch/painless/node/EDecimal.java,org.opensearch.painless.node.EDecimal,class,4,9,5,4,4,3,0,2,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,1,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/index/autoforcemerge/ForceMergeManagerSettingsTests.java,org.opensearch.index.autoforcemerge.ForceMergeManagerSettingsTests$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/search/aggregations/bucket/terms/NumericTermsAggregator.java,org.opensearch.search.aggregations.bucket.terms.NumericTermsAggregator$ResultStrategy,innerclass,15,15,0,15,16,1,0,15,78,0.0,0.0,0.0,13,0,0,1,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1,47,1,2,0,1,0,1,2,17,0,16,3,0,0,1,149,1024,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/qa/os/src/test/java/org/opensearch/packaging/test/RpmMetadataTests.java,org.opensearch.packaging.test.RpmMetadataTests,class,6,6,0,6,3,3,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,1,0,0,4,0,3,2,3,0,0,0,0,23,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/cluster/coordination/PublicationTests.java,org.opensearch.cluster.coordination.PublicationTests$MockNode$Anonymous1,anonymous,4,4,0,4,2,1,0,2,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/modules/autotagging-commons/src/main/java/org/opensearch/rule/RuleFrameworkPlugin.java,org.opensearch.rule.RuleFrameworkPlugin,class,30,31,1,30,8,2,0,22,9,0.7142858,0.0,0.0,7,0,6,1,0,0,6,0,0,0,6,3,3,3,0,0,6,0,5,41,4,1,0,0,0,2,2,9,0,10,1,0,0,1,117,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/modules/mapper-extras/src/main/java/org/opensearch/index/mapper/ScaledFloatFieldMapper.java,org.opensearch.index.mapper.ScaledFloatFieldMapper$Builder,innerclass,10,10,0,10,12,2,0,18,16,0.7222222,0.0,0.0,8,0,5,0,1,2,8,0,0,0,9,0,0,9,0,0,9,0,2,48,6,0,3,0,0,8,1,10,1,28,1,0,0,15,53,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/action/support/nodes/BaseNodeResponse.java,org.opensearch.action.support.nodes.BaseNodeResponse,class,4,9,5,4,5,2,5,1,0,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,1,0,0,0,0,2,0,1,0,0,0,0,25,1025,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/modules/ingest-common/src/test/java/org/opensearch/ingest/common/ScriptProcessorFactoryTests.java,org.opensearch.ingest.common.ScriptProcessorFactoryTests,class,10,10,0,10,12,2,0,40,0,0.3888889,0.0,0.0,9,0,9,0,0,0,10,0,0,0,2,1,0,2,0,0,1,0,9,104,1,0,0,0,0,41,10,37,0,32,1,0,0,4,83,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/test/framework/src/main/java/org/opensearch/test/store/MockFSIndexStore.java,org.opensearch.test.store.MockFSIndexStore$TestPlugin,innerclass,8,8,0,8,6,2,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,19,3,0,0,0,0,3,0,1,0,1,2,0,0,0,17,9,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/plugins/ingestion-fs/src/test/java/org/opensearch/plugin/ingestion/fs/FileBasedIngestionSingleNodeTests.java,org.opensearch.plugin.ingestion.fs.FileBasedIngestionSingleNodeTests,class,15,16,1,15,22,2,0,61,3,0.36666667,0.0,0.0,10,0,7,2,1,0,8,0,0,0,3,0,0,3,0,0,2,0,10,171,9,0,11,6,1,85,37,43,0,46,2,0,0,15,95,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/action/admin/cluster/node/tasks/ResourceAwareTasksTests.java,org.opensearch.action.admin.cluster.node.tasks.ResourceAwareTasksTests$Anonymous8,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/action/admin/cluster/node/tasks/ResourceAwareTasksTests.java,org.opensearch.action.admin.cluster.node.tasks.ResourceAwareTasksTests$Anonymous7,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/action/admin/cluster/node/tasks/ResourceAwareTasksTests.java,org.opensearch.action.admin.cluster.node.tasks.ResourceAwareTasksTests$Anonymous6,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/action/admin/cluster/node/tasks/ResourceAwareTasksTests.java,org.opensearch.action.admin.cluster.node.tasks.ResourceAwareTasksTests$Anonymous5,anonymous,1,1,0,1,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/index/query/Operator.java,org.opensearch.index.query.Operator,enum,5,14,9,5,10,1,0,8,15,0.0,0.0,0.0,6,3,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,33,7,0,0,0,0,3,0,0,1,0,1,0,0,0,39,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/main/java/org/opensearch/action/update/UpdateHelper.java,org.opensearch.action.update.UpdateHelper$UpdateOpType,enum,2,2,0,2,7,1,0,1,1,0.33333334,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,23,6,0,0,0,0,9,0,1,0,1,1,0,0,0,40,0,1
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/index/engine/exec/SegmentTests.java,org.opensearch.index.engine.exec.SegmentTests,class,5,6,1,5,8,2,0,15,0,0.2,0.0,0.0,5,0,3,2,0,0,3,0,0,0,1,1,0,1,0,0,1,0,4,39,2,2,0,0,0,13,11,15,1,21,1,0,0,6,52,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/opensearch-project__OpenSearch/server/src/test/java/org/opensearch/search/aggregations/bucket/nested/InternalReverseNestedTests.java,org.opensearch.search.aggregations.bucket.nested.InternalReverseNestedTests,class,6,7,1,6,4,2,0,2,6,0.0,0.0,0.0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
