file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/lucene/src/main/java/com/orientechnologies/lucene/exception/OLuceneIndexException.java,com.orientechnologies.lucene.exception.OLuceneIndexException,OLuceneIndexException/1[java.lang.String],true,23,0,11,11,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/security/src/main/java/com/orientechnologies/security/kerberos/OKrb5LoginModuleConfig.java,com.orientechnologies.security.kerberos.OKrb5LoginModuleConfig,"OKrb5LoginModuleConfig/2[java.lang.String,java.lang.String]",true,37,0,2,2,0,2,1,12,0,1,2,1,0,0,0,1,0,0,10,1,2,0,1,0,0,0,13,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/security/src/main/java/com/orientechnologies/security/kerberos/OKrb5LoginModuleConfig.java,com.orientechnologies.security.kerberos.OKrb5LoginModuleConfig,getAppConfigurationEntry/1[java.lang.String],false,33,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getValueAsBoolean/0,false,1626,0,11,11,0,4,2,4,1,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,"OGlobalConfiguration/6[java.lang.String,java.lang.String,java.lang.Class<?>,java.lang.Object,boolean,boolean]",true,1468,0,0,0,0,1,0,9,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,24,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,isChanged/0,false,1572,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,setValue/1[java.lang.Object],false,1576,1,10,9,1,16,11,49,0,4,1,11,0,0,1,8,1,0,3,0,13,1,5,0,0,0,25,1,1,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getType/0,false,1671,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,isChangeableAtRuntime/0,false,1659,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,"setConfiguration/1[java.util.Map<java.lang.String,java.lang.Object>]",false,1523,1,3,0,3,5,8,14,0,0,1,8,2,1,2,0,0,0,0,0,0,0,3,0,0,0,32,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getDescription/0,false,1675,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,readConfiguration/0,false,1538,1,4,1,3,6,5,18,0,2,0,5,2,1,2,3,0,0,0,0,3,0,3,0,0,0,17,10,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getValue/0,false,1563,1,3,3,0,3,0,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getValueAsInteger/0,false,1637,0,12,12,0,4,3,4,1,1,0,3,0,0,0,2,0,2,0,0,1,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getValueAsFloat/0,false,1650,0,0,0,0,4,2,4,1,1,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,isHidden/0,false,1663,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getValueAsLong/0,false,1643,0,2,2,0,4,3,4,1,1,0,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,findByKey/1[java.lang.String],false,1510,1,4,2,2,3,3,8,2,0,1,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0,17,9,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getDefValue/0,false,1667,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,"OGlobalConfiguration/4[java.lang.String,java.lang.String,java.lang.Class<?>,java.lang.Object]",true,1449,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/orientechnologies__orientdb/core/src/main/java/com/orientechnologies/orient/core/config/OGlobalConfiguration.java,com.orientechnologies.orient.core.config.OGlobalConfiguration,getValueAsString/0,false,1631,0,8,8,0,4,1,3,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,1,0,false
