file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core-java25/src/main/java/oshi/ffm/mac/DiskArbitration.java,oshi.ffm.mac.DiskArbitration$DADiskRef,innerclass,9,9,0,9,16,2,0,10,10,0.0,0.0,0.0,5,2,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,53,10,0,5,4,0,0,0,12,0,12,1,0,0,0,62,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/main/java/oshi/driver/unix/solaris/disk/Prtvtoc.java,oshi.driver.unix.solaris.disk.Prtvtoc,class,2,3,1,2,32,1,0,15,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,112,1,1,0,0,0,33,34,36,4,14,5,0,0,0,42,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-common/src/test/java/oshi/software/common/AbstractOSThreadTest.java,oshi.software.common.AbstractOSThreadTest$Anonymous1,anonymous,1,1,0,1,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,2,0,0,0,0,0,0,0,16,-1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/test/java/oshi/driver/unix/XrandrTest.java,oshi.driver.unix.XrandrTest,class,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,1,1,0,0,0,1,0,0,0,14,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/main/java/oshi/hardware/platform/mac/MacGraphicsCard.java,oshi.hardware.platform.mac.MacGraphicsCard,class,8,10,2,8,18,2,0,17,6,0.75,0.0,0.0,4,2,2,1,0,1,3,0,0,0,1,1,0,1,0,0,1,0,7,60,5,1,1,0,0,14,14,18,0,11,4,0,0,0,60,16,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/main/java/oshi/software/os/unix/openbsd/OpenBsdFileSystem.java,oshi.software.os.unix.openbsd.OpenBsdFileSystem,class,6,9,3,6,24,2,0,19,10,0.90000004,0.0,0.0,5,1,4,0,0,1,5,0,0,0,8,8,4,4,0,0,8,0,4,80,5,2,2,0,3,23,22,31,4,26,3,0,0,0,79,1,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/main/java/oshi/driver/windows/wmi/Win32ComputerSystem.java,oshi.driver.windows.wmi.Win32ComputerSystem,class,5,6,1,5,2,1,0,3,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,10,1,0,0,0,0,1,0,2,0,2,0,0,1,0,32,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-common/src/main/java/oshi/util/FileSystemUtil.java,oshi.util.FileSystemUtil,class,3,6,3,3,13,1,0,11,10,0.8,0.0,0.0,5,4,4,1,0,0,4,0,0,0,2,2,0,2,0,0,2,0,9,39,6,2,0,0,1,4,1,8,1,7,3,0,0,0,100,17,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-common/src/test/java/oshi/util/driver/linux/LshwTest.java,oshi.util.driver.linux.LshwTest,class,3,3,0,3,2,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,1,0,0,2,2,1,0,1,1,0,0,0,16,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/test/java/oshi/hardware/DisplayTest.java,oshi.hardware.DisplayTest,class,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,1,2,0,2,1,0,0,0,23,0,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/main/java/oshi/hardware/platform/unix/solaris/SolarisGraphicsCard.java,oshi.hardware.platform.unix.solaris.SolarisGraphicsCard,class,4,6,2,4,23,2,0,15,1,0.5,0.0,0.0,2,1,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,2,59,2,1,1,0,0,20,14,18,6,9,5,0,0,0,50,16,0
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/oshi__oshi/oshi-core/src/test/java/oshi/util/FstatUtilTest.java,oshi.util.FstatUtilTest,class,3,3,0,3,2,1,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,2,1,1,0,1,1,0,0,0,35,0,0
