file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/commons/src/test/java/com/navercorp/pinpoint/common/util/TimeUtilsTest.java,com.navercorp.pinpoint.common.util.TimeUtilsTest,testTimeOrder/0,false,36,1,0,0,0,2,3,6,0,2,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/commons/src/test/java/com/navercorp/pinpoint/common/util/TimeUtilsTest.java,com.navercorp.pinpoint.common.util.TimeUtilsTest,testReverseCurrentTimeMillis/0,false,27,1,0,0,0,1,4,6,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/plugins/okhttp/src/main/java/com/navercorp/pinpoint/plugin/okhttp/v3/UserResponseGetter.java,com.navercorp.pinpoint.plugin.okhttp.v3.UserResponseGetter,_$PINPOINT$_getUserResponse/0,false,25,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/plugins/hbase/src/main/java/com/navercorp/pinpoint/plugin/hbase/interceptor/data/DataOperationType.java,com.navercorp.pinpoint.plugin.hbase.interceptor.data.DataOperationType,isWriteOp/1[int],false,38,0,1,1,0,4,0,3,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/plugins/hbase/src/main/java/com/navercorp/pinpoint/plugin/hbase/interceptor/data/DataOperationType.java,com.navercorp.pinpoint.plugin.hbase.interceptor.data.DataOperationType,DataOperationType/0,true,15,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/plugins/hbase/src/main/java/com/navercorp/pinpoint/plugin/hbase/interceptor/data/DataOperationType.java,com.navercorp.pinpoint.plugin.hbase.interceptor.data.DataOperationType,"resolve/3[boolean,java.lang.String,java.lang.String[]]",false,18,1,5,1,4,7,4,21,7,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/plugins/hbase/src/main/java/com/navercorp/pinpoint/plugin/hbase/interceptor/data/DataOperationType.java,com.navercorp.pinpoint.plugin.hbase.interceptor.data.DataOperationType,isReadOp/1[int],false,42,0,1,1,0,3,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/agent-testweb/thrift-plugin-testweb/src/main/java/com/pinpoint/test/plugin/ThriftPluginTestController.java,com.pinpoint.test.plugin.ThriftPluginTestController,halfAsyncServer/0,false,62,4,2,0,2,1,2,5,1,1,0,2,1,3,0,0,0,0,2,0,1,0,0,0,0,0,12,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/agent-testweb/thrift-plugin-testweb/src/main/java/com/pinpoint/test/plugin/ThriftPluginTestController.java,com.pinpoint.test.plugin.ThriftPluginTestController,echo/1[com.pinpoint.test.plugin.client.EchoTestClient],false,145,1,6,4,2,1,3,9,0,0,1,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,13,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pinpoint-apm__pinpoint/agent-module/agent-testweb/thrift-plugin-testweb/src/main/java/com/pinpoint/test/plugin/ThriftPluginTestController.java,com.pinpoint.test.plugin.ThriftPluginTestController,nonblockingAsyncServer/0,false,69,4,2,0,2,1,2,5,1,1,0,2,1,3,0,0,0,0,2,0,1,0,0,0,0,0,13,1,0,false
