file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-java/src/test/java/net/sourceforge/pmd/lang/java/symbols/internal/asm/ModuleStubTest.java,net.sourceforge.pmd.lang.java.symbols.internal.asm.ModuleStubTest,loadModuleInfo/0,false,24,8,2,0,2,5,18,24,2,8,0,18,0,0,0,1,0,0,10,2,8,1,3,0,0,1,32,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-java/src/main/java/net/sourceforge/pmd/lang/java/types/internal/infer/TypeInferenceLogger.java,net.sourceforge.pmd.lang.java.types.internal.infer.TypeInferenceLogger$SimpleLogger$Anonymous1,isNoop/0,false,150,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-java/src/main/java/net/sourceforge/pmd/lang/java/types/internal/infer/TypeInferenceLogger.java,net.sourceforge.pmd.lang.java.types.internal.infer.TypeInferenceLogger$SimpleLogger$Anonymous1,newInstance/0,false,155,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-scala-modules/pmd-scala-common/src/main/java/net/sourceforge/pmd/lang/scala/ast/ASTDefnTrait.java,net.sourceforge.pmd.lang.scala.ast.ASTDefnTrait,"acceptVisitor/2[net.sourceforge.pmd.lang.scala.ast.ScalaVisitor<? super P,? extends R>,P]",false,19,4,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-scala-modules/pmd-scala-common/src/main/java/net/sourceforge/pmd/lang/scala/ast/ASTDefnTrait.java,net.sourceforge.pmd.lang.scala.ast.ASTDefnTrait,ASTDefnTrait/1[Defn.Trait],true,14,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-core/src/main/java/net/sourceforge/pmd/renderers/internal/sarif/SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,ArtifactLocationBuilder/0,true,159,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-core/src/main/java/net/sourceforge/pmd/renderers/internal/sarif/SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,uriBaseId/1[java.lang.String],false,179,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-core/src/main/java/net/sourceforge/pmd/renderers/internal/sarif/SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,toString/0,false,199,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-core/src/main/java/net/sourceforge/pmd/renderers/internal/sarif/SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,index/1[java.lang.Integer],false,189,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-core/src/main/java/net/sourceforge/pmd/renderers/internal/sarif/SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,build/0,false,194,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/pmd__pmd/pmd-core/src/main/java/net/sourceforge/pmd/renderers/internal/sarif/SarifLog.java,net.sourceforge.pmd.renderers.internal.sarif.SarifLog$ArtifactLocation$ArtifactLocationBuilder,uri/1[java.lang.String],false,168,1,2,2,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
