file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/columns/AttributeColumn.java,name.abuchen.portfolio.ui.views.columns.AttributeColumn$AttributeLabelProvider,getText/1[java.lang.Object],false,87,2,0,0,0,2,5,7,2,3,1,5,0,0,0,1,0,0,0,0,3,0,1,0,0,0,11,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/columns/AttributeColumn.java,name.abuchen.portfolio.ui.views.columns.AttributeColumn$AttributeLabelProvider,AttributeLabelProvider/1[name.abuchen.portfolio.ui.views.columns.AttributeType],true,81,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous4,run/0,false,196,4,65,0,65,2,5,6,1,1,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous3,run/0,false,168,5,65,0,65,3,11,14,2,4,0,11,0,0,0,2,0,0,2,0,4,0,1,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio/src/name/abuchen/portfolio/online/impl/variableurl/macros/WKN.java,name.abuchen.portfolio.online.impl.variableurl.macros.WKN,resolve/1[name.abuchen.portfolio.model.Security],false,16,1,1,0,1,2,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio/src/name/abuchen/portfolio/online/impl/variableurl/macros/WKN.java,name.abuchen.portfolio.online.impl.variableurl.macros.WKN,getVariableURLConstructor/0,false,22,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio/src/name/abuchen/portfolio/online/impl/variableurl/macros/WKN.java,name.abuchen.portfolio.online.impl.variableurl.macros.WKN,WKN/1[java.lang.CharSequence],true,9,0,0,0,0,2,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous6,run/0,false,230,2,65,0,65,3,13,16,1,2,0,13,0,0,0,1,1,0,2,0,2,1,1,0,0,0,15,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous5,run/0,false,212,3,65,0,65,2,6,6,1,1,0,6,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.tests/src/name/abuchen/portfolio/snapshot/trades/TradeCollectorTest.java,name.abuchen.portfolio.snapshot.trades.TradeCollectorTest,prepare/0,false,29,3,1,0,1,1,2,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,9,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.tests/src/name/abuchen/portfolio/snapshot/trades/TradeCollectorTest.java,name.abuchen.portfolio.snapshot.trades.TradeCollectorTest,testPartialOutboundDeliveryIncludingTransfers/0,false,35,7,4,0,4,1,21,14,0,6,0,21,0,0,0,0,0,0,4,6,5,1,0,0,0,1,24,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.tests/src/name/abuchen/portfolio/snapshot/trades/TradeCollectorTest.java,name.abuchen.portfolio.snapshot.trades.TradeCollectorTest,testPurchaseWithMultipleSells/0,false,112,6,3,0,3,1,19,14,0,9,0,19,0,0,0,0,0,0,1,7,6,0,0,0,0,2,22,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.tests/src/name/abuchen/portfolio/snapshot/trades/TradeCollectorTest.java,name.abuchen.portfolio.snapshot.trades.TradeCollectorTest,testCompletedTrade/0,false,61,7,4,0,4,1,20,11,0,5,0,20,0,0,0,0,0,0,3,5,4,1,0,0,0,1,18,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.tests/src/name/abuchen/portfolio/snapshot/trades/TradeCollectorTest.java,name.abuchen.portfolio.snapshot.trades.TradeCollectorTest,testPartialTransferOutOfMultiplePurchases/0,false,83,6,3,0,3,1,20,15,0,8,0,20,0,0,0,0,0,0,3,5,5,0,0,0,0,2,23,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio/src/name/abuchen/portfolio/online/impl/variableurl/Factory.java,name.abuchen.portfolio.online.impl.variableurl.Factory$MacroParser,parse/1[java.lang.CharSequence],false,27,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous7,run/0,false,262,5,65,0,65,2,6,9,0,3,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,16,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/wizards/splits/PreviewQuotesPage.java,name.abuchen.portfolio.ui.wizards.splits.PreviewQuotesPage,createControl/1[name.abuchen.portfolio.ui.wizards.splits.Composite],false,86,12,2,0,2,1,20,37,0,9,1,20,0,0,0,0,0,0,1,4,12,0,0,1,0,0,34,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/wizards/splits/PreviewQuotesPage.java,name.abuchen.portfolio.ui.wizards.splits.PreviewQuotesPage,beforePage/0,false,79,2,1,0,1,1,3,4,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/wizards/splits/PreviewQuotesPage.java,name.abuchen.portfolio.ui.wizards.splits.PreviewQuotesPage,PreviewQuotesPage/1[name.abuchen.portfolio.ui.wizards.splits.StockSplitModel],true,68,1,1,1,0,1,2,6,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio/protos/name/abuchen/portfolio/model/proto/v1/PLocalDateTimeOrBuilder.java,name.abuchen.portfolio.model.proto.v1.PLocalDateTimeOrBuilder,getEpochDay/0,false,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio/protos/name/abuchen/portfolio/model/proto/v1/PLocalDateTimeOrBuilder.java,name.abuchen.portfolio.model.proto.v1.PLocalDateTimeOrBuilder,getSecondOfDay/0,false,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous2,run/0,false,142,2,65,0,65,2,5,7,1,1,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/QuotesContextMenu.java,name.abuchen.portfolio.ui.views.QuotesContextMenu$Anonymous1,run/0,false,72,2,65,0,65,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/wizards/security/SecurityTaxonomyPage.java,name.abuchen.portfolio.ui.wizards.security.SecurityTaxonomyPage$Anonymous1,controlResized/1[name.abuchen.portfolio.ui.wizards.security.ControlEvent],false,172,1,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/TransactionsViewer.java,name.abuchen.portfolio.ui.views.TransactionsViewer$TransactionLabelProvider,TransactionLabelProvider/1[name.abuchen.portfolio.ui.views.ColumnLabelProvider],true,86,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/TransactionsViewer.java,name.abuchen.portfolio.ui.views.TransactionsViewer$TransactionLabelProvider,getForeground/1[java.lang.Object],false,98,7,4,1,3,6,8,7,3,1,1,8,0,0,0,0,0,1,1,0,1,1,2,0,0,0,14,1,0,false
/Users/kaiohs/Downloads/codes/lab02-experimentacao-software/data/repos/portfolio-performance__portfolio/name.abuchen.portfolio.ui/src/name/abuchen/portfolio/ui/views/TransactionsViewer.java,name.abuchen.portfolio.ui.views.TransactionsViewer$TransactionLabelProvider,"TransactionLabelProvider/1[java.util.function.Function<name.abuchen.portfolio.ui.views.Transaction,java.lang.String>]",true,75,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
